year,CN：Total Primary Energy Supply,CN：能源消耗：占能源总消费百分比：农业,CN：能源消耗：占能源总消费百分比：工业,CN：能源消耗：占能源总消费百分比：服务业,CN：能源消耗：占能源总消费百分比：交通运输,CN：能源消耗：占能源总消费百分比：其他行业
区域,中国,中国,中国,中国,中国,中国
次国家,,,,,,
频率,"年, 年终12月","年, 年终12月","年, 年终12月","年, 年终12月","年, 年终12月","年, 年终12月"
单位,百万石油吨当量,%,%,%,%,%
数据来源,Organisation for Economic Co-operation and Development,Organisation for Economic Co-operation and Development,Organisation for Economic Co-operation and Development,Organisation for Economic Co-operation and Development,Organisation for Economic Co-operation and Development,Organisation for Economic Co-operation and Development
状态,继续,继续,继续,继续,继续,继续
数列ID,496808537,496723567,496777457,496728547,496781717,496782887
SR码,SR174101717,SR174101767,SR174101777,SR174101787,SR174101797,SR174101807
Trade Code,,,,,,
助记符,,,,,,
函数说明,,,,,,
首次观测日期,1990,1990,1990,1990,1990,1990
最后观测日期,2019,2019,2019,2019,2019,2019
最后更新时间,19/09/2022,19/09/2022,19/09/2022,19/09/2022,19/09/2022,19/09/2022
数列备注,,,,,,
您可以,,,,,,
平均,1880.0740666666668,2.951072833333334,46.05456433333333,3.426943,10.420814666666665,37.14660599999999
方差,775955.2891437154,1.1319351414073853,48.509228689494364,0.27261293217979304,13.215566118718922,88.68159877354208
标准差,880.8832437637325,1.0639244058707298,6.964856688367275,0.5221234836509396,3.635322010320258,9.4170907807848
偏度,0.33617027881404205,0.895051944354628,-0.012027686426434878,-0.11069026816932079,-0.3006245885203983,0.23213997598144526
峰度,-1.538935511926097,-0.8635475733259712,-1.6431910053481682,-0.5953650454834536,-1.248512879265737,-1.6106226656465181
变异系数,0.46853645788834297,0.3605212293825335,0.15123054118929657,0.1523583799470664,0.34885199733459016,0.25351147237475213
最小,847.9951,2.013519,35.56154,2.355305,4.592932,25.8293
最大,3389.302,5.245977,56.1717,4.284494,15.57975,53.0592
中位数,1698.033,2.505719,47.45546,3.3104865,11.322405,34.532740000000004
参照期间,30,30,30,30,30,30
1990,873.6401,4.431019,35.56154,2.355305,4.592932,53.0592
1991,847.9951,4.441499,36.15082,2.438002,4.822593,52.14709
1992,876.8306,4.257208,36.92295,2.620469,5.278717,50.92066
1993,928.8033,4.107366,38.22292,3.177729,5.786503,48.70548
1994,972.7719,4.164253,39.50293,2.954306,5.252273,48.12623
1995,1044.449,4.338846,42.05916,2.966537,5.466141,45.16931
1996,1073.473,2.907006,40.90175,4.096287,7.492569,44.60239
1997,1073.049,4.553357,39.31741,3.602889,6.362244,46.1641
1998,1078.41,4.844197,41.4404,3.696069,6.074668,43.94468
1999,1098.614,5.245977,38.23151,4.284494,7.01275,45.22527
2000,1129.873,2.387042,38.61106,3.021236,10.70687,45.2738
2001,1168.296,2.506424,39.89257,3.147257,10.73742,43.71633
2002,1245.795,2.594867,40.24598,3.115679,11.13958,42.9039
2003,1419.64,2.691557,41.97578,3.21188,11.49492,40.62586
2004,1614.651,2.628295,45.97014,3.394229,11.68564,36.3217
2005,1781.415,2.555668,50.56017,3.134948,11.00543,32.74378
2006,1948.764,2.505014,51.27987,3.179446,11.23258,31.80309
2007,2097.542,2.321362,52.55186,3.279465,11.41223,30.43508
2008,2153.952,2.172491,53.55061,3.174088,12.00238,29.10043
2009,2296.872,2.150813,54.13901,3.262506,11.74873,28.69894
2010,2536.195,2.070148,56.1717,3.341508,11.98324,26.4334
2011,2722.105,2.043639,55.85762,3.540606,12.39007,26.16806
2012,2819.882,2.029006,55.27866,3.718849,13.14419,25.8293
2013,2910.744,2.079076,54.21643,3.823779,13.70075,26.17997
2014,2984.81,2.040463,53.50471,3.758608,13.81038,26.88583
2015,2998.556,2.074064,51.77477,3.935319,14.70745,27.5084
2016,2980.925,2.137681,50.40062,4.076351,15.04069,28.34466
2017,3092.865,2.1959,49.15101,4.190536,15.50274,28.95982
2018,3242.002,2.044428,49.25219,4.121362,15.57975,29.00228
2019,3389.302,2.013519,48.94078,4.188551,15.45801,29.39914
