year,总产值：农业
区域,中国
次国家,
频率,"年, 年终12月"
单位,十亿人民币
数据来源,国家统计局
状态,继续
数列ID,3718301 (CBQRA)
SR码,SR622366
Trade Code,
助记符,
函数说明,
首次观测日期,1952
最后观测日期,2021
最后更新时间,20/10/2022
数列备注,
您可以,
平均,3732.5822461116
方差,18260179.45724453
标准差,4273.193121922356
偏度,1.1296669876523326
峰度,0.03798745256091207
变异系数,1.1448356232133758
最小,46.1
最大,14701.3399712
中位数,2307.105
参照期间,50
1952,46.1
1957,53.7
1962,58.4
1965,83.3
1970,102.1
1975,126
1978,139.7
1979,169.76
1980,192.26
1981,218.06
1982,248.33
1983,275
1984,321.41
1985,361.95
1986,401.3
1987,467.57
1988,586.53
1989,653.47
1990,766.21
1991,815.7
1992,908.47
1993,1099.55
1994,1575.049
1995,2034.09
1996,2235.37
1997,2378.84
1998,2454.186
1999,2451.906
2000,2491.5768267
2001,2617.96471382
2002,2739.075359
2003,2969.18
2004,3623.898976
2005,3945.08873407
2006,4081.08266141
2007,4865.17662608
2008,5742.0765759
2009,5931.13248106
2010,6776.31342742
2011,7883.69774171
2012,8634.21522357
2013,9317.36998568
2014,9782.25134327
2015,10189.35249931
2016,10647.87284739
2017,10933.17209005
2018,11357.95301428
2019,12396.79352766
2020,13778.21668
2021,14701.3399712
