year,通信设备制造：总资产,通信设备制造：制成品：年初至今,通信设备制造：总负债,通信设备制造：销售收入：年初至今,通信设备制造：总利润：年初至今
2003,306285.69,25883.27,181966.35,348421.02,16984.2
2004,343979.16,27104.68,200299.25,448161.81,31138.33
2005,402059.09,23651.6,257341.74,578608.08,26643.45
2006,444631.12,31339.17710779,277981.55,738868.68354859,33955.81673633
2007,501389.54,36826.24,323628.92,753005.79,25810.92
2008,559760.86,49042.15,366701.33,846014.183,28699.73
2009,757619.76,61431.51,493952.37,881512.67,47204.39
2010,812563.59,51006.74,508592.92,953037.92,55379.32
2011,891756.141,45090.937,550065.167,1165258.86,55871.65
2012,995126.47,43967.25,648227.08,1355500.48,57285.96
2013,1167524.66,52503.23,753094.19,1652645.36,82632.83
2014,1515025.48,88806.48,990161.69,1974501.75,105580.72
2015,1790228.5,117004.31,1199583.39,2386318.31,123266.61
2016,2408000.0,121300.0,1639300.0,3058400.0,122400.0
2017,2715760.0,129610.0,1842820.0,3355150.0,160090.0
2018,3071300.0,150200.0,2114500.0,3638100.0,138530.0
