year,通信设备制造：雇员人数,通信设备制造：总资产,通信设备制造：制成品：年初至今,通信设备制造：总负债,通信设备制造：销售收入：年初至今,通信设备制造：总利润：年初至今,通信设备制造：企业数量
区域,中国,中国,中国,中国,中国,中国,中国
次国家,,,,,,,
频率,月,月,月,月,月,月,月
单位,千人,百万人民币,百万人民币,百万人民币,百万人民币,百万人民币,个
数据来源,工业和信息化部,工业和信息化部,工业和信息化部,工业和信息化部,工业和信息化部,工业和信息化部,工业和信息化部
状态,继续,继续,继续,继续,继续,继续,继续
数列ID,64683401 (CRFAHCU),64682301 (CRFAHCJ),64682001 (CRFAHCG),64682401 (CRFAHCK),64682501 (CRFAHCL),64683201 (CRFAHCS),64681601 (CRFAHCC)
SR码,SR943752,SR939009,SR295540,SR939531,SR939847,SR942934,SR295536
Trade Code,,,,,,,
助记符,,,,,,,
函数说明,,,,,,,
首次观测日期,01/2003,01/2003,01/2003,01/2003,01/2003,01/2003,01/2004
最后观测日期,12/2018,12/2018,12/2018,12/2018,12/2018,12/2018,12/2018
最后更新时间,24/08/2020,24/08/2020,24/08/2020,24/08/2020,24/08/2020,24/08/2020,24/08/2020
数列备注,,,,,,,
您可以,,,,,,,
平均,633.3349166666667,555346.1702666664,38434.9062289059,350391.2968933335,518975.0529595327,22390.443096399318,1274.7407407407406
方差,110882.28142221834,270243953792.9461,690815538.9335687,129222101723.29398,383952417368.3628,840909191.8974723,48084.06944444445
标准差,332.9899118925652,519849.93391645834,26283.370007165533,359474.7581170255,619638.9411329494,28998.43430079411,219.28080044646967
偏度,2.6427130122573073,3.457717908305578,2.8526251840202703,3.5154343508609767,3.1290394052272235,2.888162158876256,0.9645683955463646
峰度,7.9005344294955835,12.35271454455813,8.123297329700272,12.812306506872485,11.478960134876012,9.162882974960697,1.964994226316688
变异系数,0.5257722306629473,0.9360826845476156,0.683841137809216,1.025923763815564,1.193966718822737,1.295125521899897,0.17201992015964557
最小,346.463,255839.05,17743.91,137520.3,41565.17,-1843.41,938
最大,2002,3071300,150200,2114500,3638100,160090,2044
中位数,550.4314999999999,397536.15,28256.43,250808.7,342604.429,14097.08,1232
参照期间,72,75,66,75,110,101,81
01/2003,444.896,255839.05,17743.91,137520.3,41565.17,2270.47,
02/2003,444.896,255839.05,17743.91,137520.3,41565.17,2270.47,
03/2003,346.463,256526.15,,138595.42,65511.38,2538.85,
04/2003,366.498,266351.11,22660.52,150538.95,88967.97,3289.51,
05/2003,364.054,266390.11,,151132.88,113788.87,5260.12,
06/2003,362.683,271589.89,24118.95,155113.99,141825.75,6227.56,
07/2003,365.563,275580.19,,155585.42,169046.74,7750.42,
08/2003,364.542,281527.05,25246.62,159916.37,196541.22,8411.6,
09/2003,373.261,290053.03,25773.36,169106.28,231808.84,10422.85,
10/2003,375.358,294820.11,26637.62,171570.16,266982.84,12692.24,
11/2003,385.948,299773.57,27448.17,173079.63,301911.46,15092.56,
12/2003,385.281,306285.69,25883.27,181966.35,348421.02,16984.2,
01/2004,454.133,297979.27,22759.26,170922.1,53683.71,3029.8,953
02/2004,454.133,297979.27,22759.26,170922.1,53683.71,3029.8,953
03/2004,391.831,306182.64,,176062.62,91361.35,5165.25,954
04/2004,413.535,321530.42,25968.28,194238.85,126907.43,6671.63,963
05/2004,419.878,331275.76,,200847.83,161506.4,9198.23,938
06/2004,407.111,335286.41,27141.45,201029.85,202987.36,12190.95,949
07/2004,411.261,335171.07,,200324.96,234764.64,13759.38,955
08/2004,411.515,334794.48,28652.01,200583.03,269021.33,16190.48,962
09/2004,413.106,338593.26,29213.02,204867.8,309797.34,19280.53,970
10/2004,415.591,341436.57,31093.21,206054.7,351430.05,22173.91,978
11/2004,425.627,346602.95,32028.88,208822.43,397616.93,25285.36,989
12/2004,431.487,343979.16,27104.68,200299.25,448161.81,31138.33,1006
01/2005,424.096,347625.15,25774.78,205777.69,64142.98,3726.52,1033
02/2005,424.096,347625.15,25774.78,205777.69,64142.98,3726.52,1033
03/2005,442.607,348405.07,26865.47,202809.93,104397.01,4786.09,1105
04/2005,473.815,364709.96,27519.78,211957.85,148564.04,7175.24,1119
05/2005,482.959,366281.45,25696.43,216999.78,187010.71,8276.12,1131
06/2005,500.854,371935.19,24624.04,221552.8,234037.55,11339,1191
07/2005,502.423,376554.64,,225387.14,283093.89,13728.01,1191
08/2005,510.678,373788.59,25196.88,232347.04,329515.66,13769.71,1206
09/2005,528.214,378222.62,23485.63,238007.17,384196.92,16111.97,1219
10/2005,538.542,394047.09,24148.32,248935.32,442291.16,18514.97,1220
11/2005,543.985,397536.15,25588.39,252896.33,497005.72,20031.68,1224
12/2005,545.933,402059.09,23651.6,257341.74,578608.08,26643.45,1240
01/2006,554.93,368840.31,22392.8,214111.55,91936.46,5745.47,1168
02/2006,554.93,368840.31,22392.8,214111.55,91936.46,5745.47,1168
03/2006,569.285,379724.11,25290.89,221929.12,148965.03,8637.82,1189
04/2006,584.906,408199.24,27872.3,250808.7,197243.55,9132.1,1201
05/2006,590.953,408534.82,27745.03,252424.85,247379.5,10834.09,1209
06/2006,604.245,413731.78,,259753.89,313265.99,14210.12,1220
07/2006,599.994,422375.21,29797.39,262733.31,371929.06,17253.16,1223
08/2006,612.385,415901.09,,253777.93,422733.85,18189.1,1220
09/2006,603.911,419409.77,26731.54,261211.65,497861.68,22987.97,1221
10/2006,615.591,433816.85,28640.56,271524.02,564446.91,26391.04,1228
11/2006,620.806,437322.41,29257.59,270971.26,629616.39,29564.24,1232
12/2006,620.342,444631.12,31339.17710779,277981.55,738868.68354859,33955.81673633,1222
01/2007,648.073,434036.953,26185.916,266504.954,103100.009,3119.906,1202
02/2007,648.073,434036.953,26185.916,266504.954,103100.009,3119.906,1202
03/2007,,,,,163761.763,,1225
04/2007,,,,,220544.37,,1216
05/2007,676.627,442589.654,31490.07,277447.651,267548.079,6778.897,1227
06/2007,,,,,340106.668,,1232
07/2007,,,,,399687.872,,1237
08/2007,690.899,455421.724,32910.988,285540.744,457390.395,15230.354,1236
09/2007,,,,,533704.822,,1247
10/2007,,,,,605134.321,,1245
11/2007,739.727,489916.913,36023.574,314802.098,678792.877,23071.254,1264
12/2007,739.727,501389.54,36826.24,323628.92,753005.79,25810.92,1264
01/2008,748.833,472917.857,36036.759,300371.542,93725.412,3221.357,1288
02/2008,748.833,472917.857,36036.759,300371.542,93725.412,3221.357,1288
03/2008,,,,,174501.156,,1323
04/2008,,,,,,,1330
05/2008,768.125,525929.623,39743.958,343392.894,300580.536,9652.107,1336
06/2008,,,,,,,1358
07/2008,,,,,,,1363
08/2008,790.121,543766.268,44166.251,349421.503,518512.121,19858.153,1368
09/2008,,,,,,,1365
10/2008,,,,,681932.161,,1369
11/2008,801.748,558768.197,48352.198,365354.074,735946.18,26277.094,1395
12/2008,804.13,559760.86,49042.15,366701.33,846014.183,28699.73,1395
01/2009,751.237,531551.586,36644.059,334823.301,91052.247,-638.605,1388
02/2009,751.237,531551.586,36644.059,334823.301,91052.247,-638.605,1388
03/2009,,,,,,,1541
04/2009,,,,,,,1533
05/2009,803.43,576875.237,48591.923,361206.752,289829.883,13948.628,1520
06/2009,,,,,,,1541
07/2009,,,,,,,1541
08/2009,825.627,709721.226,48969.742,380918.252,508278.824,27149.608,1533
09/2009,,,,,,,1550
10/2009,,,,,,,1550
11/2009,858.289,643402.705,52170.235,419485.218,748617.795,40759.185,1558
12/2009,858.289,757619.76,61431.51,493952.37,881512.67,47204.39,1558
