year,资金流：家庭：来源
区域,中国
次国家,
频率,"年, 年终12月"
单位,十亿人民币
数据来源,中国人民银行
状态,继续
数列ID,1827301 (CAACEV)
SR码,SR136014627
Trade Code,
助记符,
函数说明,
首次观测日期,1992
最后观测日期,2020
最后更新时间,21/10/2022
数列备注,
您可以,
平均,2366.29325182069
方差,8560210.35077569
标准差,2925.7837156522164
偏度,1.1686444176689705
峰度,-0.011269911772036512
变异系数,1.2364417273307269
最小,8.933
最大,8676.87956666
中位数,698.762
参照期间,29
1992,15.78
1993,16.951
1994,26.682
1995,35.508
1996,8.933
1997,15.033
1998,83.958
1999,131.633
2000,297.155
2001,350.678
2002,507.432
2003,698.762
2004,580.249
2005,354.08381928
2006,666.4
2007,1197.9
2008,708.5
2009,2541.5
2010,3054.775867
2011,2549.6
2012,2772.4
2013,4185.02862512
2014,3824.9
2015,4149.70469268
2016,7082.81490194
2017,7948.8
2018,8035.33853212
2019,8105.124298
2020,8676.87956666
