year,已开发土地面积：年初至今
区域,中国
次国家,
频率,月
单位,千平方米
数据来源,国家统计局
状态,继续
数列ID,4007301 (CEGBB)
SR码,SR390139
Trade Code,
助记符,
函数说明,
首次观测日期,01/1997
最后观测日期,12/2010
最后更新时间,25/11/2020
数列备注,
您可以,
平均,76437.05024404761
方差,4447053509.564142
标准差,66686.23178411074
偏度,0.9200205792624959
峰度,-0.09181645327865695
变异系数,0.8724333496804948
最小,596
最大,268707.7
中位数,53637.45
参照期间,168
01/1997,1188
02/1997,3564
03/1997,5908
04/1997,8428
05/1997,10529
06/1997,13100
07/1997,15780
08/1997,16980
09/1997,20240
10/1997,23110
11/1997,25450
12/1997,61580
01/1998,596
02/1998,1788
03/1998,3846.5
04/1998,6542
05/1998,9332.1
06/1998,13925.8
07/1998,18398.7
08/1998,21757.3
09/1998,24390.2
10/1998,27640.6
11/1998,30536.6
12/1998,60880.8
01/1999,2990.4
02/1999,2990.4
03/1999,7424.8
04/1999,10927.7
05/1999,17057.7
06/1999,22026.1
07/1999,25826.4
08/1999,28547.7
09/1999,31379.9
10/1999,34970.8
11/1999,38721.6
12/1999,84271.6
01/2000,4014.9
02/2000,4014.9
03/2000,7510.7
04/2000,11685.4
05/2000,18606.6
06/2000,26101.2
07/2000,31970
08/2000,36441.5
09/2000,42031.9
10/2000,47971.6
11/2000,53369.8
12/2000,103005.4
01/2001,5241.8
02/2001,5241.8
03/2001,12373.7
04/2001,18871.6
05/2001,26242.5
06/2001,33342.5
07/2001,43163.2
08/2001,50965.1
09/2001,58706.8
10/2001,65608.7
11/2001,71958.3
12/2001,145089
01/2002,7035
02/2002,7035
03/2002,17141.4
04/2002,27987.1
05/2002,37705.2
06/2002,50903.5
07/2002,60786.4
08/2002,69038.8
09/2002,81753.7
10/2002,88469.7
11/2002,97317.3
12/2002,173467.9
01/2003,12701.7
02/2003,12701.7
03/2003,28712.5
04/2003,39637.5
05/2003,53905.1
06/2003,71436.9
07/2003,85264.5
08/2003,98286.7
09/2003,113681.3
10/2003,123477.4
11/2003,135133.5
12/2003,208537.5
01/2004,20304
02/2004,20304
03/2004,37241
04/2004,52601
05/2004,54092
06/2004,79202
07/2004,85179
08/2004,98146
09/2004,122398
10/2004,134368
11/2004,146887
12/2004,197402
01/2005,21041
02/2005,21041
03/2005,34459
04/2005,46221
05/2005,60161
06/2005,81905
07/2005,96627
08/2005,109990
09/2005,121952
10/2005,132714
11/2005,143718
12/2005,207622
01/2006,28031.3
02/2006,28031.3
03/2006,52841.3
04/2006,72805.1
05/2006,87931.1
06/2006,109732.5
07/2006,127310.6
08/2006,140219.5
09/2006,163419.5
10/2006,183906.5
11/2006,198443.2
12/2006,266056
01/2007,25825.2
02/2007,25825.2
03/2007,53057.3
04/2007,76152.3
05/2007,97752.2
06/2007,118033.5
07/2007,141736.2
08/2007,161739.5
09/2007,181839.3
10/2007,198351.9
11/2007,214281
12/2007,268707.7
01/2008,31332
02/2008,31332
03/2008,58895.7
04/2008,80653.1
05/2008,101958.3
06/2008,129773.8
07/2008,147666
08/2008,165193.2
09/2008,178878.9
10/2008,193439.1
11/2008,208514.5
12/2008,260332.7
01/2009,26472.2
02/2009,26472.2
03/2009,52226.2
04/2009,70782.1
05/2009,88446.9
06/2009,110096.5
07/2009,127894.5
08/2009,149201.1
09/2009,167062.4
10/2009,184446.6
11/2009,203383.3
12/2009,230060.4
01/2010,15670.7
02/2010,15670.7
03/2010,38278.6
04/2010,59385.5
05/2010,79215.6
06/2010,105172.8
07/2010,123900.7
08/2010,138847.4
09/2010,155114.2
10/2010,173627.752
11/2010,193613.136
12/2010,212536.553
