year,土地购买面积：年初至今
区域,中国
次国家,
频率,月
单位,千平方米
数据来源,国家统计局
状态,继续
数列ID,4007201 (CEGBA)
SR码,SR390138
Trade Code,
助记符,
函数说明,
首次观测日期,12/1998
最后观测日期,09/2022
最后更新时间,26/10/2022
数列备注,
您可以,
平均,136592.46022027964
方差,10943193325.90174
标准差,104609.719079547
偏度,0.7015974186303224
峰度,-0.4804380543053446
变异系数,0.7658528070352142
最小,3808.8
最大,409729.489
中位数,111285.2765
参照期间,286
12/1998,80280
01/1999,3808.8
02/1999,3808.8
03/1999,9203.5
04/1999,16586.1
05/1999,21812.5
06/1999,28835.7
07/1999,35020.2
08/1999,40441.4
09/1999,44751
10/1999,50657.4
11/1999,55690
12/1999,109030.6
01/2000,6410
02/2000,6410
03/2000,14677.9
04/2000,23999.1
05/2000,33784.4
06/2000,42292.9
07/2000,54109.6
08/2000,61432.9
09/2000,70437
10/2000,77574.3
11/2000,86921.9
12/2000,152671.8
01/2001,11799.8
02/2001,11799.8
03/2001,19935.5
04/2001,34187.2
05/2001,49126.7
06/2001,66664.5
07/2001,82013.6
08/2001,96132.4
09/2001,108964.2
10/2001,128031.6
11/2001,139339.8
12/2001,216606
01/2002,15117.9
02/2002,15117.9
03/2002,38525.3
04/2002,59747.2
05/2002,71917.6
06/2002,97365
07/2002,119396.4
08/2002,136798.4
09/2002,159090.4
10/2002,179380
11/2002,202455.5
12/2002,303823.2
01/2003,27002.6
02/2003,27002.6
03/2003,53797.2
04/2003,76933.1
05/2003,112802
06/2003,150693.8
07/2003,176725
08/2003,201915.8
09/2003,230822
10/2003,253459.4
11/2003,277984.1
12/2003,369650.3
01/2004,39162
02/2004,39162
03/2004,71667
04/2004,94921
05/2004,123805
06/2004,158494
07/2004,187394
08/2004,214115
09/2004,240244
10/2004,270599
11/2004,298867
12/2004,397847
01/2005,36482
02/2005,36482
03/2005,73742
04/2005,97164
05/2005,128333
06/2005,162997
07/2005,194483
08/2005,220156
09/2005,248050
10/2005,275325
11/2005,310785
12/2005,382099
01/2006,34609.4
02/2006,34609.4
03/2006,66851.2
04/2006,92217.4
05/2006,115871.8
06/2006,156837.2
07/2006,185200.9
08/2006,210900.2
09/2006,240542.3
10/2006,268270
11/2006,294595
12/2006,367910.2
01/2007,24090.2
02/2007,24090.2
03/2007,61100.4
04/2007,91629.5
05/2007,121698.8
06/2007,172518.2
07/2007,208804.4
08/2007,242900.7
09/2007,283463.5
10/2007,313507.9
11/2007,340310.3
12/2007,406091.8
01/2008,32703.1
02/2008,32703.1
03/2008,79221.4
04/2008,101756.7
05/2008,138351.7
06/2008,185609.8
07/2008,219738
08/2008,249421.1
09/2008,275367.3
10/2008,295961.2
11/2008,320165
12/2008,367853.7
01/2009,22880.7
02/2009,22880.7
03/2009,47416.5
04/2009,72661
05/2009,98747.7
06/2009,136439.8
07/2009,163085
08/2009,186306.7
09/2009,214511
10/2009,240716.5
11/2009,270914.7
12/2009,319060.8
01/2010,24066.2
02/2010,24066.2
03/2010,61659.8
04/2010,91825.8
05/2010,129425.4
06/2010,185012.3
07/2010,217467
08/2010,256908.3
09/2010,290830.9
10/2010,327781.323
11/2010,360801.372
12/2010,409695.338
01/2011,47064.91
02/2011,47064.91
03/2011,81807.8
04/2011,119700.318
05/2011,166382.397
06/2011,219097.982
07/2011,250890.434
08/2011,281772.373
09/2011,311840.16
10/2011,337479.583
11/2011,371534.054
12/2011,409729.489
01/2012,46839.169
02/2012,46839.169
03/2012,78588.719
04/2012,96573.178
05/2012,135321.409
06/2012,175431.856
07/2012,189820.588
08/2012,236236.281
09/2012,260333.189
10/2012,276594.021
11/2012,316380.194
12/2012,356667.964
01/2013,38127.11
02/2013,38127.11
03/2013,61337.441
04/2013,88249.346
05/2013,117559.321
06/2013,157214.858
07/2013,187169.503
08/2013,214822.935
09/2013,251666.309
10/2013,266575.406
11/2013,347727.885
12/2013,388143.811
01/2014,40620.226
02/2014,40620.226
03/2014,59896.431
04/2014,81304.058
05/2014,110898.95
06/2014,148074.589
07/2014,178239.826
08/2014,207873.513
09/2014,240140.988
10/2014,269717.055
11/2014,297362.755
12/2014,333830.332
01/2015,27727.629
02/2015,27727.629
03/2015,40514.226
04/2015,54694.672
05/2015,76504.773
06/2015,97997.41
07/2015,121133.661
08/2015,141160.076
09/2015,158902.224
10/2015,178474.129
11/2015,198937.245
12/2015,228107.888
01/2016,22356.048
02/2016,22356.048
03/2016,35765.758
04/2016,51136.473
05/2016,71960.922
06/2016,95018.876
07/2016,111671.603
08/2016,129224.526
09/2016,149166.11
10/2016,168727.328
11/2016,190457.259
12/2016,220252.473
01/2017,23737.368
02/2017,23737.368
03/2017,37820.364
04/2017,55275.843
05/2017,75800.407
06/2017,103405.206
07/2017,124095.959
08/2017,142292.419
09/2017,167330.935
10/2017,190478.085
11/2017,221582.363
12/2017,255082.924
01/2018,23445.568
02/2018,23445.568
03/2018,38020.671
04/2018,54115.643
05/2018,77417.619
06/2018,110851.143
07/2018,138176.117
08/2018,164512.931
09/2018,193661.832
10/2018,219625.701
11/2018,253256.312
12/2018,291415.68
01/2019,15451.85
02/2019,15451.85
03/2019,25433.29
04/2019,35822.803
05/2019,51697.856
06/2019,80352.864
07/2019,97611.697
08/2019,122360.624
09/2019,154540.278
10/2019,183827.66
11/2019,217196.734
12/2019,258222.894
01/2020,10920.012
02/2020,10920.012
03/2020,19686.163
04/2020,31509.571
05/2020,47520.498
06/2020,79646.127
07/2020,96593.039
08/2020,119467.782
09/2020,150105.962
10/2020,177747.697
11/2020,205905.951
12/2020,255362.826
01/2021,14528.398
02/2021,14528.398
03/2021,23012.992
04/2021,33009.699
05/2021,43956.142
06/2021,70212.373
07/2021,87640.791
08/2021,107326.549
09/2021,137299.762
10/2021,158240.85
11/2021,182874.788
12/2021,215898.573
01/2022,8381.311
02/2022,8381.311
03/2022,13390.801
04/2022,17661.43
05/2022,23889.855
06/2022,36279.58
07/2022,45456.539
08/2022,54000.507
09/2022,64487.158
