year,工业生产：电力
区域,中国
次国家,
频率,"年, 年终12月"
单位,十亿千瓦时
数据来源,国家统计局
状态,继续
数列ID,3726801 (CBTD)
SR码,SR56233
Trade Code,
助记符,
函数说明,
首次观测日期,1949
最后观测日期,2021
最后更新时间,18/10/2022
数列备注,
您可以,
平均,1581.09827525274
方差,5268668.933624316
标准差,2295.35812753137
偏度,1.6226577484479303
峰度,1.461310709481114
变异系数,1.4517491818555393
最小,4.3
最大,8534.248
中位数,410.69
参照期间,73
1949,4.3
1950,4.6
1951,5.7
1952,7.3
1953,9.2
1954,11
1955,12.3
1956,16.6
1957,19.3
1958,27.5
1959,42.3
1960,59.4
1961,48
1962,45.8
1963,49
1964,56
1965,67.6
1966,82.5
1967,77.4
1968,71.6
1969,94
1970,115.9
1971,138.4
1972,152.4
1973,166.8
1974,168.8
1975,195.8
1976,203.1
1977,223.4
1978,256.55
1979,281.95
1980,300.63
1981,309.27
1982,327.68
1983,351.44
1984,376.99
1985,410.69
1986,449.53
1987,497.27
1988,545.21
1989,584.81
1990,621.2
1991,677.55
1992,753.94
1993,838.26
1994,928.08
1995,1007.73
1996,1081.31
1997,1135.553
1998,1167
1999,1239.3
2000,1355.6
2001,1480.802
2002,1654
2003,1910.575
2004,2203.309
2005,2500.26
2006,2865.726
2007,3281.553
2008,3466.882
2009,3714.651
2010,4207.16
2011,4713.019
2012,4987.553
2013,5431.635
2014,5794.4568881
2015,5814.5732617
2016,6133.1600522
2017,6604.447
2018,7166.13323921
2019,7503.42765224
2020,7779.06
2021,8534.248
