year,物业价格：平均,物业价格：其他建筑类型,物业价格：商业建筑,物业价格：办公楼,物业价格：经济适用房,物业价格：住宅：别墅及公寓,物业价格：住宅
区域,中国,中国,中国,中国,中国,中国,中国
次国家,,,,,,,
频率,"年, 年终12月","年, 年终12月","年, 年终12月","年, 年终12月","年, 年终12月","年, 年终12月","年, 年终12月"
单位,人民币/平方米,人民币/平方米,人民币/平方米,人民币/平方米,人民币/平方米,人民币/平方米,人民币/平方米
数据来源,国家统计局,国家统计局,国家统计局,国家统计局,国家统计局,国家统计局,国家统计局
状态,继续,继续,继续,继续,继续,继续,继续
数列ID,11130001 (CRKADWB),11130601 (CRKADWH),11130501 (CRKADWG),11130401 (CRKADWF),11130301 (CRKADWE),11130201 (CRKADWD),11130101 (CRKADWC)
SR码,SR90995757,SR90995817,SR90995807,SR90995797,SR90995787,SR90995777,SR90995767
Trade Code,,,,,,,
助记符,,,,,,,
函数说明,,,,,,,
首次观测日期,1991,1995,1995,1995,1997,1995,1991
最后观测日期,2021,2021,2021,2021,2010,2019,2021
最后更新时间,17/01/2022,28/10/2022,28/10/2022,28/10/2022,26/09/2011,13/10/2020,17/01/2022
数列备注,,,,,,,
您可以,,,,,,,
平均,4309.530132008064,3515.620804122693,6777.650945301541,9378.008790131153,1536.3053987885712,9041.496977469998,4126.0314878303225
方差,8064563.207802946,1767701.499837328,9555908.90785309,16695005.555126393,189319.6884974472,21756822.960374277,8170867.604462289
标准差,2839.817460296162,1329.549359684449,3091.263319074111,4085.9522213464993,435.10882374119603,4664.420967319982,2858.4729497517183
偏度,0.7005404448227818,-0.056070363198698646,0.03613380878436121,-0.11517664390304887,0.8638139066777397,0.47849284460501496,0.8255024334223756
峰度,-0.7405287097170197,-1.6471684602852168,-1.7320859293870645,-1.615559400440727,0.13309754474560975,-1.2299563693563944,-0.44583015082266986
变异系数,0.6589622008218616,0.37818338033650134,0.45609656561276035,0.4356950726732425,0.2832176623764351,0.515890341935964,0.6927899019148903
最小,786.19350446,1646.33,2503.53,2675.86,1035,3535.68,756.22966884
最大,10139.16057804,5364,10952.06413383,15137.89967107,2495,17886,10395.95737613
中位数,3366.78765887,3511.217865885,6378.5,9637.50868747,1431,7636.12377768,3119.25067242
参照期间,31,26,26,26,14,24,31
1991,786.19350446,,,,,,756.22966884
1992,994.65545623,,,,,,996.40182466
1993,1291.45592569,,,,,,1208.23254943
1994,1408.63858596,,,,,,1194.04579579
1995,1710,1646.33,2503.53,2675.86,,3535.68,1612.59
1996,1806.39890841,,,,,,1604.56188773
1997,1997,2129,3090,4677,1097,5382,1790
1998,2063,1837,3170,5552,1035,4596,1854
1999,2053,1803.52,3332.67,5265,1093,4503,1857
2000,2112,1864.37,3260.38,4751,1202,4288,1948
2001,2170,2033.08,3273.53,4588,1240,4348,2017
2002,2250,1918.83,3488.57,4336,1283,4154,2092
2003,2359,2240.74,3675.14,4196,1380,4145,2197
2004,2778,2235,3884,5744,1482,5576,2608
2005,3167.65694459,2829.3503104,5021.75331522,6922.51983979,1655.2227724,5833.9527358,2936.96282058
2006,3366.78765887,3131.30785487,5246.62068781,8052.78432913,1728.81852984,6584.93388897,3119.25067242
2007,3863.90380222,3351.43573177,5773.82697235,8667.01737494,1754.2342808,7471.24755536,3645.18314688
2008,3800,3219,5886,8378,1929,7801,3576
2009,4681,3671,6871,10608,2134,9662,4459
2010,5032,4099,7747,11406,2495,10934,4725
2011,5357.09984328,4182.11305648,8488.20992764,12327.2845597,,10993.92489891,4993.17460548
2012,5790.98598157,4305.7325116,9020.90758021,12306.41086539,,11460.18838024,5429.93116753
2013,6237.297167,4907.499381,9777.138163,12996.53101,,12591,5849.754935
2014,6324,5177,9817,11826,,12965,5933
2015,6792.5491727,4845,9566,12914.0957138,,15157,6472.35930181
2016,7475.57336718,4832,9786.20593325,14332.20894118,,15911,7202.57545512
2017,7892.27498651,5364,10322.92475601,13543.05566716,,14965,7613.81621058
2018,8726,5336,10903,14379,,16252,8553
2019,9310.27673254,5074,10952.06413383,14314.56057125,,17886,9287.06219119
2020,9859.525477,4787,10646.45310852,15137.89967107,,,9979.88651357
2021,10139.16057804,4586.83206107,10715,13932,,,10395.95737613
