year,已出售商品建筑：年初至今：共计,在建建筑面积：年初至今：商品建筑（CB）,已出售建筑面积：商品建筑：年初至今
1995,95509.0,436947.8,60259.4
1996,134038.0,466885.3,76181.3
1997,156352.0,434675.5,79119.1
1998,213490.0,484730.0,106620.0
1999,265533.0,551051.1,133805.8
2000,357200.0,635290.1,169841.4
2001,462572.0,772134.9,207792.4
2002,572122.0,927569.9,249692.9
2003,767090.0,1169074.6,322472.4
2004,1037570.69,1404513.926,382316.415
2005,1808030.0,1644449.668,557691.4
2006,2050967.55,1940901.6,606281.351
2007,2960386.83,2358816.142,761927.001
2008,2407140.75,2741490.111,620889.406
2009,4399454.15,3196495.41,947550.0
2010,5247872.38,4055389.149,1043491.091
2011,5911908.7,5079593.932,1099455.591
2012,6445578.56,5734175.193,1113036.464
2013,8142828.42,6655718.884,1305505.927
2014,7629240.97,7264823.38,1206485.414
2015,8728083.75,7356933.687,1284949.66
2016,11762704.75,7589748.03,1573485.293
2017,13370130.64,7814837.26,1694078.154
2018,14997273.74,8223002.399,1716543.616
2019,15972512.23,8938208.892,1715578.676
2020,17361265.89,9267591.876,1760862.217
2021,18192994.94,9753865.101,1794334.099
2022,9937969.27,8789194.094,1014217.191
