year,已出售商品建筑：年初至今：共计,在建建筑面积：年初至今：商品建筑（CB）,已出售建筑面积：商品建筑：年初至今
区域,中国,中国,中国
次国家,,,
频率,月,月,月
单位,百万人民币,千平方米,千平方米
数据来源,国家统计局,国家统计局,国家统计局
状态,继续,继续,继续
数列ID,3955901 (CECB),3963401 (CECC),3964901 (CECF)
SR码,SR442079,SR433116,SR186852
Trade Code,,,
助记符,,,
函数说明,,,
首次观测日期,12/1995,12/1995,12/1995
最后观测日期,09/2022,09/2022,09/2022
最后更新时间,26/10/2022,26/10/2022,26/10/2022
数列备注,[COVID-19-IMPACT],,
您可以,,,
平均,2781945.240372671,3538283.01134472,393630.1599596275
方差,14382506268022.467,9281119676544.467,183138679492.14343
标准差,3792427.4901469727,3046493.0127187995,427947.05220639554
偏度,1.8086442370148468,0.4102330136262007,1.291523749948569
峰度,2.8395281175861844,-1.4010473106046704,0.8871580211914174
变异系数,1.3632286628470578,0.8610088573895573,1.0871805459477184
最小,2085,88604.4,2746.3
最大,18192994.94,9753865.101,1794334.099
中位数,1083812.795,2400093.392,208386.1095
参照期间,322,322,322
12/1995,95509,436947.8,60259.4
01/1996,2085,88604.4,3479.2
02/1996,2085,88604.4,3479.2
03/1996,9175,172495.2,5032.4
04/1996,14886,215256.4,14164.2
05/1996,22005,248359.1,11564.5
06/1996,29084,286065.7,15864.7
07/1996,35193,314046.7,19508.5
08/1996,41364,328188.1,23626.5
09/1996,47403,342959,27148.8
10/1996,54276,366227.3,30989.2
11/1996,67479,368935.7,36302.5
12/1996,134038,466885.3,76181.3
01/1997,7004,118631.8,2746.3
02/1997,7004,118631.8,2746.3
03/1997,12523,183386.6,5489.4
04/1997,19122,225128,9020.4
05/1997,25846,251370.9,12492.7
06/1997,34277,279199.8,17147.2
07/1997,43698,294758.9,21871.6
08/1997,52297,316568.3,26037.5
09/1997,62212,328712.5,30336.8
10/1997,71224,344753.3,35104.6
11/1997,81621,359527.3,40311.2
12/1997,156352,434675.5,79119.1
01/1998,7900,133040,3780
02/1998,7900,133040,3780
03/1998,16400,194750,7720
04/1998,28500,237340,12620
05/1998,41100,273200,18160
06/1998,58000,306410,26300
07/1998,72300,330100,33110
08/1998,85770,352940,39580
09/1998,97810,372960,46020
10/1998,111840,393350,53250
11/1998,125000,409640,60400
12/1998,213490,484730,106620
01/1999,8984,173388.9,4150.5
02/1999,8984,173388.9,4150.5
03/1999,19376,281878.1,9586.3
04/1999,30181,298112.3,15341.3
05/1999,42770,336449.6,20944.6
06/1999,58432,369630.6,29031.1
07/1999,72464,393638.7,35657.2
08/1999,84970,411339.1,42292.6
09/1999,101494,431202.5,50165
10/1999,120277,448597.3,59678.7
11/1999,141498,471308.4,69704.6
12/1999,265533,551051.1,133805.8
01/2000,14439,191693.3,6361
02/2000,14439,191693.3,6361
03/2000,29597,277549.2,13915.5
04/2000,45031,323511.3,21539.3
05/2000,62365,364635.7,29581.3
06/2000,84493,408463.8,40731.8
07/2000,103255,440304.1,50148.3
08/2000,124470,465595.3,60068.8
09/2000,146074,491545.7,70887.3
10/2000,169174,515676.3,82488
11/2000,199791,541346.9,95532.6
12/2000,357200,635290.1,169841.4
01/2001,22246,240495.9,8779.6
02/2001,22246,240495.9,8779.6
03/2001,44065,337412.4,18287.2
04/2001,65378,393220.4,28007.8
05/2001,89884,443940.2,37950.5
06/2001,118116,495238.9,51265.7
07/2001,145388,538294.1,63652.9
08/2001,172113,571159.6,76038.5
09/2001,199827,603845.3,89772.7
10/2001,225939,631840.3,101689.4
11/2001,257817,658515.5,116175.5
12/2001,462572,772134.9,207792.4
01/2002,22286,284532.3,9237.5
02/2002,22286,284532.3,9237.5
03/2002,51403,407842.9,21526.6
04/2002,77974,485469.4,33795.7
05/2002,104549,541119.8,45646
06/2002,144517,605289.5,62798.5
07/2002,177998,660314.1,76897
08/2002,215703,697147.5,93001.7
09/2002,263540,737491.9,111290.9
10/2002,305884,773866.1,129759
11/2002,353584,807300.4,150793.6
12/2002,572122,927569.9,249692.9
01/2003,39242,374645.9,15603.8
02/2003,39242,374645.9,15603.8
03/2003,78469,525923.1,31254.2
04/2003,114743,613201.8,46325.1
05/2003,154995,694633.1,63331.6
06/2003,210177,775829.2,86723.5
07/2003,257492,834238.6,106571.3
08/2003,305814,882965.7,126287
09/2003,373643,936158.6,151892.4
10/2003,430946,982341.5,174478.9
11/2003,489886,1029300.2,199502
12/2003,767090,1169074.6,322472.4
01/2004,57878,542124.7,22215.1
02/2004,57878,542124.7,22215.1
03/2004,114334,700728.6,42711.6
04/2004,164154,802913.952,62007
05/2004,225027,895345.621,83100.9
06/2004,297354,977854.067,110098.8
07/2004,365749,1038991.746,134265.807
08/2004,428705,1099881.481,155959.655
09/2004,505387.76,1156808.047,182017.698
10/2004,570388.9,1204849.062,206816.323
11/2004,654573.45,1255323.116,237255.052
12/2004,1037570.69,1404513.926,382316.415
01/2005,80736.63,638484.015,25964.545
02/2005,80736.63,638484.015,25964.545
03/2005,155933.48,835586.4,51726.699
04/2005,215028.75,963156.051,72618.084
05/2005,279637.71,1063469.377,94848.282
06/2005,372728.19,1162704.3,125363.495
07/2005,493827.82,1245351.182,165269.155
08/2005,1002737,1309577.612,312024.7
09/2005,1131330,1373262.792,347256
10/2005,1292589,1429686.544,393521.9
11/2005,1443014,1488511.104,433882.3
12/2005,1808030,1644449.668,557691.4
01/2006,188192.73,802597.124,53438.894
02/2006,188192.73,802597.124,53438.894
03/2006,319270,1030620.674,94587.084
04/2006,461535.41,1175646.664,135608.711
05/2006,627004.43,1285770.893,181369.646
06/2006,795747.98,1405518.853,229766.21
07/2006,944007.79,1484988.868,273079.773
08/2006,1087072.01,1551225.19,313845.865
09/2006,1241534.22,1632736.293,358833.682
10/2006,1405316.52,1698406.876,407806.72
11/2006,1614135.88,1761697.103,461139.334
12/2006,2050967.55,1940901.6,606281.351
01/2007,224790,942106.9,53714.7
02/2007,224790,942106.9,53714.7
03/2007,405074.51,1243771.3,106007.717
04/2007,599731.84,1426157.1,157651.587
05/2007,805975.47,1567398.7,211479.957
06/2007,1064282.68,1713756,279041.489
07/2007,1314243.99,1819378.9,341372.448
08/2007,1582034.31,1903023.606,405728.108
09/2007,1868477.42,1998666.321,473697.137
10/2007,2128695.11,2085656.907,535649.647
11/2007,2400264.35,2166292.491,601568.855
12/2007,2960386.83,2358816.142,761927.001
01/2008,215474.68,1244057.877,51441.47
02/2008,215474.68,1244057.877,51441.47
03/2008,411053.12,1586222.79,104495.588
04/2008,590478.98,1788643.871,149941.478
05/2008,783723.77,1956992.99,196333.983
06/2008,1032543.05,2126604.581,258926.321
07/2008,1222116.74,2228966.964,304539.602
08/2008,1381343.5,2316079.402,345922.759
09/2008,1587852.82,2403843.784,403207.625
10/2008,1759002.68,2476353.46,447229.61
11/2008,1926118.91,2549361.439,491483.795
12/2008,2407140.75,2741490.111,620889.406
01/2009,239697.6,1420610.324,51312.348
02/2009,239697.6,1420610.324,51312.348
03/2009,505863.75,1787181.291,113087.393
04/2009,799591.61,2009777.204,176254.512
05/2009,1138892.4,2185269.675,246444.399
06/2009,1579956.8,2396343,341085.933
07/2009,1959959.11,2506837,417549.804
08/2009,2346374.11,2628245.2,494160.365
09/2009,2753189,2774103.3,583710.169
10/2009,3152912.32,2882000.3,663687.26
11/2009,3598712,2988398.257,752031.468
12/2009,4399454.15,3196495.41,947550
01/2010,411573.89,2096873.67,71551.755
02/2010,411573.89,2096873.67,71551.755
03/2010,797679.97,2422026.757,153609.212
04/2010,1242524.37,2646311.405,234121.627
05/2010,1576019.24,2850852.428,301894.343
06/2010,1981984.55,3084277.182,393525.299
07/2010,2288569.21,3242593.939,458186.106
08/2010,2641823.94,3391807.316,527044.746
09/2010,3191657.77,3554021.954,631502.318
10/2010,3699227.65,3697967.878,724285.543
11/2010,4227788.89,3842771.536,825412.735
12/2010,5247872.38,4055389.149,1043491.091
01/2011,524160.78,2914729.75,81429.48
02/2011,524160.78,2914729.75,81429.48
03/2011,1015190.79,3274017.636,176427.883
04/2011,1407772.55,3524716.232,248979.173
05/2011,1862009.54,3775160.426,329316.419
06/2011,2458941.52,4057375.58,444193.314
07/2011,2885210.55,4241952.52,520371.158
08/2011,3326439.66,4426159.636,598541.832
09/2011,3931153.83,4607855.526,712887.465
10/2011,4382623.76,4747856.719,796531.233
11/2011,4904686.07,4913110.611,895938.752
12/2011,5911908.7,5079593.932,1099455.591
01/2012,414458.2,3949008.15,70041.538
02/2012,414458.2,3949008.15,70041.538
03/2012,867202.56,4092214.913,152391.518
