year,工业生产：钢
区域,中国
次国家,
频率,"年, 年终12月"
单位,百万吨
数据来源,国家统计局
状态,继续
数列ID,3727101 (CBTF)
SR码,SR56236
Trade Code,
助记符,
函数说明,
首次观测日期,1949
最后观测日期,2021
最后更新时间,18/10/2022
数列备注,
您可以,
平均,209.65627496616400
方差,98475.16554600940
标准差,313.8075294603520
偏度,1.542489382119870
峰度,0.932895985967793
变异系数,1.4967714632485700
最小,0.16
最大,1064.76676179
中位数,46.79
参照期间,73
1949,0.16
1950,0.61
1951,0.9
1952,1.35
1953,1.77
1954,2.23
1955,2.85
1956,4.47
1957,5.35
1958,8
1959,13.87
1960,18.66
1961,8.7
1962,6.67
1963,7.62
1964,9.64
1965,12.23
1966,15.32
1967,10.29
1968,9.04
1969,13.33
1970,17.79
1971,21.32
1972,23.38
1973,25.22
1974,21.12
1975,23.9
1976,20.46
1977,23.74
1978,31.78
1979,34.48
1980,37.12
1981,35.6
1982,37.16
1983,40.02
1984,43.47
1985,46.79
1986,52.2
1987,56.28
1988,59.43
1989,61.59
1990,66.35
1991,71
1992,80.94
1993,89.56
1994,92.61
1995,95.3599
1996,101.2406
1997,108.9417
1998,115.59
1999,124.26
2000,128.5
2001,151.6344
2002,182.3661
2003,222.336
2004,282.9109
2005,353.2398
2006,419.1485
2007,489.288
2008,503.0575
2009,572.1823
2010,637.2299
2011,685.2831
2012,723.8822
2013,813.1389
2014,822.3063
2015,803.825
2016,807.6094
2017,870.7409
2018,929.0384
2019,995.41891074
2020,1064.76676179
2021,1035.2426
