year,农业产量：小麦
区域,中国
次国家,
频率,"年, 年终12月"
单位,千吨
数据来源,国家统计局
状态,继续
数列ID,3722001 (CBRB)
SR码,SR524611
Trade Code,
助记符,
函数说明,
首次观测日期,1949
最后观测日期,2021
最后更新时间,20/10/2022
数列备注,
您可以,
平均,72327.39531534616
方差,1758448127.9902685
标准差,41933.85419908679
偏度,-0.03210552280955312
峰度,-1.5565574300644154
变异系数,0.5797782986136294
最小,13810
最大,136944.46278834
中位数,85805
参照期间,73
1949,13810
1950,14500
1951,17230
1952,18130
1953,18280
1954,23340
1955,22970
1956,24800
1957,23640
1958,22590
1959,22180
1960,22170
1961,14250
1962,16670
1963,18480
1964,20840
1965,25220
1966,25280
1967,28490
1968,27460
1969,27290
1970,29190
1971,32580
1972,35990
1973,35230
1974,40870
1975,45310
1976,50390
1977,41080
1978,53840
1979,62730
1980,55205
1981,59640
1982,68470
1983,81390
1984,87815
1985,85805
1986,90040
1987,87768
1988,85432
1989,90807
1990,98229
1991,95953
1992,101587
1993,106390
1994,99297
1995,102207
1996,110569.1
1997,123288.5
1998,109726.1
1999,113879.6
2000,99635.8
2001,93873.4
2002,90290
2003,86488.4735
2004,91951.807
2005,97445.125
2006,108465.8695
2007,109491.5485889
2008,112901.29726694
2009,115796.11400078
2010,116093.35549689
2011,118569.54237365
2012,122474.92302357
2013,123639.31371372
2014,128235.20626442
2015,132555.15993387
2016,133188.32844015
2017,134241.26752206
2018,131440.4896974
2019,133596.25729804
2020,134253.81661154
2021,136944.46278834
