year,政府收入：税收
区域,中国
次国家,
频率,月
单位,十亿人民币
数据来源,财政部
状态,继续
数列ID,4331801 (CFPAAA)
SR码,SR353862
Trade Code,
助记符,
函数说明,
首次观测日期,01/1995
最后观测日期,09/2022
最后更新时间,25/10/2022
数列备注,
您可以,
平均,573.1613343653255
方差,243250.78961319855
标准差,493.20461231946985
偏度,0.7562290693874929
峰度,-0.43567251575773414
变异系数,0.860498750959198
最小,25.909
最大,2147.644
中位数,436.961
参照期间,323
01/1995,26.102
02/1995,25.909
03/1995,50.825
04/1995,39.284
05/1995,45.116
06/1995,60.915
07/1995,52.458
08/1995,40.195
09/1995,52.993
10/1995,53.049
11/1995,55.543
12/1995,101.411
01/1996,45.976
02/1996,32.225
03/1996,49.543
04/1996,60.93
05/1996,47.888
06/1996,53.668
07/1996,63.984
08/1996,48.597
09/1996,56.679
10/1996,65.406
11/1996,57.958
12/1996,108.128
01/1997,57.751
02/1997,40.954
03/1997,65.093
04/1997,70.725
05/1997,64.15
06/1997,76.458
07/1997,78.691
08/1997,54.99
09/1997,58.95
10/1997,80.917
11/1997,65.182
12/1997,109.539
01/1998,58.706
02/1998,49.121
03/1998,68.839
04/1998,77.874
05/1998,63.295
06/1998,85.642
07/1998,81.813
08/1998,61.104
09/1998,73.44
10/1998,87.18
11/1998,82.447
12/1998,136.819
01/1999,82.236
02/1999,55.974
03/1999,84.966
04/1999,94.312
05/1999,80.47
06/1999,104.952
07/1999,98.034
08/1999,69.956
09/1999,79.273
10/1999,92.932
11/1999,86.07
12/1999,139.083
01/2000,101.437
02/2000,71.463
03/2000,101.788
04/2000,113.652
05/2000,89.204
06/2000,113.755
07/2000,115.586
08/2000,99.045
09/2000,101.838
10/2000,118.207
11/2000,103.232
12/2000,128.944
01/2001,129.88
02/2001,99.24
03/2001,124.3
04/2001,147.9
05/2001,115.75
06/2001,130.36
07/2001,137.14
08/2001,116.37
09/2001,120.38
10/2001,142.25
11/2001,121.889
12/2001,144.679
01/2002,144.363
02/2002,93.3
03/2002,124.62
04/2002,167.613
05/2002,136.686
06/2002,141.658
07/2002,161.811
08/2002,125.384
09/2002,139.648
10/2002,172.857
11/2002,138.619
12/2002,217.086
01/2003,190.393
02/2003,143.632
03/2003,158.78
04/2003,194.693
05/2003,159.241
06/2003,172.036
07/2003,183.874
08/2003,129.71
09/2003,164.155
10/2003,186.61
11/2003,150.59
12/2003,168.017
01/2004,242.92
02/2004,199.66
03/2004,212.13
04/2004,267.94
05/2004,202.45
06/2004,210.64
07/2004,231.21
08/2004,148.35
09/2004,169.68
10/2004,207.27
11/2004,161.1
12/2004,160.84
01/2005,294.38
02/2005,203.2
03/2005,227.33
04/2005,309.08
05/2005,229.17
06/2005,251.77
07/2005,273.88
08/2005,185.83
09/2005,210.852
10/2005,272.84
11/2005,199.61
12/2005,219.912
01/2006,366.03
02/2006,237.06
03/2006,259.54
04/2006,402.27
05/2006,283.18
06/2006,300.39
07/2006,361.27
08/2006,226.7
09/2006,256.33
10/2006,337.78
11/2006,236.47
12/2006,213.952
01/2007,470.81
02/2007,289.87
03/2007,311.07
04/2007,531.39
05/2007,374.16
06/2007,376.19
07/2007,467.95
08/2007,319.79
09/2007,356.17
10/2007,494.23
11/2007,335.81
12/2007,234.757
01/2008,677.26
02/2008,384.44
03/2008,390.27
04/2008,611.63
05/2008,590.14
06/2008,488.84
07/2008,532.325
08/2008,355.122
09/2008,379.29
10/2008,491.73
11/2008,299.04
12/2008,222.292
01/2009,563.901
02/2009,359.826
03/2009,378.631
04/2009,531.323
05/2009,570.97
06/2009,548.356
07/2009,593.492
08/2009,465.962
09/2009,493.295
10/2009,626.009
11/2009,436.961
12/2009,383.433
01/2010,792.391
02/2010,454.956
03/2010,522.908
04/2010,730.202
05/2010,702.536
06/2010,658.16
07/2010,692.269
08/2010,502.158
09/2010,540.157
10/2010,693.777
11/2010,543.722
12/2010,487.843
03/2011,654.401
04/2011,919.267
05/2011,926.471
06/2011,813.22
07/2011,867.961
08/2011,617.205
09/2011,641.209
10/2011,834.21
11/2011,558.212
12/2011,452.199
01/2012,1150.134
02/2012,700
03/2012,735.647
04/2012,942.774
05/2012,1053.551
06/2012,911.057
07/2012,907.656
08/2012,661.816
09/2012,678.373
10/2012,938.152
11/2012,676.01
12/2012,704.918
01/2013,1202.5
02/2013,756.865
03/2013,780.555
04/2013,1016.887
05/2013,1141.091
06/2013,1028.163
07/2013,1017.142
08/2013,714.899
09/2013,783.109
10/2013,1089.255
11/2013,757.216
12/2013,762.018
01/2014,1390.551
02/2014,828.202
03/2014,800.03
04/2014,1108.577
05/2014,1218.971
06/2014,1080.543
07/2014,1113.178
08/2014,728.717
09/2014,800.748
10/2014,1180.575
11/2014,809.673
12/2014,856.035
01/2015,1427.899
02/2015,808.211
03/2015,820.22
04/2015,1172.741
05/2015,1223.983
06/2015,1197.606
07/2015,1228.669
08/2015,753.919
09/2015,829.9
10/2015,1202.295
11/2015,877.538
12/2015,946.219
01/2016,1510.774
02/2016,875.953
03/2016,908.662
04/2016,1378.172
05/2016,1325.166
06/2016,1224.859
07/2016,1272.134
08/2016,767.999
09/2016,824.335
10/2016,1289.096
11/2016,855.437
12/2016,802.813
01/2017,1811.896
02/2017,971.361
03/2017,996.089
04/2017,1445.824
05/2017,1410.222
06/2017,1372.003
07/2017,1442.917
08/2017,890.697
09/2017,969.086
10/2017,1419.203
11/2017,877.902
12/2017,828.8
01/2018,2147.644
02/2018,1147.54
03/2018,1137.978
04/2018,1656.664
05/2018,1591.191
06/2018,1481.834
07/2018,1608.067
08/2018,950.772
09/2018,1026.914
10/2018,1346.377
11/2018,805.093
12/2018,740.026
03/2019,1159.2
04/2019,1698.6
05/2019,1480.1
06/2019,1393.1
07/2019,1562.2
08/2019,908.8
09/2019,983.6
10/2019,1454.4
11/2019,818.5
12/2019,829.3
03/2020,785.4
04/2020,1405.2
05/2020,1372.9
06/2020,1518
07/2020,1651.853
08/2020,972.7
09/2020,1064
10/2020,1616.8
11/2020,918.3
12/2020,1008.3
03/2021,1165.9
04/2021,1872.7
05/2021,1638.1
06/2021,1663
07/2021,1865.1
08/2021,1051.5
09/2021,1107.5
10/2021,1580.6
11/2021,798.2
12/2021,824.1
03/2022,1164
04/2022,986.7
05/2022,1014
06/2022,1310.5
07/2022,1710.3
08/2022,1058.2
09/2022,1111.6
