,CN: Export: Agriculture Product (AP),CN: Export: Refined Petroleum Product,CN: Export: Basic Organic Chemical,CN: Export: Plastic Article,"CN: Export: Textile Yarn, Fabric & Article thereof (TY)",CN: Export: Garment & Clothing Accessory (GC),CN: Export: Furniture & Part thereof,CN: Export: Mechanical & Electrical Product (ME),CN: Export: Hi-Tech Product (HT),CN: (DC)Export: ME: Others,CN: (DC)Export: ME: Metal Product,CN: (DC)Export: ME: Machinery,CN: (DC)Export: ME: Transport Equipment,CN: (DC)Export: ME: Electric & Electronic Product,CN: (DC)Export: ME: Instrument & Apparatus
01/1993,,,,57.73,273.95,653.51,,819.49,,,,,,,
02/1993,,,,93.72,577.81,1215.9,,1331.4,,,,,,,
03/1993,,,,108.19,724.65,1347.52,,1548.59,,,,,,,
04/1993,,,,102.89,712.03,1260.38,,1656.78,,,,,,,
05/1993,,59.6,,107.99,697.55,1400.9,,1765.47,,,,,,,
06/1993,,48.3,,91.11,694.89,1283.89,,1645.44,,,,,,,
07/1993,,63.52,,108.75,719.61,1584.5,,1901.52,,,,,,,
08/1993,,71.02,,120.57,697.99,1637.75,,1813.7,,,,,,,
09/1993,,48,,133.53,753.12,1929.95,,2214.74,,,,,,,
10/1993,,24.78,,127.61,745.44,1498.14,,2045.68,,,,,,,
11/1993,,35.86,,143.99,845.9,1504.71,,2452.2,,,,,,,
12/1993,,69.68,,184.5,1278.29,2558.85,,3511.13,,,,,,,
01/1994,,21.452,,85.54,439.664,968.49,,1249.802,,,,,,,
02/1994,,25.853,,91.317,538.833,1064.826,,1382.747,,,,,,,
03/1994,,70.391,,154.818,830.877,1572.317,,2162.697,,,,,,,
04/1994,,52.219,,134.88,948.215,2048.383,,2156.963,,,,,,,
05/1994,,25.603,,145.129,1024.884,1917.793,,2321.861,,,,,,,
06/1994,,27.003,,172.187,1237.029,2165.665,,2701.3,,,,,,,
07/1994,,44.76,,166.948,987.121,2133.414,,2554.421,,,,,,,
08/1994,,56.221,,178.732,968.904,2087.723,,2594.86,,,,,,,
09/1994,,47.462,,154.34,995.95,2140.357,,2867.344,,,,,,,
10/1994,,39.982,,168.499,924.119,1984.73,,2956.206,,,,,,,
11/1994,,106.794,,220.939,1157.691,2325.3,,3706.227,,,,,,,
12/1994,,103.545,,285.377,1773.3,3122.807,,5345.171,,,,,,,
01/1995,,38.148,,170.915,831.122,1438.238,,2695.525,,,,,,,
02/1995,,31.519,,160.746,968.236,1300.673,,2459.11,,,,,,,
03/1995,,95.381,,232.033,1396.382,1958.75,,3664.596,,,,,,,
04/1995,,61.037,,229.185,1235.478,1800.72,,3318.8,,,,,,,
05/1995,,63.243,,204.709,1343.147,1952.636,,3483.371,,,,,,,
06/1995,,67.202,,219.06,1498.001,2148.191,,3728.242,,,,,,,
07/1995,,60.792,,202.025,1041.235,2169.83,,3675.641,,,,,,,
08/1995,,78.74,,211.045,966.279,2395.9,,3829.054,,,,,,,
09/1995,,74.667,,200.632,1003.334,2415.853,,3697.049,,,,,,,
10/1995,,43.072,,210.814,1010.892,2110.504,,3801.795,,,,,,,
11/1995,,65.186,,202.403,1044.753,1786.628,,4122.5,,,,,,,
12/1995,,112.138,,230.734,1596.125,2534.921,,5389.428,,,,,,,
01/1996,,35.87,,184.654,650.081,1382.535,,2946.422,,,,,,,
02/1996,,53.153,,158.248,659.8,1327.126,,2834.189,,,,,,,
03/1996,,58.771,,192.426,952.207,1459.558,,3320.595,,,,,,,
04/1996,,48.443,,221.02,1038.276,1664.728,,3680.847,,,,,,,
05/1996,,94.682,,210.538,1120.98,1737.861,,3840.939,,,,,,,
06/1996,,48.639,,215.869,1028.469,1870.195,,3860.992,,,,,,,
07/1996,,46.747,,216.922,951.272,2098.515,,4013.188,,,,,,,
08/1996,,102.831,,240.716,1024.989,2670.271,,4358.673,,,,,,,
09/1996,,26.354,,238.705,1009.449,2565.789,,4288.812,,,,,,,
10/1996,,66.138,,251.905,1143.958,2859.81,,4879.376,,,,,,,
11/1996,,63.277,,243.925,1108.167,2249.547,,4491.135,,,,,,,
12/1996,,224.54,,312.652,1433.342,3094.37,,5679.751,,,,,,,
01/1997,,58.148,,236.155,777.253,2058.178,,3687.715,,,,,,,
02/1997,,71.543,,164.359,829.101,1566.956,,2885.812,,,,,,,
03/1997,,135.027,,284.284,1212.951,2276.58,,4538.79,,,,,,,
04/1997,,72.579,,276.721,1322.064,2202.977,,4725.964,,,,,,,
05/1997,,68.594,,302.857,1344.642,2416.619,,4811.088,,,,,,,
06/1997,,208.786,,273.523,1214.926,2594.643,,4933.951,,,,,,,
07/1997,,81.195,,274.638,1129.207,2948.945,,4980.248,,,,,,,
08/1997,,77.405,,307.552,1084.189,3267.148,,4988.015,,,,,,,
09/1997,,79.414,,296.054,1176.547,3352.878,,5500.678,,,,,,,
10/1997,,82.803,,343.719,1227.343,3250.764,,6041.137,,,,,,,
11/1997,,115.964,,340.954,1168.982,2589.869,,5978.566,,,,,,,
12/1997,,143.352,,389.537,1338.266,3241.252,,6267.948,,,,,,,
01/1998,,62.198,,264.542,811.805,2281.146,,4457.874,,,,,,,
02/1998,,75.892,,288.658,878.972,2063.793,,4294.293,,,,,,,
