year,CN: Gross Domestic Product,CN: GDP: Primary Industry,CN: GDP: Secondary Industry(SI)
1952,67.91,34.29,14.11
1953,82.44,37.8,19.16
1954,85.98,39.2,21.08
1955,91.16,42.1,22.15
1956,103.07,44.39,28.04
1957,107.14,43,31.66
1958,131.23,44.59,48.36
1959,144.75,38.38,61.67
1960,147.01,34.07,65.26
1961,123.23,44.11,39.35
1962,116.22,45.31,36.39
1963,124.83,49.75,41.28
1964,146.99,55.9,51.93
1965,173.4,65.11,60.85
1966,188.87,70.22,71.54
1967,179.42,71.42,60.8
1968,174.41,72.63,54.26
1969,196.22,73.62,69.5
1970,227.97,79.33,91.81
1971,245.69,82.63,102.99
1972,255.24,82.74,109.16
1973,275.62,90.75,118.03
1974,282.77,94.52,119.98
1975,303.95,97.12,137.87
1976,298.86,96.71,134.6
1977,325,94.22,151.78
1978,367.87025196,101.84641629,175.5113417
1979,410.04536715,125.89737186,192.53321023
1980,458.75810778,135.94809487,220.46853091
1981,493.58328373,154.56847404,226.90196967
1982,537.33501363,176.16906224,239.76213863
1983,602.09241007,196.09019297,266.29718593
1984,727.85023068,229.5617469,312.47330154
1985,909.89480271,254.17326722,388.6372007
1986,1037.61544537,276.40515442,451.51243754
1987,1217.45946745,320.44628459,527.38326745
1988,1518.03864767,383.11783534,660.71937304
1989,1717.97417348,422.82010635,730.0705934
1990,1887.28688272,501.72215998,774.40889357
1991,2200.5628458,528.88475724,912.95621623
1992,2719.45308997,580.02837973,1172.50125306
1993,3567.32303581,688.75976798,1647.26618682
1994,4863.74503338,947.17945898,2245.25359401
1995,6133.98913367,1202.04838347,2867.67318937
1996,7181.36295867,1387.83326073,3382.72667194
1997,7971.50444918,1426.5227812,3754.50254693
1998,8519.55070896,1461.87266756,3901.752841
1999,9056.43757765,1454.89753948,4107.98771804
2000,10028.01392534,1471.73555691,4566.36676773
2001,11086.31230462,1550.25019652,4965.93758381
2002,12171.74247483,1619.02282973,5410.40860875
2003,13742.20349179,1697.02456702,6269.57593257
2004,16184.01609068,2090.43241772,7428.49764178
2005,18731.89031177,2180.67218695,8808.21782272
2006,21943.84748167,2331.70068398,10435.92278795
2007,27009.23237181,2767.41071835,12663.05421404
2008,31924.46127785,3246.41374253,14995.2937322
2009,34851.77437348,3358.38163368,16016.88128066
2010,41211.92557961,3843.08498089,19162.65156475
2011,48794.01805254,4478.14604971,22703.50990373
2012,53857.9953469,4908.46359219,24463.90685449
2013,59296.3229549,5302.80728537,26195.16139268
2014,64356.31045438,5562.63215707,27728.28197352
2015,68885.82180493,5777.46412645,28133.8926741
2016,74639.50594835,6013.91960874,29542.78034064
2017,83203.59485599,6209.9543982,33158.04572094
2018,91928.11290666,6474.5156104,36483.52103829
2019,98651.52022919,7047.35905932,38067.06209938
2020,101356.70022307,7803.09003457,38356.23536662
2021,114923.69786109,8321.64503858,45154.40810451
2022,121020.72443648,8834.51219658,48316.4497195
