year,CN: Export FOB,CN: Import CIF,CN: Trade Balance
01-1992,3991,3016,975
02-1992,4970,4851,119
03-1992,6000,5893,107
04-1992,6349,6084,265
05-1992,6601,6358,243
06-1992,7658,6820,838
07-1992,7159,6273,886
08-1992,7650,6370,1280
09-1992,7064,6842,221
10-1992,7654,7099,555
11-1992,8526,7635,891
12-1992,11318,13343,-2025
01-1993,3357,3204,2022
02-1993,5823,6473,-649
03-1993,6907,7582,-675
04-1993,6895,7481,-586
05-1993,7213,8509,-1296
06-1993,6950,7385,-434
07-1993,7625,8764,-1139
08-1993,7636,8757,-1120
09-1993,8832,9554,-721
10-1993,8046,8638,-593
11-1993,8944,9526,-582
12-1993,13515,18086,-4570
01-1994,4881,5716,-835
02-1994,5733,5963,-229
03-1994,8488,8725,-236
04-1994,8935,9407,-472
05-1994,9450,9445,5
06-1994,10900,9857,1042
07-1994,10346,9621,725
08-1994,10210,10035,175
09-1994,10456,9214,1242
10-1994,10430,9408,1022
11-1994,12669,10307,2362
12-1994,18508,17916,593
01-1995,9179,6500,2679
02-1995,8885,7123,1761
03-1995,12880,10241,2639
04-1995,11991,10278,1714
05-1995,12817,11493,1324
06-1995,14034,10955,3079
07-1995,12268,11126,1142
08-1995,12528,11580,948
09-1995,12419,11292,1128
10-1995,12343,10971,1373
11-1995,12179,12045,133
12-1995,17256,18480,-1223
01-1996,9169,10107,-938
02-1996,8666,8111,556
03-1996,10407,11121,-714
04-1996,11387,10898,489
05-1996,12155,11998,157
06-1996,12245,10909,1337
07-1996,12389,11306,1083
08-1996,14111,11136,2974
09-1996,13394,10294,3099
10-1996,15199,11306,3893
11-1996,13592,11617,1975
12-1996,18333,20032,-1697
01-1997,11649,9987,1662
02-1997,9809,7714,2095
03-1997,14076,11110,2967
04-1997,14775,11220,3555
05-1997,15164,11742,3422
06-1997,15359,11254,4105
07-1997,15600,12786,2814
08-1997,16023,11067,4955
09-1997,16592,11472,5120
10-1997,17810,12835,4975
11-1997,16746,12091,4655
12-1997,19188,19093,95
01-1998,12778,8695,4082
02-1998,12250,9101,3148
03-1998,15428,11775,3653
04-1998,15968,11654,4314
05-1998,14899,11239,3660
06-1998,15564,11840,3724
07-1998,16134,11929,4205
08-1998,15564,10848,4716
09-1998,15451,11522,3929
10-1998,14728,11666,3063
11-1998,15122,12358,2764
12-1998,19825,17610,2216
01-1999,11368,9893,1475
02-1999,10986,8713,2273
03-1999,14813,14368,446
04-1999,14782,13824,958
05-1999,15516,13651,1865
06-1999,15309,14517,792
07-1999,17314,13913,3401
08-1999,18316,13443,4874
09-1999,18573,15260,3314
10-1999,18227,13788,4439
11-1999,19471,16907,2564
12-1999,20255,17422,2833
01-2000,16782,15258,1524
02-2000,14781,13428,1353
