year,CN: Average Wage,CN: Average Wage: Middle and Above Management Personnel,CN: Average Wage: Professional Skill Worker,CN: Average Wage: Staff and Related Personnel,"CN: Average Wage: Business, Service Personnel",CN: Average Wage: Production and Transportation Equipment Operators and Related Personnel,CN: Average Wage: State Owned,CN: Average Wage: Collective Owned,CN: Average Wage: Share Holding,CN: Average Wage: Joint Owned,CN: Average Wage: Limited Corporation,CN: Average Wage: Share Holding Limited Corporation,CN: Average Wage: Private,CN: Average Wage: Other Domestic Ownership,"CN: Average Wage: Funded by Hong Kong SAR (China), Macau SAR (China) and TW",CN: Average Wage: Foreign Funded,CN: Average Wage: Mining,CN: Average Wage: Manufacturing,"CN: Average Wage: Electricity, Heat, Gas & Water Production and Supply",CN: Average Wage: Construction,CN: Average Wage: Wholesale & Retail Trade,"CN: Average Wage: Transportation, Storage & Post",CN: Average Wage: Accommodation & Catering Trade,CN: Average Wage: Scientific Research & Polytechnic Service,CN: Average Wage: Education,CN: Average Wage: Health Care and Social Work,"CN: Average Wage: Culture, Sport & Recreation"
2013,45676,107374,63074,46403,39322,40044,56728,34806,37604,44128,46322,52138,37732,38714,49683,61694,55090,42911,68040,40338,47007,53848,32236,86059,47920,50490,65837
2014,49969,109760,66074,47483,40669,42914,62315,38036,41186,48067,50398,57470,41411,43202,55265,68399,56929,47241,73513,43959,51395,59138,35133,90392,51156,54540,68247
2015,53615,115474,70981,50972,44277,45346,66943,40880,43856,49309,53864,61640,44343,46997,61297,74563,55914,50684,79050,46735,55340,63902,38367,95145,54076,58869,74710
2016,57394,123926,76325,54258,46742,48005,71707,43009,48444,48987,57784,66399,47477,50853,66621,80964,57444,54338,84073,49573,59044,68058,40573,99599,58516,62798,80207
2017,61578,131929,83148,58211,49502,50703,78549,44930,50911,55948,63069,73044,49864,55169,71872,87914,65337,58049,90339,52196,63722,73294,42474,107909,64693,69014,84736
2018,68380,145125,96703,63755,54945,55148,82364,48053,54978,59677,71633,81413,54554,66781,80847,97083,76556,64643,100404,56743,71595,82852,45305,122040,76207,76454,92624
2019,75229,156892,105806,70926,60015,59586,91607,50983,60713,65388,79949,91052,60551,75406,90164,106180,85488,70494,110822,60857,79789,92196,48009,135412,85229,86437,105815
2020,79854,164979,112576,75167,61938,62610,97739,54061,,,84780,97324,63309,,98765,112290,90899,74641,120273,64243,84254,94192,46825,141864,90487,88203,107174
2021,88115,180630,125035,82512,68022,68506,109914,57562,,,93606,108377,69558,,112144,124622,102259,82667,128047,68577,92838,104241,51677,152191,102281,97636,118985
2022,92492,189076,133264,85881,70234,71147,115149,59243,,,98435,114718,71775,,121930,134438,113834,86933,135666,70264,97679,109674,51886,159653,100580,100796,119581
