year,CN: Listed Company: Total Revenue,CN: Listed Company: Total Profit,CN: Listed Company: Shareholder Equity
1992,22.555,3.164,16.827
1993,95.4,15.7,93.3
1994,168,25.6,162.8
1995,220.205,26.491,195.12
1996,325.304,34.784,294.435
1997,511.77,58.043,482.811
1998,624.624,61.345,623.742
1999,796.196,79.593,765.199
2000,1071.519,99.702,1006.808
2001,1539.88324,100.04624,1292.90558
2002,1890.8599,128.96491,1460.3336
2003,2487.435,184.436,1698.99369
2004,3388.59602,255.28651,1907.82639
2005,4078.4347,253.522,2040.2381
2006,5555.56268,525.64733,3412.08596
2007,9193.18997,1344.64016,6354.844
2008,11323.389,1071.878,7113.138
2009,12165.48694,1455.327,8513.577
2010,17338.961,2220.816,11409.12
2011,22127.529,2610.786,13584.732
2012,24610.42495,2698.696,15676.27
2013,27055.652,3091.463,17451.14
2014,28913.024,3328.747,20468.962
2015,29408.184,3454.536,24381.518
2016,32379.393,3765.875,28431.136
2017,39117.188,4494.11,32502.873
2018,45268.062,4683.222,35992.226
2019,50479.339,5161.772,41295.337
2020,53126.693,5368.292,46525.915
2021,65000.52426481,6523.0000625,52868.13835767
