year,CN: Foreign Debt: Total,CN: Govt Revenue: Total
1979,,118169
1980,,120294
1981,,129753
1982,,129619
1983,,144636
1984,,172020
1985,15828,209467
1986,21483,226026
1987,30205,242290
1988,40003,262802
1989,41299,307287
1990,52545,331255
1991,60561,361088
1992,69321,415305
1993,83573,508817
1994,92806,639335
1995,106590,779196
1996,116275,937527
1997,130960,1112796
1998,146043.1882,1318688
1999,151829.6874,1515911
2000,145727.333,1757533
2001,203300,2099004
2002,202630,2458264
2003,219360,2786878
2004,262992.3008,3327581
2005,296544.8367,3857216
2006,338587.84,
2007,389218.089,
2008,390161.014,
2009,428647.737,8479896
2010,548937.817,10095142
2011,694997.314,11948423
2012,736986.169,13178085
2013,863166.658,14615896
2014,1779932.46248527,15824660
2015,1382979.82904865,17355429
2016,1415801.08887389,19047429
2017,1757957.96751804,21268877
2018,1982800,22045215
2019,2070810.49664892,23312726
2020,2400806.5864499,25469663
2021,2746559.05537449,27122284
2022,2452764.69169663,
