year,CN: BoP: Current Account(CA),CN: BoP: CA: Credit,CN: BoP: CA: Debit,CN: BoP: CA: Goods
03-1998,10471.16,43290.073267,-32818.913267,11979.834535
06-1998,4359.288,48939.446335,-44580.158335,13483.973249
09-1998,5253.033,48810.797744,-43557.764744,14168.401494
12-1998,11387.94848,57954.86483,-46566.91635,5994.693611
03-1999,1153.302,40332.686942,-39179.384942,5383.088221
06-1999,503.656,48392.414964,-47888.758964,4564.514806
09-1999,10056.828,58544.257261,-48487.429261,12497.082787
12-1999,9400.35236659,65127.317468,-55726.96510141,10478.73056359
03-2000,3652.2270525,55838.2481395,-52186.021087,6174.576576
06-2000,2655.7278259,66313.5224739,-63657.794648,8440.315073
09-2000,6646.43619487,74439.60261058,-67793.16641571,7953.75585529
12-2000,7477.22430871,75912.40568248,-68435.18137377,7351.01929023
03-2001,5994.41965863,65251.52073175,-59257.10107312,5990.81480663
06-2001,-895.82677687,70790.41460875,-71686.24138562,4877.20019163
09-2001,5004.68230758,75982.77812693,-70978.09581934,6934.52006991
12-2001,7301.99979223,78549.58825587,-71247.58846364,10380.45946858
03-2002,8617.76054171,70939.31051435,-62321.54997264,8616.6401566
06-2002,4937.76516365,86113.66107633,-81175.89591268,9385.35086667
09-2002,6696.95512569,96466.30649943,-89769.35137374,7309.49525284
12-2002,15169.48738249,101622.67556627,-86453.18818378,12374.50043738
03-2003,2608.35366816,96641.52295742,-94033.16928926,1469.66756039
06-2003,8228.16472078,111679.10235626,-103450.93763548,8617.3082713
09-2003,8550.17041965,127100.5313193,-118550.36089964,7786.98845666
12-2003,23664.89405275,147114.26670386,-123449.37265112,21926.94077564
03-2004,3346.7357964,130287.37880201,-126940.64300562,-2480.45103237
06-2004,5812.15716424,153692.74495175,-147880.58778751,6090.3146451
09-2004,17266.50760581,171534.11559541,-154267.6079896,15599.89360708
12-2004,42515.56012211,196726.49161302,-154210.93149091,32180.48547358
03-2005,23836.18975459,172224.87528689,-148388.6855323,21256.61845958
06-2005,29422.18844445,204607.46179359,-175185.27334914,28415.89255397
09-2005,33494.07184043,221411.64990371,-187917.57806329,34677.65230155
12-2005,45626.04372693,242102.70748516,-196476.66375824,39937.43445203
03-2006,33957.28027683,218420.21807659,-184462.93779976,29905.72119995
06-2006,47404.02752713,257812.0966733,-210408.06914618,45497.81565488
09-2006,60535.41771639,287756.02850408,-227220.61078769,56490.40915259
12-2006,89946.31554407,313883.86054066,-223937.54499659,74880.87403967
03-2007,66624.45193678,284595.26447688,-217970.8125401,54493.71488009
06-2007,86550.56686582,332257.4671948,-245706.90032898,76212.01525685
09-2007,98478.62753266,374416.21382354,-275937.58629088,82634.70242285
12-2007,101529.03090206,392909.74939435,-291380.71849229,89505.83181757
03-2008,82204.29105218,363583.21430939,-281378.92325721,52815.36836316
06-2008,95472.88480115,422614.75339921,-327141.86859806,71891.13926426
09-2008,109806.01310247,463875.51551354,-354069.50241107,97706.08346611
