year,CN: Consumer Confidence Index,CN: Consumer Confidence Index: Satisfactory,CN: Consumer Confidence Index: Expectation,CN: Consumer Confidence Index: Consumption Willingness,CN: Consumer Confidence Index: Employment,CN: Consumer Confidence Index: Employment: Satisfaction,CN: Consumer Confidence Index: Employment: Expectation,CN: Consumer Confidence Index: Income,CN: Consumer Confidence Index: Income: Satisfaction,CN: Consumer Confidence Index: Income: Expectation
01-1990,107.11224,109.1502,105.7536,,,,,,,
02-1990,107.11224,108.9124,105.984,,,,,,,
03-1990,107.3456,108.9124,106.6752,,,,,,,
04-1990,107.69564,108.9124,107.4816,,,,,,,
05-1990,108.16236,108.9124,108.7488,,,,,,,
06-1990,108.39572,108.7935,109.5552,,,,,,,
07-1990,108.16236,108.3179,109.7856,,,,,,,
08-1990,107.69564,107.8423,109.2096,,,,,,,
09-1990,107.22892,107.6045,108.5184,,,,,,,
10-1990,107.22892,107.8423,108.0576,,,,,,,
11-1990,107.81232,108.7935,108.0576,,,,,,,
12-1990,108.97912,110.2203,108.9792,,,,,,,
01-1991,110.49596,111.8849,110.2464,,,,,,,
02-1991,112.0128,113.3117,111.8592,,,,,,,
03-1991,112.82956,114.0251,112.896,,,,,,,
04-1991,112.94624,113.9062,113.2416,,,,,,,
05-1991,112.36284,113.3117,112.6656,,,,,,,
06-1991,111.19604,112.2416,111.3984,,,,,,,
07-1991,110.14592,111.2904,110.1312,,,,,,,
08-1991,109.21248,110.577,108.9792,,,,,,,
09-1991,108.74576,110.2203,108.4032,,,,,,,
10-1991,108.62908,109.9825,108.4032,,,,,,,
11-1991,108.74576,109.8636,108.864,,,,,,,
12-1991,108.97912,109.7447,109.5552,,,,,,,
01-1992,109.21248,109.7447,125.3376,,,,,,,
02-1992,109.6792,109.9825,125.3376,,,,,,,
03-1992,110.49596,110.577,125.2224,,,,,,,
04-1992,112.0128,111.8849,124.992,,,,,,,
05-1992,113.99636,113.5495,125.2224,,,,,,,
06-1992,116.21328,115.4519,126.0288,,,,,,,
07-1992,117.96348,116.8787,127.1808,,,,,,,
08-1992,119.36364,118.0677,128.2176,,,,,,,
09-1992,120.29708,118.9,128.448,,,,,,,
10-1992,120.64712,119.2567,127.0656,,,,,,,
11-1992,120.88048,119.4945,124.0704,,,,,,,
12-1992,120.99716,119.6134,120.0384,,,,,,,
01-1993,121.23052,119.8512,110.2464,,,,,,,
02-1993,121.3472,120.089,111.0528,,,,,,,
03-1993,121.46388,120.3268,112.32,,,,,,,
04-1993,121.58056,120.6835,114.048,,,,,,,
05-1993,121.9306,121.1591,116.5824,,,,,,,
06-1993,122.86404,121.9914,119.232,,,,,,,
07-1993,123.79748,122.9426,121.536,,,,,,,
08-1993,124.61424,123.5371,123.264,,,,,,,
09-1993,124.61424,123.5371,124.3008,,,,,,,
10-1993,123.6808,122.8237,124.6464,,,,,,,
11-1993,121.81392,121.5158,124.8768,,,,,,,
12-1993,119.13028,119.8512,124.992,,,,,,,
01-1994,116.44664,118.1866,108.1728,,,,,,,
02-1994,113.99636,116.8787,107.712,,,,,,,
03-1994,112.12948,116.1653,107.3664,,,,,,,
04-1994,110.72932,115.5708,107.2512,,,,,,,
05-1994,109.56252,115.2141,107.2512,,,,,,,
06-1994,108.62908,114.6196,107.2512,,,,,,,
07-1994,108.16236,114.2629,106.7904,,,,,,,
08-1994,108.27904,114.144,106.2144,,,,,,,
09-1994,108.74576,114.144,105.5232,,,,,,,
10-1994,109.91256,114.6196,104.6016,,,,,,,
11-1994,111.4294,115.333,103.7952,,,,,,,
12-1994,112.94624,116.4031,103.4496,,,,,,,
01-1995,114.81312,117.8299,111.9744,,,,,,,
02-1995,116.56332,119.4945,113.9328,,,,,,,
03-1995,117.8468,120.9213,115.2,,,,,,,
04-1995,118.89692,122.1103,116.0064,,,,,,,
05-1995,119.24696,122.467,116.352,,,,,,,
06-1995,118.89692,121.9914,116.1216,,,,,,,
07-1995,117.96348,120.9213,115.4304,,,,,,,
08-1995,117.03004,119.7323,114.7392,,,,,,,
09-1995,116.32996,118.7811,114.3936,,,,,,,
10-1995,115.86324,118.3055,114.048,,,,,,,
11-1995,115.97992,118.4244,114.1632,,,,,,,
12-1995,116.32996,118.7811,114.5088,,,,,,,
01-1996,116.91336,119.2567,115.4304,,,,,,,
02-1996,117.38008,119.7323,115.8912,,,,,,,
03-1996,117.38008,119.9701,115.6608,,,,,,,
04-1996,117.14672,119.4945,115.6608,,,,,,,
05-1996,117.03004,118.4244,116.1216,,,,,,,
06-1996,116.68,118.9,115.2,,,,,,,
07-1996,116.79668,118.6622,115.6608,,,,,,,
08-1996,116.32996,117.8299,115.0848,,,,,,,
09-1996,116.21328,118.0677,114.9696,,,,,,,
10-1996,116.0966,118.6622,114.7392,,,,,,,
11-1996,116.21328,118.7811,114.3936,,,,,,,
12-1996,115.97992,119.0189,113.5872,,,,,,,
01-1997,110.61264,113.3117,115.6608,,,,,,,
02-1997,109.91256,112.5983,111.5136,,,,,,,
03-1997,109.44584,112.0038,107.9424,,,,,,,
04-1997,109.44584,112.1227,105.0624,,,,,,,
