year,CN: Engel's Coefficient: ytd,CN: Engel's Coefficient: ytd: Urban,CN: Engel's Coefficient: ytd: Rural
1978,63.9,57.5,67.7
1979,,,64.0
1980,59.9,56.9,61.8
1981,58.6,56.7,59.8
1982,59.9,58.6,60.6
1983,59.4,59.2,59.4
1984,58.8,58.0,59.3
1985,56.0,53.3,57.8
1986,54.8,52.4,56.5
1987,54.8,53.5,55.8
1988,52.8,51.4,54.0
1989,54.7,54.5,54.8
1990,56.8,54.2,58.8
1991,55.9,53.8,57.6
1992,55.3,52.9,57.5
1993,54.0,50.1,58.1
1994,54.1,49.9,58.9
1995,54.1,49.9,58.6
1996,52.3,48.6,56.3
1997,50.3,46.4,55.1
1998,48.0,44.2,53.2
1999,45.5,41.3,52.0
2000,42.2,38.6,48.3
2001,40.5,37.0,46.7
2002,39.2,36.4,44.9
2003,38.1,35.5,43.9
2004,38.8,35.8,45.3
2005,37.3,34.5,43.3
2006,35.5,33.3,40.7
2007,35.6,33.6,40.5
2008,36.3,34.5,40.9
2009,34.3,32.9,38.0
2010,33.4,31.9,37.9
2011,33.6,32.3,37.1
2012,33.0,32.0,35.9
2013,31.2,30.1,34.1
2014,31.0,30.0,33.6
2015,30.0,29.7,33.0
2016,30.1,29.3,32.2
2017,29.3,28.6,31.2
2018,28.4,27.7,30.1
2019,28.049999999999997,27.65,29.2
2020,31.55,30.75,33.5
2021,30.900000000000002,29.975,33.225
2022,31.2,30.425,33.025
2023,31.15,30.25,33.25
