year,CN: GDP Nowcast: China: Current Quarter,CN: GDP Nowcast: China: Next Quarter
Region,China,China
Subnational,,
Frequency,"Daily, ""Everyday""","Daily, ""Everyday"""
Unit,%,%
Source,CEIC Data,CEIC Data
Status,Active,Active
Series ID,475754377 (CACACK),475754387 (CACACL)
SR Code,SR157680977,SR157680987
Trade Code,,
Mnemonic,,
Function Description,,
First Obs. Date,07/24/2022,07/24/2022
Last Obs. Date,08/01/2023,08/01/2023
Last Update Time,01/08/2023,01/08/2023
Series remarks,,
Suggestions,,
Mean,5.22746713779412,5.411621459926468
Variance,1.1162282968262356,0.690452094406044
Standard Deviation,1.0565170594108908,0.8309344705848013
Skewness,-0.7020158471722567,-0.7515371086343048
Kurtosis,-0.7030356394852526,-0.6342485379125531
Coefficient Variation,0.20210879027289658,0.15354630340239872
Min,2.68359422,3.34055595
Max,6.81831957,6.60577267
Median,5.55590293,5.68004447
No. of Obs,136,136
07/24/2022,4.59283011,4.99466049
01/22/2023,3.62749884,4.17322109
01/23/2023,3.37085203,3.95645119
01/24/2023,3.29240643,3.87738601
02/01/2023,3.20029955,3.79602825
02/02/2023,2.95658804,3.57824523
02/03/2023,3.33420482,3.90851152
02/04/2023,2.68359422,3.34055595
02/05/2023,2.71361805,3.37921211
02/06/2023,3.20876614,3.80863428
02/07/2023,3.21356933,3.81271758
02/08/2023,3.48034563,4.03912723
02/09/2023,3.39591409,3.96739666
02/11/2023,3.38065159,3.9579703
02/12/2023,3.34056326,3.92295485
02/13/2023,3.50471128,4.064456
02/14/2023,3.54286188,4.09627162
02/15/2023,3.25561268,3.85298603
02/16/2023,3.65446995,4.19217335
02/17/2023,3.64232395,4.18208993
02/18/2023,3.88420482,4.38128976
02/19/2023,4.02775424,4.5010163
02/20/2023,4.05085676,4.52115983
02/21/2023,4.07087757,4.53984103
02/22/2023,4.42504005,4.83016961
02/23/2023,4.40581117,4.81662645
03/01/2023,4.42405149,4.83202007
03/02/2023,4.63773551,5.01070362
03/03/2023,4.42579992,4.84238591
03/04/2023,4.97524497,5.26198952
03/05/2023,5.02573457,5.30169222
03/06/2023,5.05306241,5.321333
03/07/2023,5.17232689,5.40893567
03/08/2023,5.14781039,5.39028737
03/09/2023,5.43992694,5.61299142
03/11/2023,5.43927607,5.60835623
03/12/2023,5.47441565,5.63244129
03/13/2023,5.53865477,5.68026152
03/14/2023,5.44233933,5.60892969
03/15/2023,6.05993898,6.07449493
03/16/2023,5.92229548,5.97396369
03/17/2023,5.90231956,5.96000204
03/18/2023,5.96805229,6.00880942
03/19/2023,5.91725181,5.97138186
03/20/2023,5.77293952,5.86365939
03/21/2023,5.78178123,5.87081586
03/22/2023,5.74245906,5.84159172
03/23/2023,5.6496765,5.77102154
