year,Gini Coefficient (GINI Index): World Bank Estimate,Income Share Held by Highest 20%,Income Share Held by Highest 10%,Income Share Held by Lowest 10%
Region,China,China,China,China
Subnational,,,,
Frequency,"Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year"
Unit,%,%,%,%
Source,World Bank,World Bank,World Bank,World Bank
Status,Active,Active,Active,Active
Series ID,272434502,272325502,272340402,272355302
SR Code,SR5475458,SR5475209,SR5474903,SR5475329
Trade Code,,,,
Mnemonic,,,,
Function Description,,,,
First Obs. Date,1990,1990,1990,1990
Last Obs. Date,2019,2019,2019,2019
Last Update Time,24/04/2022,12/04/2022,12/04/2022,12/04/2022
Series remarks,,,,
Suggestions,,,,
Mean,39.176470588235300,45.83529411764710,29.81764705882350,2.588235294117650
Variance,10.03691176470590,4.991176470588240,3.551544117647060,0.17985294117647100
Standard Deviation,3.1681085468629200,2.2340941051326000,1.8845540898703500,0.4240907228134930
Skewness,-0.6990525054517470,-0.7800181989212330,-0.6838725701190090,0.6329736825573030
Kurtosis,0.2229146300423330,0.35508524885802600,0.11041298570602800,0.05160025646357050
Coefficient Variation,0.08086763558058500,0.04874178617460760,0.06320264258787910,0.16385323381430400
Min,32.2,40.8,25.8,2
Max,43.7,49,32.6,3.5
Median,39.1,45.8,29.7,2.6
No. of Obs,17,17,17,17
1990,32.2,40.8,25.8,3.5
1993,33.9,42.2,26.6,3.3
1996,35.2,42.9,27.3,3.1
1999,38.7,45.6,29.4,2.7
2002,42,47.9,31.4,2.3
2005,40.9,47.1,30.9,2.4
2008,43,48.4,32,2.1
2010,43.7,49,32.6,2
2011,42.4,48.1,31.8,2.1
2012,42.2,47.8,31.5,2.1
2013,39.7,46.3,30.3,2.5
2014,39.2,45.8,29.7,2.5
2015,38.6,45.4,29.4,2.6
2016,38.5,45.3,29.4,2.7
2017,39.1,45.9,29.9,2.6
2018,38.5,45.4,29.4,2.7
2019,38.2,45.3,29.5,2.8
