year,CN: Consumer Price Index,CN: (DC)Retail Price Index,CN: Producer Price Index(PPI)
1985,109.53333333333335,,
1986,105.70833333333333,,
1987,107.23333333333333,107.25,
1988,118.73333333333333,118.56666666666666,
1989,118.825,118.38333333333333,
1990,103.05833333333334,102.06666666666666,
1991,103.55833333333334,102.97500000000001,
1992,106.34166666666665,105.325,
1993,114.55833333333334,113.03333333333335,122.98333333333333
1994,124.175,121.78333333333335,118.88333333333333
1995,117.06666666666666,114.71666666666665,114.74166666666667
1996,108.33333333333333,106.075,102.71750000000002
1997,102.80833333333334,100.74166666666667,99.65416666666665
1998,99.22500000000001,97.45,95.72166666666668
1999,98.60000000000001,97.03333333333335,97.09750000000001
2000,100.35000000000001,98.5,102.74916666666667
2001,100.72500000000001,99.16666666666667,98.71916666666668
2002,99.23333333333333,98.73333333333333,97.75
2003,101.16666666666667,99.89999999999999,102.34166666666665
2004,103.89999999999999,102.83333333333333,106.05833333333334
2005,101.81666666666666,100.78333333333335,104.92666666666666
2006,101.46666666666665,101.02499999999999,102.96083333333333
2007,104.76666666666667,103.78333333333335,103.1275
2008,105.89999999999999,105.925,106.87333333333333
2009,99.31666666666666,98.8,94.6075
2010,103.325,103.05833333333334,105.54083333333334
2011,105.41666666666667,104.93333333333334,106.05293333333333
2012,102.64999999999999,101.97500000000001,98.28935
2013,102.63333333333333,101.43333333333334,98.092625
2014,101.99166666666667,101.0,98.11794166666668
2015,101.44166666666666,100.06666666666666,94.78830833333332
2016,102.00833333333333,100.75,98.69166666666666
2017,101.55,101.08333333333333,106.33333333333333
2018,102.125,101.90833333333335,103.54166666666667
2019,102.89999999999999,101.99166666666667,99.69166666666666
2020,102.50833333333333,101.45,98.15833333333335
2021,100.91666666666667,101.64166666666667,108.075
2022,101.95833333333333,102.7,104.23333333333333
2023,100.68333333333334,,96.95
