year,CN: Producer Price Index(PPI),CN: (DC)Retail Price Index,CN: Consumer Price Index
01-1985,,,105.5
02-1985,,,106.5
03-1985,,,107
04-1985,,,107.8
05-1985,,,109.9
06-1985,,,110
07-1985,,,110.7
08-1985,,,110.8
09-1985,,,111.9
10-1985,,,111.7
11-1985,,,111.4
12-1985,,,111.2
01-1986,,,108.9
02-1986,,,107.8
03-1986,,,107.4
04-1986,,,105.4
05-1986,,,104.3
06-1986,,,104
07-1986,,,103.9
08-1986,,,103.9
09-1986,,,105.2
10-1986,,,104.8
11-1986,,,106.3
12-1986,,,106.6
01-1987,,105,105.1
02-1987,,105.1,105.4
03-1987,,105.5,105.8
04-1987,,106.5,106.7
05-1987,,107.6,107.6
06-1987,,107.8,107.8
07-1987,,108,107.8
08-1987,,108.4,108.2
09-1987,,107.9,107.7
10-1987,,107.6,107.5
11-1987,,108.5,108.3
12-1987,,109.1,108.9
01-1988,,109.5,109.4
02-1988,,111.2,110.4
03-1988,,111.6,111.3
04-1988,,112.6,112.2
05-1988,,114.7,114.2
06-1988,,116.5,116.3
07-1988,,119.3,119.2
08-1988,,123.2,123.6
09-1988,,125.4,126.4
10-1988,,126.1,127.1
11-1988,,126,126.8
12-1988,,126.7,127.9
01-1989,,127,127.4
02-1989,,127.9,128.4
03-1989,,126.3,127.1
04-1989,,125.8,126.6
05-1989,,124.3,124.8
06-1989,,121.5,122.8
07-1989,,119,119.4
08-1989,,115.2,115.3
09-1989,,111.4,111.5
10-1989,,108.7,108.6
11-1989,,107.1,107.4
12-1989,,106.4,106.6
01-1990,,104.1,104.3
02-1990,,104.1,104.4
03-1990,,103.3,103.4
04-1990,,103.1,103.2
05-1990,,102.6,102.7
06-1990,,100.8,101.1
07-1990,,100.7,101.1
08-1990,,100.4,102.5
09-1990,,100.8,102.9
10-1990,,101.1,103.1
11-1990,,101.6,103.7
12-1990,,102.2,104.3
01-1991,,101.4,102.2
02-1991,,101,101.8
03-1991,,100.9,101.6
04-1991,,100.6,101.3
05-1991,,103.1,103.6
06-1991,,103.8,104.4
07-1991,,104.2,104.7
08-1991,,104.4,104.9
09-1991,,104,104.5
10-1991,,104.3,104.8
11-1991,,104,104.4
12-1991,,104,104.5
01-1992,,105.1,105.5
02-1992,,104.9,105.3
03-1992,,105,105.3
04-1992,,106.2,107.1
05-1992,,104.1,104.7
06-1992,,104.2,104.8
07-1992,,104.3,105.2
08-1992,,104.7,105.8
09-1992,,105.7,107.5
10-1992,,106.4,107.9
11-1992,,106.6,108.2
12-1992,,106.7,108.8
01-1993,117.9,108.4,110.3
02-1993,118.2,108.7,110.8
03-1993,121.3,110.2,112.2
04-1993,122.3,110.9,112.6
05-1993,126,112.5,114
06-1993,125.3,113.9,115.1
07-1993,125.7,114.9,116.2
08-1993,125.9,115.1,116.4
09-1993,124.6,114.5,115.7
10-1993,124.1,114.6,115.9
11-1993,122.5,115.1,116.7
12-1993,122,117.6,118.8
01-1994,118.6,119,121.1
02-1994,116.5,120.9,123.2
03-1994,117.9,120.2,122.4
04-1994,119.6,119.5,121.7
05-1994,120.2,118.9,121.3
06-1994,119.1,120,122.6
07-1994,120.1,121.4,124
08-1994,118.1,123.5,125.8
09-1994,118.5,124.6,127.3
10-1994,118.2,125.2,127.7
11-1994,119.9,125,127.5
12-1994,119.9,123.2,125.5
01-1995,120.7,121.2,124.1
02-1995,120.2,119.7,122.4
03-1995,119.5,118.7,121.3
04-1995,117.1,118,120.7
05-1995,113.9,117.6,120.3
06-1995,113.8,115.3,118.2
07-1995,113.5,114.6,116.7
08-1995,112.9,112.3,114.5
09-1995,112.9,111.4,113.2
10-1995,112.5,110.3,112.1
11-1995,111.1,109.2,111.2
12-1995,108.8,108.3,110.1
01-1996,108.4,107.6,109
02-1996,107.1,107.5,109.3
03-1996,104.3,107.7,109.8
04-1996,103,107.4,109.7
05-1996,102.7,106.5,108.9
06-1996,102.3,105.9,108.6
07-1996,101.7,105.8,108.3
08-1996,101.5,105.8,108.1
09-1996,100.8,105,107.4
10-1996,100.34,104.7,107
11-1996,100.04,104.6,106.9
12-1996,100.43,104.4,107
01-1997,100.12,103.3,105.9
02-1997,100.44,102.9,105.6
03-1997,100.47,101.7,104
04-1997,100.06,101.1,103.2
