year,"CN: Oil Price Adjustment: NDRC: Supply Price: Gasoline, Standard","CN: Oil Price Adjustment: NDRC: Supply Price: Diesel, Standard","CN: Oil Price after Adjustment: NDRC: Supply Price: Gasoline, Standard","CN: Oil Price after Adjustment: NDRC: Supply Price: Diesel, Standard"
2005,200.0,150.0,4400.0,3870.0
2006,400.0,350.0,4950.0,4320.0
2007,140.0,250.0,5230.0,4820.0
2008,50.0,-50.0,6030.0,5520.0
2009,190.0,173.75,6383.75,5657.5
2010,157.5,155.0,7440.0,6700.0
2011,183.33333333333334,150.0,8313.333333333334,7496.666666666667
2012,31.25,36.25,8561.25,7740.0
2013,0.3333333333333333,-1.0,8434.0,7611.333333333333
2014,-113.88888888888889,-122.5,8296.111111111111,7170.833333333333
2015,-35.26315789473684,-37.63157894736842,6651.578947368421,5688.684210526316
2016,116.33333333333333,112.33333333333333,6484.0,5519.666666666667
2017,25.58823529411765,24.705882352941178,7172.941176470588,6178.823529411765
2018,-19.6,-18.6,8210.2,7181.8
2019,30.90909090909091,30.681818181818183,7718.409090909091,6725.681818181818
2020,-115.41666666666667,-111.25,6414.583333333333,5474.583333333333
2021,68.33333333333333,65.71428571428571,7746.190476190476,6755.714285714285
2022,28.75,27.708333333333332,9596.458333333334,8536.25
2023,28.846153846153847,27.692307692307693,8769.23076923077,7741.153846153846
