year,"CN: Oil Price Adjustment: NDRC: Supply Price: Gasoline, Standard","CN: Oil Price Adjustment: NDRC: Supply Price: Diesel, Standard","CN: Oil Price after Adjustment: NDRC: Supply Price: Gasoline, Standard","CN: Oil Price after Adjustment: NDRC: Supply Price: Diesel, Standard"
Region,China,China,China,China
Subnational,,,,
Frequency,"Daily, ""Everyday""","Daily, ""Everyday""","Daily, ""Everyday""","Daily, ""Everyday"""
Unit,RMB/Ton,RMB/Ton,RMB/Ton,RMB/Ton
Source,National Development and Reform Commission,National Development and Reform Commission,National Development and Reform Commission,National Development and Reform Commission
Status,Active,Active,Active,Active
Series ID,354743901 (CPDAARS),354744001 (CPDAART),354762901 (CPDAARW),354763001 (CPDAARX)
SR Code,SR173238077,SR173238137,SR173238087,SR173238107
Trade Code,,,,
Mnemonic,,,,
Function Description,,,,
First Obs. Date,07/23/2005,07/23/2005,07/23/2005,07/23/2005
Last Obs. Date,07/27/2023,07/27/2023,07/27/2023,07/27/2023
Last Update Time,26/07/2023,26/07/2023,26/07/2023,26/07/2023
Series remarks,,,,
Suggestions,,,,
Mean,22.07792207792208,19.264069264069263,7755.497835497836,6793.961038961039
Variance,76161.96781479391,73449.45605119516,1285525.5119518163,1159692.82891022
Standard Deviation,275.9745782038518,271.01560112140254,1133.8101745670729,1076.8903513869088
Skewness,-0.2255307483022067,-0.33493098627280127,-0.06605496321627799,0.027343497732995947
Kurtosis,0.9377048535151427,1.574941233272665,-0.029585561620821377,-0.30444893066320056
Coefficient Variation,12.5000250127627,14.068450305403143,0.146194377023418,0.15850699543481506
Min,-1015,-1100,4400,3870
Max,1000,1000,10850,9745
Median,75,70,7785,6795
No. of Obs,231,231,231,231
07/23/2005,200,150,4400,3870
03/26/2006,300,200,4700,4070
05/24/2006,500,500,5200,4570
01/14/2007,-220,0,4980,4570
11/01/2007,500,500,5480,5070
06/20/2008,1000,1000,6480,6070
12/19/2008,-900,-1100,5580,4970
01/15/2009,-140,-160,5440,4810
03/25/2009,290,180,5730,4990
06/01/2009,400,400,6130,5390
06/30/2009,600,600,6730,5990
07/29/2009,-220,-220,6510,5770
09/02/2009,300,300,6810,6070
09/30/2009,-190,-190,6620,5880
11/10/2009,480,480,7100,6360
04/14/2010,320,320,7420,6680
06/01/2010,-230,-220,7190,6460
10/26/2010,230,220,7420,6680
12/22/2010,310,300,7730,6980
02/20/2011,350,350,8080,7330
04/07/2011,500,400,8580,7730
10/09/2011,-300,-300,8280,7430
02/08/2012,300,300,8580,7730
03/20/2012,600,600,9180,8330
05/10/2012,-330,-310,8850,8020
06/09/2012,-530,-510,8320,7510
07/11/2012,-420,-400,7900,7110
08/10/2012,390,370,8290,7480
09/11/2012,550,540,8840,8020
11/16/2012,-310,-300,8530,7720
02/25/2013,300,290,8830,8010
03/27/2013,-310,-300,8520,7710
04/25/2013,-395,-400,8125,7310
05/10/2013,95,95,8220,7405
06/07/2013,-95,-90,8125,7315
06/22/2013,100,95,8225,7410
07/06/2013,-80,-75,8145,7335
07/20/2013,325,310,8470,7645
08/31/2013,235,225,8705,7870
09/14/2013,90,85,8795,7955
09/30/2013,-245,-235,8550,7720
11/01/2013,-75,-75,8475,7645
11/15/2013,-160,-155,8315,7490
11/29/2013,160,155,8475,7645
12/13/2013,60,60,8535,7705
01/11/2014,-125,-120,8700,7585
01/25/2014,-130,-125,8570,7460
02/27/2014,205,200,8775,7660
03/27/2014,-135,-130,8640,7530
04/25/2014,155,145,8795,7675
05/10/2014,-50,-50,8745,7625
05/24/2014,70,70,8815,7695
06/24/2014,165,160,8980,7855
07/22/2014,-245,-235,8735,7620
08/19/2014,-190,-185,8545,7435
09/02/2014,-105,-100,8440,7335
09/17/2014,-140,-135,8300,7200
09/30/2014,-100,-95,8200,7105
10/18/2014,-300,-290,7900,6815
11/01/2014,-245,-235,7655,6580
11/15/2014,-190,-180,7465,6400
12/13/2014,-170,-400,7295,6000
12/27/2014,-520,-500,6775,5500
01/13/2015,-180,-230,6595,5640
01/27/2015,-365,-350,6230,5290
02/10/2015,290,280,6520,5570
02/28/2015,390,375,6910,5945
03/27/2015,-240,-230,6670,5715
04/11/2015,120,115,6790,5830
04/25/2015,300,285,7090,6115
05/12/2015,255,245,7345,6360
06/09/2015,-110,-105,7235,6255
07/08/2015,-95,-90,7140,6165
07/22/2015,-265,-265,6875,5900
08/05/2015,-220,-215,6655,5685
08/19/2015,-210,-205,6445,5480
09/02/2015,-125,-120,6320,5360
09/17/2015,90,90,6410,5450
10/21/2015,50,50,6460,5500
11/04/2015,-125,-125,6335,5375
11/18/2015,-85,-80,6250,5295
12/02/2015,-145,-140,6105,5155
01/14/2016,-140,-135,5965,5020
04/27/2016,165,160,6130,5180
05/12/2016,120,115,6250,5295
05/26/2016,210,200,6460,5495
06/09/2016,110,110,6570,5605
07/22/2016,-155,-150,6415,5455
08/05/2016,-220,-215,6195,5240
08/19/2016,175,170,6370,5410
09/02/2016,205,200,6575,5610
