year,CN: Social Security Fund: Expense,CN: Social Security Fund: Revenue,CN: Social Security Fund: Accumulated Balance
Region,China,China,China
Subnational,,,
Frequency,"Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year"
Unit,RMB mn,RMB mn,RMB mn
Source,Ministry of Human Resources and Social Security,Ministry of Human Resources and Social Security,Ministry of Human Resources and Social Security
Status,Active,Active,Active
Series ID,13051401 (CZAASX),13051301 (CZAASW),13051501 (CZAASY)
SR Code,SR3762,SR3761,SR3763
Trade Code,,,
Mnemonic,,,
Function Description,,,
First Obs. Date,1989,1989,1989
Last Obs. Date,2022,2022,2022
Last Update Time,13/07/2023,13/07/2023,13/07/2023
Series remarks,,,
Suggestions,,,
Mean,2142276.6512789093,2474118.304701601,2864508.363158795
Variance,8190988375050.903,10036590132481.531,13835198954712.123
Standard Deviation,2861990.2821377474,3168057.7855338324,3719569.7270937297
Skewness,1.354273249941686,1.2645118042027923,1.135076405788461
Kurtosis,0.4935135571306617,0.3188056517636757,-0.11372230141607176
Coefficient Variation,1.3359573705987875,1.2804795063815373,1.298501961080689
Min,12090,15360,8160
Max,9071934,10250417,11682189
Median,593909.2252,780921.756,716479.2415499999
No. of Obs,34,34,34
1989,12090,15360,8160
1990,15187.65,18679.09,11733.88
1991,17610,22500,16970
1992,32710,37740,25280
1993,48220,52610,30370
1994,68000,74200,36570
1995,87714.88,100602.62,51677.03
1996,108237.836,125243.041,69610.276
1997,133915.28,145815.563,83162.599
1998,163688.649,162308.911,79111.1903
1999,210811.617,221184.755,100978.047
2000,238559.93,264490,132750.55
2001,274800.76,310189.92,162276.78
2002,347149.945,404866.27,242340.029
2003,401640.3,488290,331380
2004,462740,578030,449340
2005,540080,697520,607370
2006,647738.4504,864323.512,825588.4831
2007,788790,1081230,1123660
2008,992506.33501779,1369612.24649309,1522564.39234573
2009,1230255.45449101,1611564.22803239,1900652.5065071
2010,1501894.09474507,1927612.88093715,2340754.96320524
2011,1865290.24103563,2515329.83142954,3023308.31181569
2012,2333133.01391826,3073876.34405706,3810656.86175402
2013,2791625.65585856,3525294.69194889,4558811.19363296
2014,3300267.76478412,3982774.33834006,5246229.89300561
2015,3898812.7095464,4601212.41800752,5953253.88572599
2016,4688843.1199993,5356271.9284048,6634970.16482221
2017,5714558.87897251,6715422.615836,7731156.09849191
2018,6779268.74,7925475.54,8977548.58
2019,7534656.77971429,8355042.71536798,9697783.47169258
2020,7861183.923,7551252.169,9437865.17
2021,8673490.135,9693679.73,10487210.99
2022,9071934,10250417,11682189
