year,Total Wage,Total Wage: State Owned,Total Wage: Urban Collective Owned,Total Wage: Other Ownership
Region,China,China,China,China
Subnational,,,,
Frequency,"Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year"
Unit,RMB BN,RMB BN,RMB BN,RMB BN
Source,National Bureau of Statistics,National Bureau of Statistics,National Bureau of Statistics,National Bureau of Statistics
Status,Active,Active,Active,Active
Series ID,4948401 (CGKA),4948501 (CGKB),4948601 (CGKC),4948701 (CGKD)
SR Code,SR402083,SR402084,SR402085,SR402086
Trade Code,,,,
Mnemonic,,,,
Function Description,,,,
First Obs. Date,1952,1952,1952,1984
Last Obs. Date,2022,2022,2022,2022
Last Update Time,01/06/2023,01/06/2023,01/06/2023,01/06/2023
Series remarks,,,,
Suggestions,,,,
Mean,2645.687874450704,1111.07594287324,70.28491696619717,2665.825577230768
Variance,24344427.68694758,3202320.5109828045,5487.3229973403795,14514796.343078887
Standard Deviation,4934.007264581963,1789.5028669948547,74.07646723042602,3809.828912573226
Skewness,2.083154755709474,1.8396958829451564,0.8348798266201769,1.2902979736724267
Kurtosis,3.2268496674180103,2.3811567660109194,-0.5847535976309843,0.22218160798797149
Coefficient Variation,1.8649241704697908,1.6106035581755143,1.053945432788266,1.4291366041025222
Min,6.83,6.75,0.08,0.36
Max,19082.02,6900.02,230.265842,12001.08
Median,188.11,145.93,40.91,455.06
No. of Obs,71,71,71,39
1952,6.83,6.75,0.08,
1953,9,8.89,0.11,
1954,9.88,9.53,0.35,
1955,10.88,10.03,0.85,
1956,15.86,13.65,2.21,
1957,19.08,15.64,3.44,
1958,21.08,18,3.08,
1959,26.31,23.35,2.96,
1960,29.67,26.32,3.35,
1961,28.07,24.41,3.66,
1962,25.43,21.36,4.07,
1963,24.99,21.11,3.88,
1964,26.37,22.4,3.97,
1965,28.23,23.53,4.7,
1966,29.63,24.36,5.27,
1967,30.83,25,5.83,
1968,31.2,25.4,5.8,
1969,32.26,26.3,5.96,
1970,33.43,27.75,5.68,
1971,36.4,30.2,6.2,
1972,40.96,34,6.96,
1973,42.91,35.33,7.58,
1974,44.19,37.09,7.1,
1975,46.35,38.61,7.74,
1976,48.92,40.61,8.31,
1977,51.48,42.57,8.91,
1978,56.89,46.87,10.02,
1979,64.67,52.95,11.72,
1980,77.24,62.79,14.45,
1981,82,66.04,15.96,
1982,88.2,70.89,17.31,
1983,93.46,74.81,18.65,
1984,113.34,87.58,25.4,0.36
1985,138.3,106.48,31.23,0.59
1986,165.97,128.85,36.28,0.84
1987,188.11,145.93,40.91,1.27
1988,231.62,180.71,48.76,2.15
1989,261.85,205.02,53.44,3.39
1990,295.11,232.41,58.1,4.6
1991,332.39,259.49,65.86,7.04
1992,393.92,309.04,74.32,10.56
1993,491.62,381.27,84.99,25.36
1994,665.64,517.74,102.33,45.56
1995,805.58,617.26,121.06,67.26
1996,896.44,689.33,126.94,80.17
1997,960.24,732.39,128.39,99.45
1998,954.02,693.46,105.49,155.07
1999,1015.59,728.99,99.58,187.01
2000,1095.47,774.49,95.07,225.91
2001,1220.54,851.52,89.85,279.17
2002,1363.81,913.8,86.39,363.62
2003,1532.964411,991.19,86.71,455.06
2004,1761.49954,1103.82,87.62,570.06
2005,2062.706573,1229.17,90.64,742.9
2006,2426.232307,1392.062629,98.37927,935.790408
2007,2947.151498,1668.90871,110.812163,1167.430625
2008,3528.949727,1948.789587,120.323022,1459.837118
2009,4028.816311,2186.269674,127.33461,1715.212027
2010,4726.988554,2488.64264,143.371787,2094.974127
2011,5995.466188,2895.480775,173.744207,2926.241206
2012,7091.420915,3295.000751,199.040025,3597.380139
2013,9306.429104,3335.958665,219.577107,5750.893332
2014,10281.723364,3610.661584,230.265842,6440.795938
2015,11200.779029,4038.78919,223.943073,6938.046766
2016,12007.480139,4446.290308,226.863368,7334.326463
2017,12988.905708,4888.414741,221.56407,7878.926897
2018,14147.999653,5112.65698,208.232033,8827.11064
2019,15429.607035,5374.367829,184.149,9871.090206
2020,16412.68651,5962.812362,184.1786569,10265.69549
2021,18081.75252,6454.785519,192.0008707,11434.96613
2022,19082.02,6900.02,180.93,12001.08
