year,CN: Export,CN: Import
Region,China,China
Subnational,,
Frequency,Monthly,Monthly
Unit,Ton mn,Ton mn
Source,General Administration of Customs,General Administration of Customs
Status,Active,Active
Series ID,301315404 (CJASGI),301315504 (CJASGJ)
SR Code,SR7013857,SR7013861
Trade Code,,
Mnemonic,,
Function Description,,
First Obs. Date,01-2011,01-2011
Last Obs. Date,06-2023,06-2023
Last Update Time,13-07-2023,13-07-2023
Series remarks,,
Suggestions,,
Mean,128.4640011216216,223.0327637432433
Variance,624.5089475646006,1740.1904520895841
Standard Deviation,24.99017702147387,41.715590036455005
Skewness,-0.9146240259120648,-0.09016114332012033
Kurtosis,0.8007405985222822,-0.8407298794039995
Coefficient Variation,0.19453058291259936,0.18703794606822097
Min,55.42,117.51
Max,184.02,309.641
Median,132.45499999999998,227.785
No. of Obs,148,148
01-2011,55.42,168.18
02-2011,106.36,117.51
03-2011,122.86,151.01
04-2011,129.1,143.61
05-2011,115.92,150.99
06-2011,123.06,145.25
07-2011,132.69,155.54
08-2011,139.08,165.04
09-2011,119.15,169.38
10-2011,131.3,145.35
11-2011,139.05,183.25
12-2011,139.67,171.55
01-2012,58.37,164.35
02-2012,106.49,171.97
03-2012,125.83,177.1
04-2012,128.98,168.57
05-2012,118.68,187.92
06-2012,112.47,167.63
07-2012,102.39,168.06
08-2012,105.13,164.08
09-2012,121.57,169.46
10-2012,102.65,159.69
11-2012,141.13,184.64
12-2012,137.62,202.78
01-2013,56.63,191.76
02-2013,120.63,155.31
03-2013,126.97,183.17
04-2013,117.84,192.94
05-2013,133.1,194.62
06-2013,124.82,174.43
07-2013,111.61,204.83
08-2013,94.34,190.54
09-2013,91.13,201.75
10-2013,97.08,186.6
11-2013,107.91,208.16
12-2013,114.91,218.75
01-2014,67.89,241.66
02-2014,111.84,166.83
03-2014,126.08,188.07
04-2014,135.75,208.3
05-2014,137.4,195.62
06-2014,116.15,189.72
07-2014,111.98,203.65
08-2014,110.47,186.56
09-2014,109.11,208.44
10-2014,151.81,185.32
11-2014,156.97,176.58
12-2014,184.02,221.22
01-2015,72.42,190.81
02-2015,114.63,163.57
03-2015,132.22,194.15
04-2015,148.29,206.69
05-2015,150.3,178.7
06-2015,134.48,199.63
07-2015,135.52,224.72
08-2015,130.42,192.56
09-2015,141.46,213.06
10-2015,125.68,183.93
11-2015,140.72,197.09
12-2015,143.15,232.95
01-2016,66.87,192.68
02-2016,122.39,176.43
03-2016,135.93,214.24
04-2016,112.32,210.67
05-2016,144.49,215
06-2016,123.22,210.95
07-2016,110.92,215.03
08-2016,131.01,223.79
09-2016,115.1,231.02
10-2016,111.19,196.95
11-2016,128.61,230.1
12-2016,123.55,235.71
01-2017,70.54,228.94
02-2017,111.97,205.71
03-2017,130.37,240.81
04-2017,151.16,222.55
05-2017,138.5,235.47
06-2017,154.64,238.36
07-2017,106.53,227.09
08-2017,119.69,235.87
09-2017,103.09,258.68
10-2017,105.09,206.51
11-2017,145.93,242.57
12-2017,160.99,231.07
01-2018,69.31,262.06
02-2018,116.03,210.41
03-2018,133.01,238.35
04-2018,150.17,228.48
05-2018,149.56,251.96
06-2018,150.89,232.29
07-2018,140.64,245.9
08-2018,143.36,251.45
09-2018,136.19,248.63
10-2018,100.25,239.11
11-2018,137.8,238.71
12-2018,149.27,229.09
01-2019,75.39,264.81
02-2019,120.62,215.08
03-2019,139.924021,234.095248
04-2019,143.027766,248.452265
05-2019,139.353878,249.296525
06-2019,130.727201,229.124498
07-2019,129.891,263.681
08-2019,125.414,267.748
09-2019,127.517,267.477
10-2019,126.11,257.891
11-2019,150.892,256.214
12-2019,158.5,256.955
01-2020,69.741,267.691
02-2020,119.018,237.109
03-2020,143.325,243.23
04-2020,154.643,259.784
05-2020,141.66,255.162
06-2020,145.072237,295.830586
07-2020,127.017,309.641
08-2020,144.095,282.282
09-2020,142.436,298.083
10-2020,135.998,273.133
11-2020,150.540895,268.058964
12-2020,159.614593,288.916745
01-2021,78.912888,266.37021
02-2021,146.534,246.806
03-2021,152.278203,289.173023
04-2021,164.398826,270.784971
05-2021,158.727619,266.690891
06-2021,164.617455,273.96845
07-2021,149.299,264.874
08-2021,148.999,279.026
09-2021,144.486,278.365
10-2021,137.136,255.031
11-2021,149.720107,291.791916
12-2021,141.891308,263.011876
01-2022,81.521325,281.56357
02-2022,131.014529,213.407393
03-2022,138.763227,245.574223
04-2022,145.865286,250.930401
05-2022,160.502799,263.111827
06-2022,155.130287,240.999529
07-2022,142.362675,249.465801
08-2022,149.432651,264.859924
09-2022,148.313895,274.765201
10-2022,147.971999,258.024971
11-2022,160.6313,283.1475
12-2022,157.97988,271.217714
03-2023,160.539431,295.442144
04-2023,162.995981,274.572605
05-2023,164.162925,300.237161
06-2023,166.675979,297.649902
