year,学校数量：高等学校,学校数量：中学,学校数量：小学
1949,205,5216,346769
1950,193,5123,384000
1951,206,5448,501000
1952,201,6059,526964
1953,181,5929,512000
1954,188,6068,506000
1955,194,6212,504000
1956,227,8124,529000
1957,229,12474,547000
1958,791,52106,777000
1959,841,46891,737000
1960,1289,50653,726000
1961,845,29095,646000
1962,610,24756,668318
1963,407,25257,708000
1964,419,35933,1066000
1965,434,80993,1681939
1966,434,56275,1007000
1967,434,54771,964000
1968,434,68454,941000
1969,434,95929,916000
1970,434,106041,961131
1971,328,96356,969000
1972,331,94346,1009000
1973,345,99119,1032000
1974,378,102580,1053000
1975,387,125718,1093317
1976,392,194595,1044274
1977,404,203753,982291
1978,598,162345,949323
1979,633,144233,923532
1980,675,118377,917316
1981,704,106718,894074
1982,715,101649,880516
1983,805,96474,862165
1984,902,93714,853740
1985,1016,94847,832309
1986,1054,94363,820846
1987,1063,94167,807406
1988,1075,92908,793261
1989,1075,91075,777244
1990,1075,89140,766072
1991,1075,87407,729158
1992,1053,85614,712973
1993,1065,84377,696681
1994,1080,83896,682588
1995,1054,82555,668685
1996,1032,81501,645983
1997,1020,80111,628840
1998,1022,79360,609626
1999,1071,78532,582291
2000,1041,78462,553622
2001,1225,81497,491273
2002,1396,81051,456903
2003,1552,80509,425846
2004,1731,79755,394183
2005,1792,78578,366213
2006,1867,77038,341639
2007,1908,75065,320061
2008,2263,73120,300854
2009,2305,70927,280184
2010,2358,68948,257410
2011,2409,67805,241249
2012,2442,66725,228585
2013,2491,66156,213529
2014,2529,65876,201377
2015,2560,65645,190525
2016,2596,65501,177633
2017,2631,65449,167009
2018,2663,65719,161811
2019,2688,66379,160148
2020,2738,67040,157979
2021,2756,67456,154279
