year,毕业生数量：研究生,毕业生数量：高等学校,毕业生数量：中学,毕业生数量：中等专业学校,毕业生数量：小学
1952,,,221,,
1953,,,,,
1954,,,,,
1955,,,,,
1956,,,,,
1957,,,1299,,
1958,,,,,
1959,,,,,
1960,,,,,
1961,,,,,
1962,,,2025,,
1963,,,,,
1964,,,,,
1965,,,2098,,
1966,,,,,
1967,,,,,
1968,,,,,
1969,,,,,
1970,,,6865,,
1971,,,,,
1972,,,,,
1973,,,,,
1974,,,,,
1975,,119,14947,248,19994
1976,,149,17571,339,24895
1977,,194,21784,340,25739
1978,0.009,165,23753,232,22879
1979,0.14,85,23844,181,20879
1980,0.476,147,15810,410,20533
1981,11.669,140,16403,605,20757
1982,4.058,457,13430,446,20689
1983,4.497,335,11954,375,19807
1984,2.756,287,11402,376,19950
1985,17.004,316.384,12038,429,19999
1986,16.95,392.792,12907,496,20161
1987,27.603,531.93,13752,578,20430
1988,40.838,553.466,14197,596,19303
1989,37.232,576.242,13909,591,18571
1990,35.44,613.614,13560,661,18631
1991,32.537,614.267,13221,740,18967
1992,25.692,604.223,13424,743,18724
1993,28.214,570.715,13804,736,18415
1994,28.047,637.417,13757,729,18996
1995,31.877,805.397,14460,839,19615
1996,39.652,838.638,15027,1019,19341
1997,46.539,829.07,16850,1157,19601
1998,47.077,829.833,18549,1293,21174
1999,54.67,847.617,18768.1,1401,23137.4
2000,58.767,949.767,19350.1,1507,24191.8
2001,67.809,1036.323,20719.6,1503,23969
2002,80.841,1337.309,22874.6,1442,23519.2
2003,111.091,1877.492,24766,1484.471,22679
2004,150.777,2391.152,26342.351,1405.817,21352
2005,189.728,3067.956,27849.713,1567.135,20194.768
2006,255.902,3774.708,27986.693,1823.745,19284.838
2007,311.839,4477.907,27520.143,2022.662,18701.708
2008,344.825,5119.498,27040.593,2205.624,18649.512
2009,371.273,5311.023,26214.22,2415.223,18051.997
2010,383.6,5754.245,25448.335,2646.434,17396.364
2011,429.994,6081.565,25244.401,2702.302,16628.054
2012,486.455,6247.338,24523.046,2653.135,16415.565
2013,513.626,6387.21,23604.789,2652.082,15810.583
2014,535.863,6593.671,22131.189,2477.321,14766.28
2015,551.522,6808.866,22152.535,2367.455,14372.517
2016,563.938,7041.8,22162.5,2290.235,15074.466
2017,578.045,7358.287,21732.292,2169.933,15658.999
2018,604.368,7533.087,21470.443,2185.85,16164.927
2019,639.666,7585.298,22433.43,2199.648,16479.006
2020,728.627,7971.991,23218.233,2162.31,16403.201
2021,772.761,8265.064,23673.752,,17180.305
