year,固定资产投资：年初至今
区域,中国
次国家,
频率,月
单位,百万人民币
数据来源,国家统计局
状态,继续
数列ID,7872901 (COBDJU)
SR码,SR601443
Trade Code,
助记符,
函数说明,
首次观测日期,01/1994
最后观测日期,09/2022
最后更新时间,24/10/2022
数列备注,"Monthly data update issues on Fixed Assets Investment:

Starting from 2018, NBS only announced percentage growth (%) and did not publish absolute values. Some absolute figures were from press releases or press conferences.
There are series of indicators in % are also affected, not announced, such as:
1) FAI’s Central Government Project (7887401 | COBDPL);
2) FAI’s Local Government Project (7887501 | COBDPM);
3) FAI’s Project under Construction (312207201 | COCLPP);
4) FAI’s Project Newly Started (312207301 | COCLPQ);
5) FAI’s New Increased Asset (7888201 | COBDPT);
6) FAI’s Accounts Payable (7888301 | COBDPU);
7) FAI’s Source of Fund (312207401 | COCLPR);
8) FAI’s Residential Building (7874801 | COBDKO); etc.


关于固定资产投资的月度数据更新问题：

由2018年起，NBS只公布增长百分比(%)，不公布绝对值，个别绝对值数据来自新闻稿或新闻发布会。
还有一系列指标的增长百分比(%)也受影响，没有公布，如：
1) 固定资产投资的中央项目 (7887401 | COBDPL);
2) 固定资产投资的地方项目 (7887501 | COBDPM);
3) 固定资产投资的施工项目计划总投资/在建总规模 (312207201 | COCLPP);
4) 固定资产投资的新开工项目计划总投资 (312207301 | COCLPQ);
5) 固定资产投资的新增固定资产 (7888201 | COBDPT);
6) 固定资产投资的各项应付款合计 (7888301 | COBDPU);
7) 固定资产投资的资金来源 (312207401 | COCLPR);
8) 固定资产投资的住宅资产 (7874801 | COBDKO); 等。"
您可以,
平均,12146677.563101444
方差,256214800021038.94
标准差,16006711.093195846
偏度,1.463690933057444
峰度,1.0500463114557403
变异系数,1.3177851317812381
最小,33790
最大,63563600
中位数,4026420
参照期间,345
01/1994,33790
02/1994,33790
03/1994,81460
04/1994,136830
05/1994,204410
06/1994,308110
07/1994,414050
08/1994,492160
09/1994,586020
10/1994,674900
11/1994,773560
12/1994,932250
01/1995,44370
02/1995,44370
03/1995,111790
04/1995,179980
05/1995,261940
06/1995,376380
07/1995,472010
08/1995,575090
09/1995,689180
10/1995,796390
11/1995,909070
12/1995,1455160
01/1996,47494
02/1996,47494
03/1996,129871
04/1996,209314
05/1996,312645
06/1996,466648
07/1996,586098
08/1996,696383
09/1996,826945
10/1996,949679
11/1996,1088858
12/1996,1738796
01/1997,58859
02/1997,58859
03/1997,147817
04/1997,242459
05/1997,356339
06/1997,529142
07/1997,639195
08/1997,764460
09/1997,908156
10/1997,1061250
11/1997,1220076
12/1997,1879125
01/1998,65375
02/1998,65375
03/1998,161816
04/1998,271338
05/1998,400570
06/1998,582786
07/1998,736184
08/1998,894308
09/1998,1086361
10/1998,1281542
11/1998,1503510
12/1998,2110232
01/1999,84519
02/1999,84519
03/1999,202283
04/1999,326999
05/1999,475025
06/1999,668657
07/1999,829764
08/1999,990815
09/1999,1176417
10/1999,1374680
11/1999,1610832
12/1999,2241904
01/2000,95487
02/2000,95487
03/2000,223536
04/2000,361119
05/2000,523262
06/2000,753761
07/2000,938252
08/2000,1119468
09/2000,1347048
10/2000,1568713
11/2000,1819101
12/2000,2424282
01/2001,113073
02/2001,113073
03/2001,256019
04/2001,423573
05/2001,619914
06/2001,892803
07/2001,1111113
08/2001,1331123
09/2001,1591944
10/2001,1842379
11/2001,2116372
12/2001,2782662
01/2002,140799
02/2002,140799
03/2002,326369
04/2002,541642
05/2002,782764
06/2002,1110352
07/2002,1379367
08/2002,1653509
09/2002,1978813
10/2002,2286916
11/2002,2611854
12/2002,3294176
01/2003,193644
02/2003,193644
03/2003,447858
04/2003,726489
05/2003,1057780
06/2003,1507264
07/2003,1875333
08/2003,2236460
09/2003,2651258
10/2003,3046652
11/2003,3461803
12/2003,4264342
01/2004,328703
02/2004,328703
03/2004,705848
04/2004,1104744
05/2004,1543720
06/2004,2184397
07/2004,2711580
08/2004,3218595
09/2004,3802834
10/2004,4355628
11/2004,4927432
12/2004,5862028
01/2005,422178
02/2005,422178
03/2005,903668
04/2005,1402467
05/2005,1971932
06/2005,2796700
07/2005,3463716
08/2005,4115090
09/2005,4874149
10/2005,5579212
11/2005,6325985
12/2005,7509648
01/2006,529410
02/2006,529410
03/2006,1160840
04/2006,1800566
05/2006,2544347
06/2006,3636835
07/2006,4477101
08/2006,5259366
09/2006,6188012
10/2006,7007052
11/2006,7931210
12/2006,9347236
01/2007,653501
02/2007,653501
03/2007,1454361
04/2007,2259441
05/2007,3204478
06/2007,4607782
07/2007,5669783
08/2007,6665900
09/2007,7824678
10/2007,8895332
11/2007,10060461
12/2007,11741391
01/2008,812129
02/2008,812129
03/2008,1831694
04/2008,2841007
05/2008,4026420
06/2008,5843598
07/2008,7216008
08/2008,8491969
09/2008,9987071.3
10/2008,11318907.37
11/2008,12761413.93
12/2008,14816724.53
01/2009,1027579
02/2009,1027579
03/2009,2356199.52
04/2009,3708230.42
05/2009,5352032.49
06/2009,7809835.4
07/2009,9593201.07
08/2009,11298479.33
09/2009,13317659.71
10/2009,15070976.2
11/2009,16863420.77
12/2009,19413862.2
01/2010,1301402.68
02/2010,1301402.68
03/2010,2979268.47
04/2010,4674274.92
05/2010,6735829.72
06/2010,9804737.95
07/2010,11986624.77
08/2010,14099774.47
09/2010,16586957.52
10/2010,18755610.46
11/2010,21069782.53
12/2010,24141493.16
01/2011,1744416.02
02/2011,1744416.02
03/2011,3946490.91
04/2011,6271622.63
05/2011,9025451.39
06/2011,12456668.01
07/2011,15241985.58
08/2011,18060761.6
09/2011,21227399.18
10/2011,24136508.65
11/2011,26945212.04
12/2011,30193284.75
01/2012,2118882.52
02/2012,2118882.52
03/2012,4786539.77
04/2012,7559160.04
05/2012,10892421.09
06/2012,15071006.35
07/2012,18431178.45
08/2012,21795807.19
09/2012,25693289.49
10/2012,29254199.51
11/2012,32623617.33
12/2012,36483506.71
01/2013,2567591.82
02/2013,2567591.82
03/2013,5809227.59
04/2013,9131917.73
05/2013,13121064.95
06/2013,18131760
07/2013,22172223.2
08/2013,26257808.13
09/2013,30920757.39
10/2013,35166924.92
11/2013,39128252.7
12/2013,43652769.57
01/2014,3028302.94
02/2014,3028302.94
03/2014,6832171.45
04/2014,10707783.31
05/2014,15371648.61
06/2014,21277044.86
07/2014,25949291.31
08/2014,30578648.14
09/2014,35778718.43
10/2014,40616060.4
11/2014,45106757.8
12/2014,50200490.09
01/2015,3447741.29
02/2015,3447741.29
03/2015,7751125.36
04/2015,11997850.41
05/2015,17124540.32
06/2015,23713186.61
07/2015,28846850.45
08/2015,33897736.13
09/2015,39453103.78
10/2015,44742488.14
11/2015,49718214.88
12/2015,55159003.83
01/2016,3800779.68
02/2016,3800779.68
03/2016,8584283.32
04/2016,13259195.25
05/2016,18767098.2
06/2016,25835995.64
07/2016,31169433.31
08/2016,36633918.68
09/2016,42690644.1
10/2016,48442901.77
11/2016,53854798.16
12/2016,59650075.2
01/2017,4137789
02/2017,4137789
03/2017,9377706
04/2017,14432684
05/2017,20371827
06/2017,28060483
07/2017,33740949
08/2017,39415013
09/2017,45847818
10/2017,51781798
11/2017,57505705
12/2017,63168396.37
01/2018,4462600
02/2018,4462600
03/2018,10076300
04/2018,15435800
05/2018,21604300
06/2018,29731600
07/2018,35579800
08/2018,41515800
09/2018,48344200
10/2018,54756700
11/2018,60926700
12/2018,63563600
01/2019,4484900
02/2019,4484900
03/2019,10187100
04/2019,15574700
05/2019,21755500
06/2019,29910000
07/2019,34889200
08/2019,40062800
09/2019,46120400
10/2019,51088000
11/2019,53371800
12/2019,55147800
01/2020,3332300
02/2020,3332300
03/2020,8414500
04/2020,13682400
05/2020,19919400
06/2020,28160300
07/2020,32921400
08/2020,37883400
09/2020,43653000
10/2020,48329200
11/2020,49956000
12/2020,51890700
01/2021,4523600
02/2021,4523600
03/2021,9599400
04/2021,14380400
05/2021,19391700
06/2021,25590000
07/2021,30253300
08/2021,34691300
09/2021,39782700
10/2021,44582300
11/2021,49408200
12/2021,54454700
01/2022,5076300
02/2022,5076300
03/2022,10487200
04/2022,15354400
05/2022,20596400
