year,外商直接投资：合同总价：年初至今：共计,外商直接投资：已动用：年初至今：共计
1997,51001.0,45278.0
1998,52132.0,45582.0
1999,41238.0,40398.0
2000,62657.0,40772.0
2001,69195.0,46878.0
2002,82768.0,52743.0
2003,115070.0,53505.0
2004,153479.0,60630.0
2005,189065.0,72405.69
2006,200174.0,72715.0
2007,,83520.89
2008,111789.0,108312.44
2009,83730.0,94064.67
2010,12554.0,114734.24
2011,,123985.0
2012,,121073.14
2013,,123911.2
2014,25326.08695652,128501.56
2015,204110.0,135576.6
2016,,133711.42
2017,,136315.13
2018,,138305.89
2019,,141230.0
2020,,149340.0
2021,,180960.0
2022,,155300.0
