year,外商直接投资：合同总价：年初至今：共计,外商直接投资：已动用：年初至今：共计
区域,中国,中国
次国家,,
频率,月,月
单位,百万美元,百万美元
数据来源,商务部,商务部
状态,继续,继续
数列ID,8012601 (COQBB),8013301 (COQCB)
SR码,SR447922,SR447930
Trade Code,,
助记符,,
函数说明,,
首次观测日期,01/1997,01/1997
最后观测日期,08/2015,09/2022
最后更新时间,25/11/2020,02/11/2022
数列备注,,[COVID-19-IMPACT]
您可以,,
平均,50178.86816722968,50384.69563106797
方差,2048952747.617888,1404952802.2065349
标准差,45265.35924543058,37482.70003890508
偏度,1.473859092321658,0.8848654788775797
峰度,1.8458983524501993,0.0999051052886113
变异系数,0.9020801165657226,0.7439302663127072
最小,2319,1832
最大,204110,180960
中位数,35637,40772
参照期间,123,309
01/1997,2355,2139
02/1997,4394,4551
03/1997,7921,7837
04/1997,12080,11708
05/1997,16925,15110
06/1997,22934,20721
07/1997,26124,24299
08/1997,29907,27820
09/1997,34920,31541
10/1997,39995,35598
11/1997,44034,40007
12/1997,51001,45278
01/1998,2319,2288
02/1998,4841,4652
03/1998,8719,8596
04/1998,13558,11716
05/1998,17511,14885
06/1998,24202,20450
07/1998,28018,23877
08/1998,31702,27417
09/1998,35774,31355
10/1998,39411,35907
11/1998,45953,41070
12/1998,52132,45582
01/1999,3127,2046
02/1999,5513,4208
03/1999,8721,7340
04/1999,11418,10240
05/1999,14528,13903
06/1999,19394,18566
07/1999,22284,21467
08/1999,25332,24749
09/1999,29609,29233
10/1999,31764,32385
11/1999,35637,37088
12/1999,41238,40398
01/2000,3454,1832
02/2000,6256,3686
03/2000,11080,7140
04/2000,14643,9742
05/2000,18252,12762
06/2000,24170,17167
07/2000,27642,19895
08/2000,33253,22792
09/2000,37858,26683
10/2000,43516,31402
11/2000,48567,36240
12/2000,62657,40772
01/2001,4856,2221
02/2001,9202,4576
03/2001,16024,7931
04/2001,20248,10953
05/2001,25970,15057
06/2001,33459,20709
07/2001,40293,24209
08/2001,43748,27439
09/2001,49412,32278
10/2001,55201,37253
11/2001,60406,41897
12/2001,69195,46878
01/2002,5589,2425
02/2002,8939,4910
03/2002,14401,8349
04/2002,20334,11801
05/2002,26876,15708
06/2002,36332,22523
07/2002,44171,26340
08/2002,50273,30969
09/2002,58252,35975
10/2002,66305,41164
11/2002,73316,47060
12/2002,82768,52743
01/2003,9241,3593
02/2003,14223,7543
03/2003,22982,13085
04/2003,30528,17823
05/2003,38223,23271
06/2003,50958,30255
07/2003,59171,33354
08/2003,67532,36674
09/2003,79207,40238
10/2003,88683,43556
11/2003,100502,47154
12/2003,115070,53505
01/2004,10053,3699
02/2004,18890,7364
03/2004,33702,12229
04/2004,46423,17090
05/2004,56554,22545
06/2004,72435,29502
07/2004,82731,34262
08/2004,93383,39176
09/2004,106987,44179
10/2004,118403,49459
11/2004,134858,54154
12/2004,153479,60630
01/2005,12837,4095
02/2005,20052,7969
03/2005,35218,13388
04/2005,50152,17473
05/2005,64971,22366
06/2005,86191,28563
07/2005,98641,33091
08/2005,112706,37993
09/2005,130325,43247
10/2005,145078,48411
11/2005,167212,53127
12/2005,189065,72405.69
01/2006,,4545
02/2006,,8589
03/2006,,14246
04/2006,,18479
05/2006,,22989
06/2006,88500,28428
07/2006,,32707
08/2006,,37192
09/2006,132800,42589
10/2006,,48576
11/2006,167465,54263
12/2006,200174,72715
01/2007,,5338.93
02/2007,,10347.62
03/2007,,17001
04/2007,,21979
05/2007,,27605
06/2007,,35992
07/2007,,42013
08/2007,,47835
09/2007,,53183
10/2007,,60043
11/2007,,68427
12/2007,,83520.89
01/2008,,11200
02/2008,,18128
03/2008,,27414
04/2008,,35017
05/2008,,42778
06/2008,111789,52388
07/2008,,60724
08/2008,,67732
09/2008,,74374
10/2008,,81096
11/2008,,86418
12/2008,,108312.44
01/2009,10432,7541
02/2009,,13374
03/2009,,21777
04/2009,,27669
05/2009,,34048
06/2009,83730,43009
07/2009,,48367.79
08/2009,,55867
09/2009,,63766
10/2009,,70871
11/2009,,77894
12/2009,,94064.67
01/2010,12554,8129
02/2010,,14024
03/2010,,23443
04/2010,,30789
05/2010,,38921
06/2010,,51430
07/2010,,58354
08/2010,,65956
09/2010,,74340
10/2010,,82003
11/2010,,91707
12/2010,,114734.24
01/2011,,10028
02/2011,,17823
03/2011,,30340
04/2011,,38803
05/2011,,48028
06/2011,,60891
07/2011,,69187
08/2011,,77634
09/2011,,86679
10/2011,,95012
11/2011,,103769
12/2011,,123985
01/2012,,9997
02/2012,,17723
