year,CN：实际利率
区域,中国
次国家,
频率,"年, 年终12月"
单位,年利率%
数据来源,World Bank
状态,继续
数列ID,263619802
SR码,SR5313478
Trade Code,
助记符,
函数说明,
首次观测日期,1980
最后观测日期,2021
最后更新时间,01/07/2022
数列备注,"Real interest rate is the lending interest rate adjusted for inflation as measured by the GDP deflator. The terms and conditions attached to lending rates differ by country, however, limiting their comparability.; ; International Monetary Fund, International Financial Statistics and data files using World Bank data on the GDP deflator.; ;"
您可以,
平均,2.0216968685714285
方差,10.474404799075074
标准差,3.2364185142028643
偏度,-0.6640223233458883
峰度,0.9536654450681641
变异系数,1.6008426211243936
最小,-7.98974415
最大,7.35647845
中位数,2.629245435
参照期间,42
1980,1.2416394
1981,2.62034423
1982,7.35067213
1983,5.97409667
1984,2.14955956
1985,-2.07731742
1986,3.10596123
1987,2.70024323
1988,-2.77203311
1989,2.52069312
1990,3.45164467
1991,1.80431185
1992,0.41563512
1993,-3.65137209
1994,-7.98974415
1995,-1.41264819
1996,3.35497047
1997,6.91169889
1998,7.35647845
1999,7.20405034
2000,3.71066408
2001,3.72666389
2002,4.67972434
2003,2.63814664
2004,-1.2828117
2005,1.6132775
2006,2.11057773
2007,-0.25957059
2008,-2.30561534
2009,5.53112291
2010,-1.00240121
2011,-1.40242875
2012,3.58520353
2013,3.75538706
2014,4.52230843
2015,4.35307225
2016,2.90181539
2017,0.11255397
2018,0.82150187
2019,3.02438482
2020,3.83968158
2021,-0.02087432
