year,成交量：值：上海证券交易所：,成交量：值：上海证券交易所：工业,成交量：值：上海证券交易所：商业,成交量：值：上海证券交易所：财产，房地产,成交量：值：上海证券交易所：公用事业,成交量：值：上海证券交易所：杂项
1995,364589.0,,,,,
1996,2898292.905,358800.87,73257.78,21902.059999999998,47968.94,90723.03
1997,2984253.17,786340.7000000001,148013.33,53672.42,128875.6,259414.98
1998,3433579.01,699256.82,120528.86,29118.54,122844.48999999999,266862.3
1999,3599223.48,989253.4223,139846.5917,61368.3046,164891.4472,404702.4277
2000,4990147.4452,1832036.3644,271876.3211,57928.6125,302640.1851,672907.353
2001,4414402.8785,1381800.7682,153784.2199,91431.8804,265912.0585,378009.2591
2002,4852771.8556,994807.867,101687.4402,56998.9369,216125.2751,326081.5833
2003,8291155.9673,1173175.8908000002,84251.9247,33078.6226,326389.5123,465517.7913
2004,7692731.9433,1624819.5372,97212.5164,29367.4669,392278.1301,503381.9994
2005,4977560.9157,1196278.4519,84076.88190000001,26864.4969,271247.2085,345553.7973
2006,9191232.414900001,3296729.6589,241757.7681,174491.9496,810221.3097999999,1258459.3218
2007,38002553.1712,15960865.676,1215715.2566,873804.1851,4486602.1284,8006440.4578
2008,27184203.0,9285606.0,597514.0,503570.0,2187281.0,5468985.0
2009,44187469.0,19636832.0,1206804.0,1323048.0,3505904.0,8978599.0
2010,39839576.0,13570714.0,886156.0,621357.0,2193820.0,5912655.0
2011,45465155.0,,,,,
2012,54751674.0,,,,,
2013,86509834.0,,,,,
2014,128149799.0,,,,,
2015,266369085.0,,,,,
2016,283872444.0,,,,,
2017,306386244.0,,,,,
2018,264624881.0,,,,,
2019,283481874.0,,,,,
2020,366703013.0,,,,,
2021,461128066.0,,,,,
2022,402474352.0,,,,,
