year,成交量：值：上海证券交易所：,成交量：值：上海证券交易所：工业,成交量：值：上海证券交易所：商业,成交量：值：上海证券交易所：财产，房地产,成交量：值：上海证券交易所：公用事业,成交量：值：上海证券交易所：杂项
区域,中国,中国,中国,中国,中国,中国
次国家,,,,,,
频率,月,月,月,月,月,月
单位,百万人民币,百万人民币,百万人民币,百万人民币,百万人民币,百万人民币
数据来源,上海证券交易所,上海证券交易所,上海证券交易所,上海证券交易所,上海证券交易所,上海证券交易所
状态,继续,继续,继续,继续,继续,继续
数列ID,13093501 (CZJA),13094601 (CZJBC),13094701 (CZJBD),13094801 (CZJBE),13094901 (CZJBF),13095001 (CZJBG)
SR码,SR742924,SR742936,SR742937,SR742938,SR742939,SR742940
Trade Code,,,,,,
助记符,,,,,,
函数说明,,,,,,
首次观测日期,06-1995,08-1996,08-1996,08-1996,08-1996,08-1996
最后观测日期,10-2022,10-2010,10-2010,10-2010,10-2010,10-2010
最后更新时间,04-11-2022,02-06-2021,02-06-2021,02-06-2021,02-06-2021,02-06-2021
数列备注,,,,,,
您可以,,,,,,
平均,9595198.064306078,425656.83056549745,31710.426260818724,23146.21330701754,90192.98997076025,194960.7795362573
方差,161647330107660.72,349882043005.87555,1489960030.951118,1386992402.3705156,16673295727.090202,79595415325.68765
标准差,12714060.331289163,591508.2780535498,38600.00040092121,37242.34689665134,129125.11656176811,282126.5945026942
偏度,1.2664683622789195,1.7393105957866537,1.7814404520048606,2.4837348433065065,1.9224238483228362,1.547033799794412
峰度,0.3874973854282673,2.031011908355852,2.357698484569349,7.290391187516408,3.1531040874422382,1.1122225812611024
变异系数,1.3250440737211233,1.3896365230829586,1.2172652642205324,1.6090038747443878,1.4316535753347273,1.447094103612909
最小,27334.9146,8395.33,2093.09,571.99,3477.44,9250.81
最大,48347261,2696973,174529.8039,224353,607802.2572,1153315
中位数,2928745,123805.5978,13510.3248,5647.2597,26192.9115,42837.8
参照期间,329,171,171,171,171,171
06-1995,36202,,,,,
07-1995,50348,,,,,
08-1995,74390,,,,,
09-1995,55227,,,,,
10-1995,67319,,,,,
11-1995,45010,,,,,
12-1995,36093,,,,,
01-1996,47049.0971,,,,,
02-1996,27334.9146,,,,,
