year,成交量：值：深圳证券交易所
1991,3559.5270140000002
1992,43808.65
1993,132255.214
1994,308050.88647100003
1995,894360.701886
1996,1394934.212513
1997,1862796.960772
1998,1196497.604574
1999,1631085.9803227
2000,3314378.153893
2001,1711192.996764
2002,1403968.480624
2003,1215160.004537
2004,1642053.408016
2005,1327584.6954438
2006,3873808.674489
2007,18764557.088484
2008,9938843.820935
2009,19873386.591566
2010,24742661.956172
2011,19318832.672678
2012,17865969.052184
2013,29667146.081204
2014,44470819.037752
2015,136105131.508834
2016,93444237.189032
2017,81433330.577923
2018,73587291.66555977
2019,100786250.645244
2020,162219678.007894
2021,195379436.743882
2022,159311433.0409653
