year,成交量：值：深圳证券交易所,成交量：值：深圳证券交易所：农业,成交量：值：深圳证券交易所：采矿业,成交量：值：深圳证券交易所：制造业,成交量：值：深圳证券交易所：公用事业,成交量：值：深圳证券交易所：建筑业,成交量：值：深圳证券交易所：交通,成交量：值：深圳证券交易所：IT,成交量：值：深圳证券交易所：批发及零售,成交量：值：深圳证券交易所：财务,成交量：值：深圳证券交易所：房地产,成交量：值：深圳证券交易所：综合企业,成交量：值：深圳证券交易所：媒介,（停止更新）成交量：值：深圳证券交易所：社会服务
区域,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国
次国家,,,,,,,,,,,,,,
频率,月,月,月,月,月,月,月,月,月,月,月,月,月,月
单位,百万人民币,百万人民币,百万人民币,百万人民币,百万人民币,百万人民币,百万人民币,百万人民币,百万人民币,百万人民币,百万人民币,百万人民币,百万人民币,百万人民币
数据来源,深圳证券交易所,深圳证券交易所,深圳证券交易所,深圳证券交易所,深圳证券交易所,深圳证券交易所,深圳证券交易所,深圳证券交易所,深圳证券交易所,深圳证券交易所,深圳证券交易所,深圳证券交易所,深圳证券交易所,深圳证券交易所
状态,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,停止
数列ID,13064001 (CZBC),13064201 (CZBCAA),13064301 (CZBCAB),13064401 (CZBCAC),13065401 (CZBCAD),13065501 (CZBCAE),13065601 (CZBCAF),13065701 (CZBCAG),13065801 (CZBCAH),13065901 (CZBCAI),13066001 (CZBCAJ),13066301 (CZBCAM),13066201 (CZBCAL),13066101 (CZBCAK)
SR码,SR207877,SR207894,SR207895,SR207896,SR207906,SR207907,SR207908,SR207909,SR207910,SR207911,SR207912,SR207915,SR207914,SR207913
Trade Code,,,,,,,,,,,,,,
助记符,,,,,,,,,,,,,,
函数说明,,,,,,,,,,,,,,
首次观测日期,01/1991,07/2001,07/2001,07/2001,07/2001,07/2001,07/2001,07/2001,07/2001,07/2001,07/2001,07/2001,07/2001,07/2001
最后观测日期,10/2022,10/2022,10/2022,10/2022,10/2022,10/2022,10/2022,10/2022,10/2022,10/2022,10/2022,10/2022,10/2022,02/2013
最后更新时间,04/11/2022,04/11/2022,04/11/2022,04/11/2022,04/11/2022,04/11/2022,04/11/2022,04/11/2022,04/11/2022,04/11/2022,04/11/2022,04/11/2022,04/11/2022,25/11/2020
数列备注,,,,,,,,,,,,,,
您可以,,,,,,,,,,,,,,13064401
平均,3164566.7587215407,59082.904341632806,62766.29774501949,2433229.1097699846,58548.763831238306,58109.8132278164,39307.794032308615,364364.4188846949,99451.99708386716,125752.573129082,116282.49245642181,24758.618984257795,44411.9340398008,24943.501703107126
方差,24530020162965.117,4147479917.578366,4210684106.679684,8287234611065.131,5558015038.963434,5071089200.931479,1414342747.7521327,199908726612.18402,11977355921.674562,29092808146.19108,16119240231.729385,492999614.7264241,3078522023.617093,579386079.9205887
标准差,4952779.0343366945,64400.93103036916,64889.784301380474,2878755.7400837485,74552.09614064137,71211.58052544178,37607.74850681881,447111.5371047632,109441.1070926942,170566.14009290084,126961.56990101133,22203.59463524823,55484.43046132035,24070.439961093125
偏度,1.858804398058709,1.3316680611712155,1.837880746257736,1.4599270681701182,2.396689856236589,1.5796562542743586,1.2390110065744615,1.345699753048346,1.8042365815790502,2.186412253372137,2.477214558015168,1.4299408668396856,1.7366395591684902,0.6462238299824506
峰度,2.707253539599788,1.0578953669818012,4.382924084563994,1.4451767350612612,6.450487080833989,1.9415814244771954,1.3800633007298413,1.0671559929104046,4.119926218212589,5.80230066081395,8.712917615256101,1.5469423001768896,3.202481357897281,-0.8273663453492568
变异系数,1.5650733297652337,1.0900095678774715,1.033831636286521,1.1831009782534945,1.273333393605564,1.225465658377882,0.9567504214535043,1.2270998866282112,1.1004415225609125,1.3563630218350982,1.091837362779196,0.8968026306057653,1.249313538374543,0.9649984291537845
最小,3.659533,585.679748,952.846108,21444.09653,1258.682232,259.964997,755.17756,2803.128352,1620.595782,643.210824,1686.42518,2444.233803,175.731603,1018.79402
最大,21711687.390848,303677.954294,403748.587058,13151530.757903,434267.787772,333808.269306,202485.721983,1936255.298807,596363.961053,1092735.987988,892028.963771,115486.27631,268208.001989,88293.297007
中位数,456640.296313,36644.0878225,45490.1607945,1182051.7067490001,35374.1204995,31078.2235455,26179.151628,127438.0753455,61977.582813500005,51722.109808,90892.377121,16585.394406500003,18866.4651,14700.592611
参照期间,382,256,256,256,256,256,256,256,256,256,256,256,256,140
01/1991,40.768913,,,,,,,,,,,,,
02/1991,146.54201,,,,,,,,,,,,,
03/1991,19.427961,,,,,,,,,,,,,
04/1991,3.659533,,,,,,,,,,,,,
05/1991,65.002848,,,,,,,,,,,,,
06/1991,45.860893,,,,,,,,,,,,,
07/1991,92.153074,,,,,,,,,,,,,
08/1991,118.173887,,,,,,,,,,,,,
09/1991,180.96664,,,,,,,,,,,,,
10/1991,726.797315,,,,,,,,,,,,,
11/1991,1516.42584,,,,,,,,,,,,,
12/1991,603.7481,,,,,,,,,,,,,
01/1992,509.04,,,,,,,,,,,,,
02/1992,328.7,,,,,,,,,,,,,
03/1992,903.44,,,,,,,,,,,,,
04/1992,3140.95,,,,,,,,,,,,,
05/1992,6203.07,,,,,,,,,,,,,
06/1992,5230.95,,,,,,,,,,,,,
07/1992,6162.53,,,,,,,,,,,,,
08/1992,4223.13,,,,,,,,,,,,,
09/1992,3878.87,,,,,,,,,,,,,
10/1992,2603.54,,,,,,,,,,,,,
11/1992,3811.21,,,,,,,,,,,,,
12/1992,6813.22,,,,,,,,,,,,,
01/1993,4836.095,,,,,,,,,,,,,
02/1993,18318.633,,,,,,,,,,,,,
03/1993,12218.132,,,,,,,,,,,,,
04/1993,10102.037,,,,,,,,,,,,,
05/1993,7429.115,,,,,,,,,,,,,
06/1993,5975.698,,,,,,,,,,,,,
07/1993,7037.385,,,,,,,,,,,,,
08/1993,21356.733,,,,,,,,,,,,,
09/1993,6761.315,,,,,,,,,,,,,
10/1993,5271.806,,,,,,,,,,,,,
11/1993,20947.812,,,,,,,,,,,,,
12/1993,12000.453,,,,,,,,,,,,,
01/1994,10016.808203,,,,,,,,,,,,,
02/1994,10702.953933,,,,,,,,,,,,,
03/1994,9703.271344,,,,,,,,,,,,,
04/1994,11917.570435,,,,,,,,,,,,,
05/1994,18328.400034,,,,,,,,,,,,,
06/1994,4333.827796,,,,,,,,,,,,,
07/1994,3280.434964,,,,,,,,,,,,,
08/1994,49208.045256,,,,,,,,,,,,,
09/1994,95615.406598,,,,,,,,,,,,,
10/1994,34574.791723,,,,,,,,,,,,,
11/1994,25077.971975,,,,,,,,,,,,,
12/1994,35291.40421,,,,,,,,,,,,,
01/1995,39919.995972,,,,,,,,,,,,,
02/1995,124132.434385,,,,,,,,,,,,,
03/1995,258143.961856,,,,,,,,,,,,,
04/1995,163811.245671,,,,,,,,,,,,,
05/1995,227134.465238,,,,,,,,,,,,,
06/1995,6142.685291,,,,,,,,,,,,,
07/1995,8742.581512,,,,,,,,,,,,,
08/1995,23748.541273,,,,,,,,,,,,,
09/1995,11729.178806,,,,,,,,,,,,,
10/1995,14995.367919,,,,,,,,,,,,,
11/1995,9772.003334,,,,,,,,,,,,,
12/1995,6088.240629,,,,,,,,,,,,,
01/1996,4831.421044,,,,,,,,,,,,,
02/1996,2206.469283,,,,,,,,,,,,,
03/1996,8798.004258,,,,,,,,,,,,,
04/1996,41290.660169,,,,,,,,,,,,,
05/1996,69565.729368,,,,,,,,,,,,,
06/1996,90578.8707,,,,,,,,,,,,,
07/1996,157834.400352,,,,,,,,,,,,,
08/1996,104904.35226,,,,,,,,,,,,,
09/1996,110997.65,,,,,,,,,,,,,
10/1996,260306.459047,,,,,,,,,,,,,
11/1996,308965.635801,,,,,,,,,,,,,
12/1996,234654.560231,,,,,,,,,,,,,
01/1997,138823.851094,,,,,,,,,,,,,
02/1997,88397.500508,,,,,,,,,,,,,
03/1997,249145.144509,,,,,,,,,,,,,
04/1997,284680.824679,,,,,,,,,,,,,
05/1997,271503.209434,,,,,,,,,,,,,
06/1997,181697.276154,,,,,,,,,,,,,
07/1997,137994.445849,,,,,,,,,,,,,
08/1997,101666.448693,,,,,,,,,,,,,
09/1997,83620.286362,,,,,,,,,,,,,
10/1997,139580.419059,,,,,,,,,,,,,
11/1997,98204.933605,,,,,,,,,,,,,
12/1997,87482.620826,,,,,,,,,,,,,
01/1998,93430.270671,,,,,,,,,,,,,
02/1998,57140.809662,,,,,,,,,,,,,
03/1998,78317.863072,,,,,,,,,,,,,
04/1998,173197.307471,,,,,,,,,,,,,
05/1998,165507.047967,,,,,,,,,,,,,
06/1998,124031.344234,,,,,,,,,,,,,
07/1998,88567.039072,,,,,,,,,,,,,
08/1998,72063.793199,,,,,,,,,,,,,
09/1998,96894.576446,,,,,,,,,,,,,
10/1998,86201.457058,,,,,,,,,,,,,
11/1998,105850.00851,,,,,,,,,,,,,
12/1998,55296.087212,,,,,,,,,,,,,
01/1999,55340.1514777,,,,,,,,,,,,,
02/1999,17357.13799,,,,,,,,,,,,,
03/1999,87945.332809,,,,,,,,,,,,,
04/1999,110288.864523,,,,,,,,,,,,,
05/1999,125526.66739,,,,,,,,,,,,,
06/1999,448702.647196,,,,,,,,,,,,,
07/1999,258122.139042,,,,,,,,,,,,,
08/1999,160406.322564,,,,,,,,,,,,,
09/1999,126882.000126,,,,,,,,,,,,,
10/1999,62920.653678,,,,,,,,,,,,,
11/1999,90440.024331,,,,,,,,,,,,,
12/1999,87154.039196,,,,,,,,,,,,,
01/2000,229118.614523,,,,,,,,,,,,,
02/2000,317207.893328,,,,,,,,,,,,,
03/2000,464577.94543,,,,,,,,,,,,,
04/2000,328324.117226,,,,,,,,,,,,,
05/2000,238994.753321,,,,,,,,,,,,,
06/2000,360982.615044,,,,,,,,,,,,,
07/2000,271545.68803,,,,,,,,,,,,,
08/2000,324861.971944,,,,,,,,,,,,,
09/2000,180385.924007,,,,,,,,,,,,,
10/2000,146197.216023,,,,,,,,,,,,,
11/2000,266644.387925,,,,,,,,,,,,,
12/2000,185537.027092,,,,,,,,,,,,,
01/2001,141867.8674,,,,,,,,,,,,,
02/2001,92372.45031,,,,,,,,,,,,,
03/2001,262905.331674,,,,,,,,,,,,,
04/2001,223201.8535,,,,,,,,,,,,,
05/2001,199186.0156,,,,,,,,,,,,,
