year,CN: PE: Value of Investment,CN: VC: Value of Investment
Region,China,China
Subnational,,
Frequency,"Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec"""
Unit,USD MN,USD MN
Source,ChinaVenture,ChinaVenture
Status,Active,Active
Series ID,258625201 (CZPAAEX),258644301 (CZPAAMG)
SR Code,SR4000689,SR4000609
Trade Code,,
Mnemonic,,
Function Description,,
First Obs. Date,03/2008,03/2006
Last Obs. Date,03/2020,03/2020
Last Update Time,10/04/2020,10/04/2020
Series remarks,,
Suggestions,,
Mean,13654.092708333332,6448.258245614039
Variance,150084597.33835214,58446300.90447188
Standard Deviation,12250.90189897675,7645.018044744687
Skewness,1.0827477408689878,1.2124830989387627
Kurtosis,0.17115575457250776,0.5266237612338704
Coefficient Variation,0.8972329513699442,1.185594272677379
Min,405.33,211.49
Max,46437,28819
Median,9484.845,1558.23
No. of Obs,48,57
03/2006,,375.34
06/2006,,594.9
09/2006,,779.82
12/2006,,746.92
03/2007,,518.66
06/2007,,763.68
09/2007,,1101.85
12/2007,,766.65
03/2008,2308.7,585.31
06/2008,2554.71,676.26
09/2008,2117.3,1026.46
12/2008,,890.09
03/2009,405.33,215.19
06/2009,1525.23,211.49
09/2009,2882.78,630.43
12/2009,2474.13,1260.03
03/2010,3004.47,1103.14
06/2010,4322.03,931.74
09/2010,2957.11,913.87
12/2010,8731.67,1255.24
03/2011,5349.82,2237.81
06/2011,9790.14,2746.78
09/2011,8549.25,2274.32
12/2011,5226.26,1687.65
03/2012,5120.85,1207.59
06/2012,2599.53,1496.65
09/2012,9236.06,1558.23
12/2012,2939.43,504.97
03/2013,4385,1465
06/2013,10210,723
09/2013,3880,1400
12/2013,3112,1147
03/2014,9736.98,1524.51
06/2014,5974.83,3199.65
09/2014,13590.16,4357.22
12/2014,6458.56,5356.24
03/2015,9234.72,6462.62
06/2015,11703.82,8135.59
09/2015,17352.46,14758.01
12/2015,16286.94,11356.39
03/2016,17209.14,16931.84
06/2016,16640.81,13917.18
09/2016,18093.6,12428.39
12/2016,9733.63,11429.01
03/2017,14892,16078
06/2017,20965,14432
09/2017,35130,16310
12/2017,29555,18965
03/2018,36565,23024
06/2018,46437,27079
09/2018,38262,28819
12/2018,28569,17587
03/2019,33124,14141
06/2019,24557,14055
09/2019,26885,14701
12/2019,41148,13348
03/2020,23610,5359
