year,Shanghai Stock Exchange: Index: Composite,Shenzhen Stock Exchange: Index: Composite
Region,China,China
Subnational,,
Frequency,"Daily, ""Everyday""","Daily, ""Everyday"""
Unit,19Dec1990=100,03Apr1991=100
Source,Shanghai Stock Exchange,Shenzhen Stock Exchange
Status,Active,Active
Series ID,3782201 (CDIAA),3786401 (CDIEE)
SR Code,SR358771,SR23350
Trade Code,,
Mnemonic,,
Function Description,,
First Obs. Date,01/03/1994,03/16/1994
Last Obs. Date,08/02/2023,08/02/2023
Last Update Time,02/08/2023,02/08/2023
Series remarks,,
Suggestions,,
Mean,2259.3600835421835,1019.3670222113194
Variance,1047619.1221666014,497321.1906961916
Standard Deviation,1023.5326678551112,705.2100330371028
Skewness,0.34684311359318304,0.5532931838183411
Kurtosis,-0.1668302371290844,-0.9573958755706862
Coefficient Variation,0.4530188327707531,0.6918117004680867
Min,333.9,96.561
Max,6092.06,3140.663
Median,2195.335,904.2215
No. of Obs,7182,7136
01/03/1994,833.9,
01/04/1994,832.69,
01/05/1994,846.98,
01/06/1994,869.33,
01/07/1994,879.64,
01/10/1994,900.3,
01/11/1994,891.79,
01/12/1994,888.04,
01/13/1994,897.46,
01/14/1994,849.23,
01/17/1994,859.28,
01/18/1994,835.06,
01/19/1994,807.5,
01/20/1994,802.61,
01/21/1994,812.88,
01/24/1994,839.2,
01/25/1994,815.89,
01/26/1994,812.41,
01/27/1994,818.6,
01/28/1994,799.26,
01/31/1994,770.25,
02/01/1994,755.15,
02/02/1994,772.2,
02/03/1994,780.17,
02/04/1994,797.86,
02/14/1994,779.91,
02/15/1994,772.76,
02/16/1994,776.1,
02/17/1994,768.57,
02/18/1994,769.18,
02/21/1994,754.41,
02/22/1994,768.17,
02/23/1994,759.71,
02/24/1994,758.84,
02/25/1994,787.42,
02/28/1994,770.98,
03/01/1994,757.29,
03/02/1994,742.06,
03/03/1994,734.45,
03/04/1994,726.3,
03/07/1994,717.01,
03/08/1994,711.27,
03/09/1994,716.11,
03/10/1994,698.89,
03/11/1994,717.38,
03/14/1994,788.46,
03/15/1994,772.76,
03/16/1994,793.82,200.9
03/17/1994,776.94,202.1
03/18/1994,765.55,204
03/21/1994,731.62,199.4
03/22/1994,739.31,197.1
03/23/1994,725.21,191.5
03/24/1994,724.28,188.3
03/25/1994,719.06,188.8
03/28/1994,702.23,183.4
03/29/1994,706.91,187.2
03/30/1994,706.34,183.6
03/31/1994,704.46,177.8
04/01/1994,698.84,174.4
04/04/1994,694.38,172.3
04/05/1994,682.75,173.5
04/06/1994,679.74,175.7
04/07/1994,677.31,175.82
04/08/1994,678.86,170.27
04/11/1994,659.05,164.17
04/12/1994,665.61,164.09
04/13/1994,656.79,160.77
04/14/1994,636.08,152.14
