year,Shanghai Stock Exchange: Index: Composite,Shenzhen Stock Exchange: Index: Composite
1994,674.1208373015874,154.50236714975847
1995,660.278081300813,131.0109918699187
1996,763.4634653061224,224.0582530612245
1997,1174.9287131147541,388.0456762295082
1998,1261.340049180328,384.8178606557377
1999,1376.8082605042016,407.4762268907563
2000,1881.949719665272,579.6074820083683
2001,1955.4332677824266,580.6314853556485
2002,1567.2303966244726,455.6496864978903
2003,1467.7453941908714,404.07573195020746
2004,1481.9820247933885,379.2103561983471
2005,1153.520082644628,282.6379090909091
2006,1629.9096265560165,399.9492489626556
2007,4237.542520661157,1134.563979338843
2008,3031.8257723577235,896.8305081300813
2009,2765.4307786885247,938.618106557377
2010,2830.994834710744,1162.2219421487605
2011,2666.8782377049183,1142.9534303278688
2012,2219.140864197531,892.0604773662551
2013,2191.6996638655464,986.3637941176471
2014,2238.2151836734693,1181.8069020408163
2015,3721.552418032787,2082.281282786885
2016,3003.6772950819673,1940.5563975409837
2017,3249.6692213114757,1933.0791721311477
2018,2943.1515226337447,1611.7584979423868
2019,2919.537295081967,1576.440368852459
2020,3128.4192181069957,2028.1185185185184
2021,3539.656543209877,2394.357242798354
2022,3225.556115702479,2106.627438016529
2023,3254.2692198581562,2077.7487142857144
