year,Turnover: No of Deals: Shanghai Stock Exchange,Turnover: No of Deals: Shenzhen Stock Exchange
Region,China,China
Subnational,,
Frequency,Monthly,Monthly
Unit,Unit,Unit
Source,Shanghai Stock Exchange,Shenzhen Stock Exchange
Status,Active,Active
Series ID,13096701 (CZKC),13057101 (CZAC)
SR Code,SR2270676,SR621084
Trade Code,,
Mnemonic,,
Function Description,,
First Obs. Date,01-1996,01-1996
Last Obs. Date,06-2023,06-2023
Last Update Time,06-07-2023,13-07-2023
Series remarks,,
Suggestions,,
Mean,181196380.5969697,209995592.3030303
Variance,50461122953707864,90281776352187740
Standard Deviation,224635533.59543958,300469260.245017
Skewness,1.8261553201561467,1.9465790219561485
Kurtosis,2.708900459588465,3.0763886143011225
Coefficient Variation,1.2397352135586552,1.430836033031733
Min,1221783,453075
Max,1004570000,1306012962
Median,106165000,79971461
No. of Obs,330,330
01-1996,3394951,997274
02-1996,1221783,453075
03-1996,3186361,1478989
04-1996,7765303,6066416
05-1996,11850471,8625934
06-1996,20611296,10468494
07-1996,27851674,17084310
08-1996,16096505,11246080
09-1996,16746523,12250623
10-1996,30584879,25863703
11-1996,25678366,27247629
12-1996,41872894,20569816
01-1997,15929079,14832247
02-1997,15959387,8848051
03-1997,21230952,23104711
04-1997,26959722,24796919
05-1997,21119347,23737434
06-1997,15377760,19085645
07-1997,15966433,16178619
08-1997,13439114,13284766
09-1997,12238981,11909825
10-1997,9606865,16280835
11-1997,8779723,12913359
12-1997,10507288,12020434
01-1998,10135795,12399286
02-1998,8460652,7932366
03-1998,12296609,10894941
04-1998,24095093,21916296
05-1998,21489044,20569478
06-1998,18865181,15465554
07-1998,12956137,10248729
08-1998,11942697,10051291
09-1998,16650550,13266078
10-1998,13525670,11307462
11-1998,14138346,13518754
12-1998,7723622,6837793
01-1999,9088484,8277830
02-1999,2793015,2512253
03-1999,13228646,11392354
04-1999,14874452,14028850
05-1999,16772145,14951363
06-1999,48082201,42200835
07-1999,29485699,25690973
08-1999,24017394,18513339
09-1999,16390236,13794199
10-1999,7579372,6762751
11-1999,9747400,8748839
12-1999,9109400,8028382
01-2000,21618800,19506324
02-2000,28067400,24840621
03-2000,42536900,42182159
04-2000,30683400,31503903
05-2000,22030300,22368961
06-2000,32417500,33445091
07-2000,29621200,28528139
08-2000,35210100,32607602
09-2000,16157300,16950502
10-2000,13716800,13824532
11-2000,26456100,25718545
12-2000,22215400,17182387
01-2001,18115400,13838222
02-2001,13115000,10204625
03-2001,24626400,20667911
04-2001,28454700,20073593
05-2001,22596400,16083886
06-2001,26127800,19462646
07-2001,17795500,13516795
08-2001,16125600,10517300
09-2001,11823400,8407742
10-2001,12181000,8556320
11-2001,15405800,9638046
12-2001,14165500,9226469
