year,Turnover: No of Deals: Shanghai Stock Exchange,Turnover: No of Deals: Shenzhen Stock Exchange
1996,206861006,142352343
1997,187114651,196992845
1998,172279396,154408028
1999,201168444,174901968
2000,320731200,308658766
2001,220532500,160193555
2002,180938800,130658325
2003,212763700,130048750
2004,265928300,170469193
2005,228542300,153889502
2006,536069100,310169564
2007,1813566200,956039137
2008,1520480000,713755061
2009,2314030000,1288424627
2010,1726150000,1344952854
2011,1310990000,1047029068
2012,980090000,982615708
2013,1254040000,1387206697
2014,1742760000,1851665653
2015,5296270000,4907784188
2016,2558230000,3814712613
2017,2689710000,3304072124
2018,2583360000,3294487182
2019,3646700000,4974064453
2020,5311550000,7996718579
2021,8202170000,10661905526
2022,9661850000,12905987577
2023,4449930000,5834381574
