year,政府财政：债务发行,政府财政：债务支付及利息
区域,中国,中国
次国家,,
频率,"年, 年终12月","年, 年终12月"
单位,百万人民币,百万人民币
数据来源,财政部,财政部
状态,继续,继续
数列ID,4318601 (CFJA),4318901 (CFKA)
SR码,SR737102,SR737107
Trade Code,,
助记符,,
函数说明,,
首次观测日期,1950,1950
最后观测日期,2021,2021
最后更新时间,24/06/2022,24/06/2022
数列备注,,
您可以,,
平均,947272.7959183673,439078.11475409835
方差,2828927294264.7495,785206671099.1361
标准差,1681941.5252215962,886118.8809065836
偏度,2.409248937281834,2.689263848214231
峰度,5.79976801642565,7.806325834388305
变异系数,1.7755619421024103,2.0181349311906525
最小,302,3
最大,7178275,4479492
中位数,117525,7675
参照期间,49,61
1950,302,3
1951,818,42
1952,978,392
1953,962,91
1954,1720,221
1955,2276,656
1956,724,722
1957,699,826
1958,798,904
1959,,969
1960,,1046
1961,,1093
1962,,1037
1963,,758
1964,,523
1965,,636
1966,,391
1967,,201
1968,,200
1972,,50
1973,,50
1974,,50
1979,3531,
1980,4301,2858
1981,12174,6289
1982,8386,5552
1983,7941,4247
1984,7734,2891
1985,8985,3956
1986,13825,5016
1987,22355,7983
1988,27078,7675
1989,40797,7236
1990,37545,19007
1991,46140,24680
1992,66968,43857
1993,73922,33622
1994,117525,49936
1995,154976,88296
1996,196728,135503
1997,247682,191837
1998,331093,235292
1999,371503,191053
2000,418010,157982
2001,460400,200773
2002,567900,256313
2003,615353,295224
2004,687934,367159
2005,692287,392337
2009,1628066,932393
2010,1784991,1204939
2011,1560980,1346419
2012,1452733,1106929
2013,1694932,1007679
2014,1787657,895766
2015,2128506,1034757
2016,3086932,1741562
2017,4009600,2540136
2018,3709231,2226472
2019,4273718,2432968
2020,7178275,3086818
2021,6868396,4479492
