year,政府支出：经济建设,政府支出：社会、文化和教育发展,政府支出：国防,政府支出：行政管理,政府支出：其他支出
区域,中国,中国,中国,中国,中国
次国家,,,,,
频率,"年, 年终12月","年, 年终12月","年, 年终12月","年, 年终12月","年, 年终12月"
单位,百万人民币,百万人民币,百万人民币,百万人民币,百万人民币
数据来源,财政部,财政部,财政部,财政部,财政部
状态,继续,继续,继续,继续,继续
数列ID,4317001 (CFGB),4317101 (CFGC),4317201 (CFGD),4317301 (CFGE),4317501 (CFGG)
SR码,SR355396,SR355397,SR355398,SR355399,SR355400
Trade Code,,,,,
助记符,,,,,
函数说明,,,,,
首次观测日期,1950,1950,1950,1950,1950
最后观测日期,2006,2006,2021,2006,2006
最后更新时间,08/04/2015,08/04/2015,16/08/2022,08/04/2015,08/04/2015
数列备注,,,,,
您可以,,,,,
平均,175833.98245614034,128585.05263157895,209446.23611111112,82958.73684210527,72462.50877192983
方差,64376511965.51756,58243235458.94363,130289051334.88713,29076136001.59023,28807195754.254395
标准差,253725.26867759458,241336.35337210103,360955.7470589534,170517.2601280886,169726.82685496242
偏度,2.008601389591144,2.435679864875832,1.9394041704247995,2.598979867745006,3.106191378018209
峰度,3.342306506817687,5.5761884553240675,2.6622409248686587,6.267342998277763,9.563561945912696
变异系数,1.4429819829672759,1.8768616447479038,1.7233813973504233,2.055446678902944,2.342270916801467
最小,1736,755,2801,1313,200
最大,1073463,1084620,1378723,757105,829147
中位数,63076,14696,20518.5,5290,5140
参照期间,57,57,72,57,57
1950,1736,755,2801,1313,200
1951,3511,1344,5264,1745,343
1952,7323,2111,5784,1549,440
1953,8743,3244,7538,1972,424
1954,12358,3461,5813,2162,617
1955,13762,3189,6500,2154,668
1956,15914,4596,6117,2660,565
1957,16304,4642,5511,2270,868
1958,27886,4354,5000,2272,524
1959,38933,5860,5800,3000,724
1960,46071,8695,5800,3139,663
1961,21001,6125,5000,2714,769
1962,15264,5173,5694,2191,1166
1963,17412,5145,6642,2386,1620
1964,20999,6609,7286,2622,1863
1965,25411,6270,8676,2634,3006
1966,30943,6706,10101,2659,3356
1967,24403,6083,8302,2295,2901
1968,16603,4788,9409,2291,2693
1969,29552,4977,12618,2982,2457
1970,39261,5222,14526,3200,2732
1971,41830,6380,16947,3762,4298
1972,43196,7531,15939,3893,6027
1973,46827,8857,14539,3859,6796
1974,46093,9502,13339,3976,6115
1975,48196,10355,14246,4181,5140
1976,46622,12006,13445,4338,4209
1977,49373,11943,14904,4518,3615
1978,71898,14696,16784,5290,3541
1979,76989,17518,22286,6305,5146
1980,71546,19901,19384,7553,4499
1981,63076,21146,16797,8263,4559
1982,67537,24298,17635,9084,4444
1983,79475,28251,17713,10308,5205
1984,96818,33206,18076,13980,8022
1985,112755,40843,19153,17106,13920
1986,115897,48509,20075,22004,14006
1987,115347,50583,20962,22820,16506
1988,125839,58118,21800,27160,16204
1989,129119,66844,25147,38626,22642
1990,136801,73761,29031,41456,27311
1991,142847,84965,33031,41401,36418
1992,161281,97012,37786,46341,31800
1993,183479,117827,42580,63426,56918
1994,239369,150153,55071,84768,49901
1995,285578,175672,63672,99654,57796
1996,323378,208056,72006,118528,71787
1997,364733,246938,81257,135885,94543
1998,417951,293078,93470,160027,115292
1999,506146,363874,107640,202060,139047
2000,574836,438451,120754,276822,177787
2001,647256,521323,144204,351249,226226
2002,667370,592458,170778,410132,364577
2003,691205,646937,190787,469126,466940
2004,793325,749051,220001,552198,534114
2005,931696,895336,247496,651234,667266
2006,1073463,1084620,297938,757105,829147
2007,,,355491,,
2008,,,417876,,
2009,,,495110,,
2010,,,533337,,
2011,,,602791,,
2012,,,669192,,
2013,,,741062,,
2014,,,828954,,
2015,,,908784,,
2016,,,976584,,
2017,,,1043237,,
2018,,,1128046,,
2019,,,1212210,,
2020,,,1291877,,
2021,,,1378723,,
