year,CN: Social Security Fund: Pension: Insured Person,CN: Social Security Fund: Medical: Insured Person,CN: Social Security Fund: Unemployment: Insured Person
Region,China,China,China
Subnational,,,
Frequency,"Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec"""
Unit,Person th,Person th,Person th
Source,Ministry of Human Resources and Social Security,Ministry of Human Resources and Social Security,Ministry of Human Resources and Social Security
Status,Active,Active,Active
Series ID,355499007 (CGCHYT),315008901 (CGBXGI),449434347 (CGCJVA)
SR Code,SR7178887,SR5037515,SR134988677
Trade Code,,,
Mnemonic,,,
Function Description,,,
First Obs. Date,12/2010,03/2010,03/2013
Last Obs. Date,06/2023,12/2022,06/2023
Last Update Time,28/07/2023,13/07/2023,28/07/2023
Series remarks,,,
Suggestions,,,
Mean,864658.2915294119,886004.6534509803,194365.0086190476
Variance,26127113659.20894,142256694801.43063,648266827.9558905
Standard Deviation,161638.83710052154,377169.31847836013,25461.08457933186
Skewness,-1.416693146553418,0.1850359656456837,0.3798463525189176
Kurtosis,2.01180872406966,-1.8021598306597273,-1.1469749328115024
Coefficient Variation,0.1869395559887756,0.4256967692091559,0.1309962362064624
Min,359841.027,404670,157348.38
Max,1056630,1362967.417,239510
Median,891509.704,692993.251,189235.8835
No. of Obs,51,51,42
03/2010,,404670,
06/2010,,413410,
09/2010,,420720,
12/2010,359841.027,432629.442,
03/2011,434420,448330,
06/2011,465260,454310,
09/2011,509970,463370,
12/2011,615733.07,473432.279,
03/2012,663750,515200,
06/2012,683130,521600,
09/2012,747750,529060,
12/2012,787963.334,536412.673,
03/2013,791535.626,552765.105,157348.38
06/2013,797734.659,560195.909,160020.6
09/2013,806564.766,563598.361,161952.35
12/2013,819684.442,570725.729,164168.33
03/2014,820273.179,580546.018,163865.5
06/2014,824350,584778.833,165950.29
09/2014,830477.853,589351.128,167959.71
12/2014,842318.583,597469.241,170425.74
03/2015,842306.911,652729.843,169181.27
06/2015,845565.506,656437.656,170921.79
09/2015,851712.213,657636.449,171281.19
12/2015,858333.551,665816.499,173259.87
03/2016,858810.519,688687.631,172280
06/2016,863434.931,692993.251,176810
09/2016,870577.478,698282.235,178320
12/2016,887768.115,743915.534,180888.36
03/2017,891509.704,1011950,180050
06/2017,895907.596,1068620,182570
09/2017,904871.547,1129300,185520
12/2017,915482.736,1176813.598,187841.767
03/2018,918533.178,1186129.502,187780
06/2018,925006.845,1200432.973,190630
09/2018,930143.747,1205967.905,194130
12/2018,942932.948,1344586.094,196434.54
03/2019,941173.942,1324335.9,196970
06/2019,947360.876,1341024.3,199720
09/2019,956162.269,1347943.4,202860
12/2019,967538.935,1354074.382,205426.638
03/2020,968000,1324335.2,202820
06/2020,976010,1343465.4,207540
09/2020,986650,1351568.8,212160
12/2020,998648.622,1361311.239,216894.756
03/2021,1007020,1349254.4,217870
06/2021,1014440,1359047.4,222290
09/2021,1021430,1359790.2,226070
12/2021,1028714.16,1362967.417,229579.281
03/2022,1031600,1330506.4,230110
06/2022,1040370,1337819,233040
09/2022,1047000,,235400
12/2022,1053010,1345920,238070
03/2023,1052160,,237410
06/2023,1056630,,239510
