year,CN: Social Security Fund: Pension: Insured Person,CN: Social Security Fund: Medical: Insured Person,CN: Social Security Fund: Unemployment: Insured Person
2010,359841.027,417857.3605,
2011,506345.76749999996,459860.56975,
2012,720648.3335,525568.16825,
2013,803879.87325,561821.2760000001,160872.415
2014,829354.90375,588036.305,167050.31
2015,849479.54525,658155.1117499999,171161.03
2016,870147.76075,705969.66275,177074.59
2017,901942.89575,1096670.8995,183995.44175
2018,929154.1795,1234279.1185,192243.635
2019,953059.0055,1341844.4955,201244.1595
2020,982327.1555,1345170.15975,209853.689
2021,1017901.04,1357764.8542499999,223952.32025
2022,1042995.0,1338081.8,234155.0
2023,1054395.0,,238460.0
