year,CN: Military Expenditure,US: Military Expenditure
Region,China,United States
Subnational,,
Frequency,"Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year"
Unit,USD MN,USD mn
Source,World Bank,World Bank
Status,Active,Active
Series ID,409004767,409016417
SR Code,SR118204077,SR118204757
Trade Code,,
Mnemonic,,
Function Description,,
First Obs. Date,1989,1960
Last Obs. Date,2021,2021
Last Update Time,23/12/2022,23/12/2022
Series remarks,,
Suggestions,,
Mean,90275.64456560666,332164.442166102
Variance,8011801286.1850395,58163848273.563866
Standard Deviation,89508.66598371936,241171.82313355734
Skewness,0.8614728986616969,0.5361657297110904
Kurtosis,-0.6824872115538687,-1.0625893544816631
Coefficient Variation,0.9915040364920362,0.7260615301289747
Min,9802.37536607,47346.55267021
Max,293351.86635874,800672.2
Median,42789.9536509,296973.99452353
No. of Obs,33,62
1960,,47346.55267021
1961,,49879.77060506
1962,,54650.94260508
1963,,54561.21577542
1964,,53432.32705817
1965,,54561.79126323
1966,,66442.75152732
1967,,78398.44224052
1968,,84329.03121825
1969,,84990.16543077
1970,,83407.99300489
1971,,78237.97989308
1972,,80708.07096649
1973,,81469.79440759
1974,,89278.92033982
1975,,92080.92875365
1976,,94715.25107971
1977,,104665.21897163
1978,,113382.06374909
1979,,126879.92711676
1980,,143688.35487268
1981,,176558.87527082
1982,,221673.54258402
1983,,223427.16500573
1984,,245149.16828854
1985,,272163.22931306
1986,,295546.2238036
1987,,304086.64868291
1988,,309661.26930095
1989,11251.33263039,321866.55880832
1990,9926.34925082,325129.31398603
1991,9802.37536607,299372.77911459
1992,12244.26784221,325033.7359548
1993,12360.22586064,316719.44374742
1994,9867.12006627,308084
1995,12385.12947499,295853.09772466
1996,14275.40081997,287960.66867894
1997,15699.58676858,293167.82579097
1998,17031.78019969,290996.05508838
1999,20473.91509477,298094.8913224
2000,22237.14015121,320086.3242112
2001,26561.46299829,331805.61057214
2002,30284.12741,378463.13875384
2003,33144.00048145,440532.06958619
2004,37904.571827,492999.3761594
2005,42789.9536509,533203
2006,51453.37323385,558335
2007,62136.59075459,589586
2008,78840.80281986,656756
2009,96601.66675295,705917
2010,105522.64810184,738005
2011,125286.37316401,752288
2012,145127.60959621,725205
2013,164070.46932174,679229
2014,182109.32599168,647789
2015,196538.82723079,633829.639
2016,198538.36142755,639856.443
2017,210443.03474097,646752.927
2018,232530.59598527,682491.4
2019,240332.55545815,734344.1
2020,257973.42983357,778397.2
2021,293351.86635874,800672.2
