year,(DC)CN: COVID-19: Asymptomatic Infection: Confirmed,(DC)CN: COVID-19: Asymptomatic Infection: under Medical Observation,(DC)CN: COVID-19: Asymptomatic Infection: Release Medical Observation
Region,China,China,China
Subnational,,,
Frequency,"Daily, ""Everyday""","Daily, ""Everyday""","Daily, ""Everyday"""
Unit,Person,Person,Person
Source,National Health Commission,National Health Commission,National Health Commission
Status,Discontinued,Discontinued,Discontinued
Series ID,449232547 (CGZAMF),449165907 (CGZAMH),449232557 (CGZAMG)
SR Code,SR132731717,SR132731737,SR132731727
Trade Code,,,
Mnemonic,,,
Function Description,,,
First Obs. Date,03/31/2020,03/30/2020,03/31/2020
Last Obs. Date,12/12/2022,12/12/2022,12/12/2022
Last Update Time,14/12/2022,14/12/2022,14/12/2022
Series remarks,,,
Suggestions,,,
Mean,61.8936170212766,19697.13157894737,1308.5369807497468
Variance,59348.50692676182,3895445254.3899755,23385291.626166537
Standard Deviation,243.61548991548509,62413.502180137075,4835.834118967124
Skewness,11.152105833218357,4.070010506858656,4.970734452923872
Kurtosis,196.63620377812225,16.602346490781116,25.65079775352549
Coefficient Variation,3.936035760064558,3.168659453280278,3.6956037086520523
Min,0,97,0
Max,5127,396094,35815
Median,4,494,22
No. of Obs,987,988,987
03/30/2020,,1541,
03/31/2020,2,1367,302
04/01/2020,9,1075,338
04/02/2020,7,1027,101
04/03/2020,3,1030,58
04/04/2020,3,1024,50
04/05/2020,5,1047,50
04/06/2020,2,1033,42
04/07/2020,11,1095,64
04/08/2020,15,1104,32
04/09/2020,14,1097,40
04/10/2020,14,1092,25
04/11/2020,14,1086,55
04/12/2020,28,1064,55
04/13/2020,67,1005,46
04/14/2020,7,1023,32
04/15/2020,6,1032,49
04/16/2020,10,1038,50
04/17/2020,9,1017,66
04/18/2020,0,999,62
04/19/2020,0,990,58
04/20/2020,3,992,32
04/21/2020,1,991,42
04/22/2020,3,984,31
04/23/2020,3,979,36
04/24/2020,1,983,24
04/25/2020,4,1000,9
04/26/2020,0,974,51
04/27/2020,0,997,17
04/28/2020,1,993,29
04/29/2020,0,998,28
04/30/2020,6,981,36
05/01/2020,0,989,12
05/02/2020,0,968,33
05/03/2020,0,962,19
05/04/2020,0,947,30
05/05/2020,0,903,64
05/06/2020,0,880,29
05/07/2020,0,854,42
05/08/2020,0,836,33
05/09/2020,1,794,61
05/10/2020,6,780,20
05/11/2020,0,760,35
05/12/2020,0,750,18
05/13/2020,1,712,49
05/14/2020,0,619,104
05/15/2020,1,561,70
05/16/2020,0,515,58
05/17/2020,0,448,85
05/18/2020,1,389,75
05/19/2020,0,368,37
05/20/2020,0,375,24
05/21/2020,0,365,45
05/22/2020,0,370,23
05/23/2020,0,371,35
05/24/2020,0,396,15
05/25/2020,0,403,22
05/26/2020,0,404,27
05/27/2020,0,413,14
05/28/2020,0,409,9
05/29/2020,0,396,17
05/30/2020,0,389,10
05/31/2020,0,397,8
06/01/2020,2,371,34
06/02/2020,0,357,18
06/03/2020,0,326,35
06/04/2020,1,297,31
06/05/2020,0,257,42
06/06/2020,1,236,25
06/07/2020,0,201,37
06/08/2020,1,174,47
06/09/2020,0,155,24
06/10/2020,1,129,29
06/11/2020,1,104,25
06/12/2020,0,98,13
06/13/2020,2,103,2
06/14/2020,0,112,9
06/15/2020,0,110,8
06/16/2020,6,106,9
06/17/2020,0,111,3
06/18/2020,2,110,4
06/19/2020,0,108,9
06/20/2020,2,111,1
06/21/2020,1,114,3
06/22/2020,1,99,21
06/23/2020,1,100,1
06/24/2020,0,97,4
06/25/2020,1,97,4
06/26/2020,1,106,2
06/27/2020,2,106,5
06/28/2020,1,102,9
06/29/2020,3,99,4
06/30/2020,1,100,1
07/01/2020,0,99,3
07/02/2020,0,97,6
07/03/2020,0,98,3
07/04/2020,1,99,5
07/05/2020,0,109,1
07/06/2020,2,114,8
07/07/2020,0,117,3
07/08/2020,1,112,10
07/09/2020,0,113,2
07/10/2020,0,111,6
07/11/2020,0,112,4
07/12/2020,0,110,8
07/13/2020,0,110,5
07/14/2020,0,110,4
07/15/2020,0,104,8
07/16/2020,0,104,5
07/17/2020,0,109,9
07/18/2020,0,147,4
07/19/2020,1,154,5
07/20/2020,1,149,10
07/21/2020,0,164,7
07/22/2020,16,176,3
07/23/2020,11,204,4
07/24/2020,18,251,9
07/25/2020,17,292,10
07/26/2020,31,302,3
07/27/2020,24,306,6
07/28/2020,51,273,9
07/29/2020,12,280,2
07/30/2020,36,246,9
07/31/2020,5,252,12
08/01/2020,4,257,11
08/02/2020,6,257,5
08/03/2020,2,264,12
08/04/2020,0,272,16
08/05/2020,1,282,9
08/06/2020,0,273,23
08/07/2020,0,271,16
08/08/2020,0,270,12
08/09/2020,3,283,15
08/10/2020,2,285,13
08/11/2020,2,288,15
08/12/2020,0,295,13
08/13/2020,0,309,14
08/14/2020,1,318,10
08/15/2020,1,319,14
08/16/2020,1,351,4
08/17/2020,0,356,12
08/18/2020,2,345,23
08/19/2020,0,352,15
08/20/2020,3,353,19
08/21/2020,1,366,20
08/22/2020,0,370,11
08/23/2020,1,374,22
08/24/2020,0,374,16
08/25/2020,5,365,18
08/26/2020,1,365,18
08/27/2020,2,358,21
08/28/2020,3,351,14
08/29/2020,0,338,17
08/30/2020,0,340,17
08/31/2020,0,356,18
09/01/2020,0,353,22
09/02/2020,2,349,14
09/03/2020,2,358,15
09/04/2020,0,338,28
09/05/2020,1,329,25
09/06/2020,1,329,16
09/07/2020,2,324,16
09/08/2020,1,308,23
09/09/2020,0,301,22
09/10/2020,1,311,11
09/11/2020,1,299,19
09/12/2020,0,357,12
09/13/2020,1,378,18
09/14/2020,2,361,24
09/15/2020,2,361,14
09/16/2020,0,354,21
09/17/2020,2,366,6
09/18/2020,0,374,16
09/19/2020,0,382,13
09/20/2020,0,397,10
09/21/2020,0,391,21
09/22/2020,3,385,21
09/23/2020,0,402,3
09/24/2020,1,398,21
09/25/2020,0,400,28
09/26/2020,5,391,30
09/27/2020,0,367,38
09/28/2020,2,376,15
09/29/2020,2,375,21
09/30/2020,0,363,22
10/01/2020,1,377,18
10/02/2020,1,364,24
10/03/2020,5,366,19
10/04/2020,0,369,24
10/05/2020,1,375,24
10/06/2020,4,376,19
10/07/2020,3,366,15
10/08/2020,0,357,24
10/09/2020,0,380,16
10/10/2020,2,381,20
10/11/2020,1,395,17
10/12/2020,4,386,22
10/13/2020,7,381,16
10/14/2020,2,385,17
10/15/2020,2,376,17
10/16/2020,1,374,12
10/17/2020,0,389,19
10/18/2020,0,401,21
10/19/2020,2,403,20
10/20/2020,3,403,12
10/21/2020,1,406,21
10/22/2020,3,403,11
10/23/2020,2,404,24
10/24/2020,1,405,17
10/25/2020,2,539,25
10/26/2020,2,570,17
10/27/2020,24,570,14
10/28/2020,24,543,19
10/29/2020,0,592,4
10/30/2020,9,611,10
10/31/2020,3,666,11
11/01/2020,2,684,10
11/02/2020,9,725,11
11/03/2020,5,828,20
11/04/2020,10,825,17
11/05/2020,10,832,16
11/06/2020,2,823,34
11/07/2020,3,824,32
11/08/2020,1,804,28
11/09/2020,1,786,42
11/10/2020,2,776,23
11/11/2020,5,728,49
11/12/2020,1,697,45
11/13/2020,4,648,55
11/14/2020,4,613,37
