year,(DC)CN: COVID-19: Confirmed Case: Hospitalized,(DC)CN: COVID-19: Confirmed Case: New Increase,(DC)CN: COVID-19: Confirmed Case,(DC)CN: COVID-19: Confirmed Case: Severe Case
Region,China,China,China,China
Subnational,,,,
Frequency,"Daily, ""Everyday""","Daily, ""Everyday""","Daily, ""Everyday""","Daily, ""Everyday"""
Unit,Person,Person,Person,Person
Source,Chinese Center for Disease Control and Prevention,National Health Commission,National Health Commission,National Health Commission
Status,Discontinued,Discontinued,Discontinued,Discontinued
Series ID,502669857,447270667 (CGZABWY),448579247 (CGZAMD),447416127 (CGZAHT)
SR Code,SR197488357,SR130514227,SR131753687,SR130515857
Trade Code,,,,
Mnemonic,,,,
Function Description,,,,
First Obs. Date,12/09/2022,01/20/2020,02/06/2020,01/21/2020
Last Obs. Date,04/27/2023,01/08/2023,01/08/2023,01/08/2023
Last Update Time,06/07/2023,06/07/2023,06/07/2023,06/07/2023
Series remarks,,,,
Suggestions,,,,
Mean,202270.68181818182,464.6276497695853,6160.681647940075,398.56642066420665
Variance,178484277113.65582,1581534.4756185485,183474376.2659422,2472455.272592533
Standard Deviation,422473.99578394863,1257.5907424987465,13545.271361842191,1572.404296799183
Skewness,2.793836912523055,5.406421749724643,3.53870907357836,5.142705733000328
Kurtosis,7.30685083808325,42.03962836151503,15.572590114682782,27.835647049177126
Coefficient Variation,2.0886566060211553,2.706663589914207,2.198664390712556,3.945149955630452
Min,3697,0,55,0
Max,1625000,15152,118147,11977
Median,23000,44,978.5,13
No. of Obs,22,1085,1068,1084
01/20/2020,,77,,
01/21/2020,,149,,102
01/22/2020,,131,,95
01/23/2020,,259,,177
01/24/2020,,444,,237
01/25/2020,,688,,324
01/26/2020,,769,,461
01/27/2020,,1771,,976
01/28/2020,,1459,,1239
01/29/2020,,1737,,1370
01/30/2020,,1982,,1527
01/31/2020,,2102,,1795
02/01/2020,,2590,,2110
02/02/2020,,2829,,2296
02/03/2020,,3235,,2788
02/04/2020,,3887,,3219
02/05/2020,,3694,,3859
02/06/2020,,3143,28985,4821
02/07/2020,,3399,31774,6101
02/08/2020,,2656,33738,6188
02/09/2020,,3062,35982,6484
02/10/2020,,2478,37626,7333
02/11/2020,,2015,38800,8204
02/12/2020,,15152,52526,8030
02/13/2020,,5090,55748,10204
02/14/2020,,2641,56873,11053
02/15/2020,,2009,57416,11272
02/16/2020,,2048,57934,10644
02/17/2020,,1886,58016,11741
02/18/2020,,1749,57805,11977
02/19/2020,,820,56303,11864
02/20/2020,,889,54965,11633
02/21/2020,,397,53284,11477
02/22/2020,,648,51606,10968
02/23/2020,,409,49824,9915
02/24/2020,,508,47672,9126
02/25/2020,,406,45604,8752
02/26/2020,,433,43258,8346
02/27/2020,,327,39919,7952
02/28/2020,,427,37414,7664
02/29/2020,,573,35329,7365
03/01/2020,,202,32652,7110
03/02/2020,,125,30004,6806
03/03/2020,,119,27433,6416
03/04/2020,,139,25352,5952
03/05/2020,,143,23784,5737
03/06/2020,,99,22177,5489
03/07/2020,,44,20533,5264
03/08/2020,,40,19016,5111
03/09/2020,,19,17721,4794
03/10/2020,,24,16145,4492
03/11/2020,,15,14831,4257
03/12/2020,,8,13526,4020
03/13/2020,,11,12094,3610
03/14/2020,,20,10734,3226
03/15/2020,,16,9898,3032
03/16/2020,,21,8976,2830
03/17/2020,,13,8056,2622
03/18/2020,,34,7263,2314
03/19/2020,,39,6569,2136
03/20/2020,,41,6013,1963
03/21/2020,,46,5549,1845
03/22/2020,,39,5120,1749
03/23/2020,,78,4735,1573
03/24/2020,,47,4287,1399
03/25/2020,,67,3947,1235
03/26/2020,,55,3460,1034
03/27/2020,,54,3128,921
03/28/2020,,45,2691,742
03/29/2020,,31,2396,633
03/30/2020,,48,2161,528
03/31/2020,,36,2004,466
04/01/2020,,35,1863,429
04/02/2020,,31,1727,379
04/03/2020,,19,1562,331
04/04/2020,,30,1376,295
04/05/2020,,39,1299,265
04/06/2020,,32,1242,211
04/07/2020,,62,1190,189
04/08/2020,,63,1160,176
04/09/2020,,42,1116,144
04/10/2020,,46,1089,141
04/11/2020,,99,1138,139
04/12/2020,,108,1156,121
04/13/2020,,89,1170,116
04/14/2020,,46,1137,113
04/15/2020,,46,1107,95
04/16/2020,,26,1081,89
04/17/2020,,27,1058,85
04/18/2020,,16,1041,85
04/19/2020,,12,1031,81
04/20/2020,,11,1003,82
04/21/2020,,30,1005,78
04/22/2020,,10,959,63
04/23/2020,,6,915,57
04/24/2020,,12,838,49
04/25/2020,,11,801,51
04/26/2020,,3,723,52
04/27/2020,,6,648,50
04/28/2020,,22,647,50
04/29/2020,,4,619,41
04/30/2020,,12,599,38
05/01/2020,,1,557,37
05/02/2020,,2,531,34
05/03/2020,,3,481,33
05/04/2020,,1,395,29
05/05/2020,,2,339,26
05/06/2020,,2,295,23
05/07/2020,,1,260,18
05/08/2020,,1,208,15
05/09/2020,,14,148,13
05/10/2020,,17,141,9
05/11/2020,,1,115,10
