year,CN: Hospital Beds: per 1000 People,US: Hospital Beds: per 1000 People
Region,China,United States
Subnational,,
Frequency,"Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year"
Unit,Number,Number
Source,World Bank,World Bank
Status,Active,Active
Series ID,271666602,271683202
SR Code,SR5465328,SR5459227
Trade Code,,
Mnemonic,,
Function Description,,
First Obs. Date,1965,1960
Last Obs. Date,2017,2017
Last Update Time,16/12/2020,16/12/2020
Series remarks,,
Suggestions,,
Mean,2.2928301830188675,4.813600002
Variance,0.4105437499230069,3.0334031017812344
Standard Deviation,0.6407368804142671,1.7416667596820106
Skewness,1.1520664128921916,0.6736712647408285
Kurtosis,1.7022648675257988,-0.45487327395933796
Coefficient Variation,0.2794523925756409,0.3618220788927967
Min,1.44000006,2.77
Max,4.31,9.19999981
Median,2.25999999,4.54999995
No. of Obs,53,50
1960,,9.19999981
1965,1.44000006,8.80000019
1966,1.51999998,
1967,1.5,
1968,1.45000005,
1969,1.45000005,
1970,1.53999996,7.9000001
1971,1.58000004,7.5
1972,1.71000004,7.4000001
1973,1.76999998,7.19999981
1974,1.85000002,7.0999999
1975,1.91999996,6.80000019
1976,2,6.5999999
1977,2.06999993,6.4000001
1978,2.1400001,6.19999981
1979,2.20000005,6.0999999
1980,2.23000002,6
1981,2.25,5.9000001
1982,2.25999999,5.9000001
1983,2.28999996,5.80000019
1984,2.32999992,5.69999981
1985,2.36999989,5.5
1986,2.4000001,5.4000001
1987,2.48000002,5.19999981
1988,2.53999996,5.0999999
1989,2.55999994,5
1990,2.57999992,4.9000001
1991,2.5999999,4.80000019
1992,2.61999989,4.5999999
1993,2.63000011,4.5
1994,2.63000011,4.30000019
1995,2.6099999,4.0999999
1996,2.54999995,3.9000001
1997,2.54999995,3.79999995
1998,2.52999997,3.70000005
1999,2.51999998,3.5999999
2000,1.68,3.49
2001,1.66,3.47
2002,1.7,3.39
2003,1.73,3.33
2004,1.79,3.26
2005,1.84,3.2
2006,1.91,3.18
2007,1.99,3.14
2008,2.13,3.13
2009,2.29,3.08
2010,2.47,3.05
2011,2.69,2.97
2012,3.01,2.93
2013,3.29,2.89
2014,3.55,2.83
2015,3.79,2.8
2016,4.02,2.77
2017,4.31,2.87
