year,CN: No of Bed: Hospital,CN: No of Hospital
1949,80000,2600
1950,97100,2803
1955,215300,3648
1960,591400,6020
1965,612000,5330
1970,705000,5964
1975,940200,7654
1978,1100000,9293
1979,1161000,9746
1980,1195800,9902
1981,1240900,10252
1982,1285200,10471
1983,1345300,10901
1984,1412400,11381
1985,1508600,11955
1986,1559800,12442
1987,1653400,12962
1988,1747000,13544
1989,1814600,14090
1990,1868900,14377
1991,1926100,14628
1992,1976600,14889
1993,2036400,15436
1994,2070400,15595
1995,2063300,15663
1996,2096500,15833
1997,2119200,15944
1998,2134100,16001
1999,2150700,16678
2000,2166700,16318
2001,2155600,16197
2002,2221800,17844
2003,2269505,17764
2004,2363464,18393
2005,2445000,18703
2006,2560402,19246
2007,2675070,19852
2008,2882862,19712
2009,3120773,20291
2010,3387437,20918
2011,3705118,21979
2012,4161486,23170
2013,4578601,24709
2014,4961161,25860
2015,5330580,27587
2016,5688875,29140
2017,6120484,31056
2018,6519749,33009
2019,6866546,34354
2020,7131186,35394
2021,7414228,36570
2022,7663000,37000
