year,US: Life Expectancy at Birth: Total,CN: Life Expectancy at Birth: Total
Region,United States,China
Subnational,,
Frequency,"Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year"
Unit,Year,Year
Source,World Bank,World Bank
Status,Active,Active
Series ID,273776402,273759102
SR Code,SR5455236,SR5465163
Trade Code,,
Mnemonic,,
Function Description,,
First Obs. Date,1960,1960
Last Obs. Date,2021,2021
Last Update Time,11/05/2023,11/05/2023
Series remarks,,
Suggestions,,
Mean,74.86616837129031,66.57020967741936
Variance,8.818871372947054,92.43248636515071
Standard Deviation,2.9696584606562175,9.61418152341377
Skewness,-0.3467870969235721,-1.1300217354323991
Kurtosis,-1.150423635384417,1.4534372374620665
Coefficient Variation,0.039666227419687505,0.14442168005781278
Min,69.77073171,33.275
Max,78.84146341,78.211
Median,75.290243905,68.08699999999999
No. of Obs,62,62
1960,69.77073171,33.275
1961,70.27073171,40.468
1962,70.1195122,50.818
1963,69.91707317,51.408
1964,70.16585366,52.156
1965,70.21463415,52.912
1966,70.21219512,53.637
1967,70.56097561,54.351
1968,69.95121951,55.057
1969,70.50731707,55.738
1970,70.80731707,56.607
1971,71.10731707,57.565
1972,71.15609756,58.418
1973,71.35609756,59.389
1974,71.95609756,60.168
1975,72.60487805,60.917
1976,72.85609756,61.796
1977,73.25609756,62.538
1978,73.35609756,63.218
1979,73.80487805,63.865
1980,73.6097561,64.42
1981,74.0097561,64.975
1982,74.36097561,65.463
1983,74.46341463,65.904
1984,74.56341463,66.3
1985,74.56341463,66.643
1986,74.61463415,66.97
1987,74.76585366,67.288
1988,74.76585366,67.581
1989,75.01707317,67.838
1990,75.21463415,68.005
1991,75.36585366,68.169
1992,75.61707317,68.734
1993,75.4195122,69.216
1994,75.6195122,69.52
1995,75.62195122,70.008
1996,76.02682927,70.266
1997,76.42926829,70.672
1998,76.5804878,71.172
1999,76.58292683,71.419
2000,76.63658537,71.881
2001,76.83658537,72.606
2002,76.93658537,72.985
2003,77.03658537,73.371
2004,77.48780488,73.748
2005,77.48780488,74.111
2006,77.68780488,74.504
2007,77.98780488,74.762
2008,78.03902439,74.872
2009,78.3902439,75.343
2010,78.54146341,75.599
2011,78.64146341,75.903
2012,78.74146341,76.192
2013,78.74146341,76.452
2014,78.84146341,76.717
2015,78.6902439,76.977
2016,78.53902439,77.218
2017,78.53902439,77.248
2018,78.63902439,77.744
2019,78.78780488,77.968
2020,76.9804878,78.077
2021,76.32926829,78.211
