year,CN: Population,CN: Population: Urban,CN: Population: Rural
Region,China,China,China
Subnational,,,
Frequency,"Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year"
Unit,Person MN,Person MN,Person MN
Source,National Bureau of Statistics,National Bureau of Statistics,National Bureau of Statistics
Status,Active,Active,Active
Series ID,4942801 (CGGA),4943101 (CGGD),4943201 (CGGE)
SR Code,SR589509,SR589512,SR589513
Trade Code,,,
Mnemonic,,,
Function Description,,,
First Obs. Date,1949,1949,1949
Last Obs. Date,2022,2022,2022
Last Update Time,17/01/2023,17/01/2023,17/01/2023
Series remarks,,,
Suggestions,,,
Mean,1034.9552702702706,350.2659125810811,684.6893576891893
Variance,80805.68193759723,69481.4866256234,15592.340656416394
Standard Deviation,284.26340238869517,263.5934115747649,124.8692942897348
Skewness,-0.2703177120005775,0.8400963276200086,-0.17417199501404923
Kurtosis,-1.3421775255389987,-0.6075949900370348,-1.508863394038147
Coefficient Variation,0.27466250045227747,0.7525522813007022,0.18237364563568767
Min,541.67,57.65,484.02
Max,1412.6,920.71,859.47
Median,1066.79,257.3,704.585
No. of Obs,74,74,74
1949,541.67,57.65,484.02
1950,551.96,61.69,490.27
1951,563,66.32,496.68
1952,574.82,71.63,503.19
1953,587.96,78.26,509.7
1954,602.66,82.49,520.17
1955,614.65,82.85,531.8
1956,628.28,91.85,536.43
1957,646.53,99.49,547.04
1958,659.94,107.21,552.73
1959,672.07,123.71,548.36
1960,662.07,130.73,531.34
1961,658.59,127.07,531.52
1962,672.95,116.59,556.36
1963,691.72,116.46,575.26
1964,704.99,129.5,575.49
1965,725.38,130.45,594.93
1966,745.42,133.13,612.29
1967,763.68,135.48,628.2
1968,785.34,138.38,646.96
1969,806.71,141.17,665.54
1970,829.92,144.24,685.68
1971,852.29,147.11,705.18
1972,871.77,149.35,722.42
1973,892.11,153.45,738.66
1974,908.59,155.95,752.64
1975,924.2,160.3,763.9
1976,937.17,163.41,773.76
1977,949.74,166.69,783.05
1978,962.59,172.45,790.14
1979,975.42,184.95,790.47
1980,987.05,191.4,795.65
1981,1000.72,201.71,799.01
1982,1016.54,214.8,801.74
1983,1030.08,222.74,807.34
1984,1043.57,240.17,803.4
1985,1058.51,250.94,807.57
1986,1075.07,263.66,811.41
1987,1093,276.74,816.26
1988,1110.26,286.61,823.65
1989,1127.04,295.4,831.64
1990,1143.33,301.95,841.38
1991,1158.23,312.03,846.2
1992,1171.71,321.75,849.96
1993,1185.17,331.73,853.44
1994,1198.5,341.69,856.81
1995,1211.21,351.74,859.47
1996,1223.89,373.04,850.85
1997,1236.26,394.49,841.77
1998,1247.61,416.08,831.53
1999,1257.86,437.48,820.38
2000,1267.43,459.06,808.37
2001,1276.27,480.64,795.63
2002,1284.53,502.12,782.41
2003,1292.27,523.757031,768.512969
2004,1299.88,542.83,757.05
2005,1307.56,562.12,745.44
2006,1314.48,582.88,731.6
2007,1321.29,606.33,714.96
2008,1328.02,624.03,703.99
2009,1334.5,645.12,689.38
2010,1340.91,669.78,671.13
2011,1349.16,699.269628,649.890372
2012,1359.22,721.74582,637.47418
2013,1367.26,745.019974,622.240026
2014,1376.46,767.37645,609.08355
2015,1383.26,793.022958,590.237042
2016,1392.32,819.241088,573.078912
2017,1400.11,843.426264,556.683736
2018,1405.41,864.32715,541.08285
2019,1410.08,884.261168,525.818832
2020,1412.12,902.2,509.92
2021,1412.6,914.25,498.35
2022,1411.75,920.71,491.04
