year,CN: Industrial Production: Crude Coal,CN: Industrial Production: Crude Oil,CN: Industrial Production: Natural Gas,CN: Industrial Production: Iron Ore
Region,China,China,China,China
Subnational,,,,
Frequency,Monthly,Monthly,Monthly,Monthly
Unit,Ton th,Ton th,Cub m mn,Ton th
Source,National Bureau of Statistics,National Bureau of Statistics,National Bureau of Statistics,National Bureau of Statistics
Status,Active,Active,Active,Active
Series ID,258107501 (CBBINQ),258108201 (CBBINX),258108301 (CBBINY),3671401 (CBJC)
SR Code,SR4035252,SR4035795,SR4034470,SR4035000
Trade Code,,,,
Mnemonic,,,,
Function Description,,,,
First Obs. Date,01/1986,01/1986,01/1986,01/1986
Last Obs. Date,06/2023,06/2023,06/2023,06/2023
Last Update Time,17/07/2023,17/07/2023,19/07/2023,19/07/2023
Series remarks,,,,
Suggestions,,,,
Mean,164120.10672413165,14457.31833870968,5819.776152073733,50705.323333333276
Variance,9857241842.54907,4893066.354572035,26386052.353979386,1618072119.3208873
Standard Deviation,99283.64337870096,2212.027656828014,5136.735573686793,40225.267175257984
Skewness,0.8679614870097785,-0.11269814996066466,0.9829957607085941,0.6959490551926488
Kurtosis,-0.7268571399178505,-1.2019349503614933,-0.13543420348666269,-0.9520206049731956
Coefficient Variation,0.604945033003093,0.15300400842010084,0.8826345617874743,0.7933144792474721
Min,42981.7,9618,870,830.6
Max,417225,18323,20460,139324
Median,111820.5,14417.35,3205,25226.1
No. of Obs,380,434,434,420
01/1986,66620,10607,1110,10177
02/1986,53070,9618,1112,9496
03/1986,72710,10583,1187,11565
04/1986,71550,10367,1128,11984
05/1986,75830,10640,1203,12355
06/1986,76550,10725,1143,12779
07/1986,70810,11073,1181,13129
08/1986,72240,11210,1467,12123
09/1986,72670,11027,1129,12187
10/1986,74250,11492,1086,12616
11/1986,77960,11174,1106,12172
12/1986,83910,11613,1175,11898
01/1987,64340,11343,1204,10908
02/1987,59050,10414,1135,14000
03/1987,76850,11106,1194,12778
04/1987,75880,10755,1144,12562
05/1987,79120,11135,1228,12794
06/1987,81230,10866,1180,13460
07/1987,73270,11345,1180,12228
08/1987,74510,11419,1179,13231
09/1987,74580,11269,1130,13135
10/1987,74940,11655,1190,12417
11/1987,77880,11274,1147,12505
12/1987,87280,11728,1107,13450
01/1988,74090,11578,1241,12434
02/1988,56850,10722,1171,11524
03/1988,75780,11337,1226,12713
04/1988,78990,10988,1171,13252
05/1988,88460,11366,1220,13344
06/1988,88680,11094,1174,13470
07/1988,78550,11446,1199,12932
08/1988,76220,11457,1190,12707
09/1988,78070,11299,1130,12808
10/1988,79340,11843,1159,13404
11/1988,88000,11618,1177,12872
12/1988,95430,12021,1277,12920
01/1989,74360,11448,1200,10805
02/1989,58470,10428,1180,10660
03/1989,84010,11529,1270,13381
04/1989,86090,11091,1240,13681
05/1989,88920,11549,1290,13959
06/1989,93310,11241,1300,13995
07/1989,84220,11626,1280,13034
08/1989,88330,11756,1270,14144
09/1989,86990,11482,1250,14245
10/1989,86450,11964,1220,13998
11/1989,89520,11757,1240,14186
12/1989,89880,11793,1300,14088
01/1990,71680,11528,1280,11892
02/1990,70400,10605,1170,11110
03/1990,91760,11745,1290,14467
04/1990,93150,11254,1230,14431
05/1990,93600,11680,1310,14787
06/1990,96370,11390,1290,15034
07/1990,85850,11560,1290,13538
08/1990,85840,11696,1260,14500
09/1990,84240,11423,1230,14245
10/1990,87720,11807,1300,14389
11/1990,91720,11528,1310,14555
12/1990,98230,11739,1270,16406
01/1991,83020,11728,1310,13834
02/1991,64120,10718,1250,10643
03/1991,96160,11809,1320,14443
04/1991,90660,11445,1250,14957
05/1991,94040,11874,1320,14946
06/1991,95420,11468,1300,15332
07/1991,85130,11752,1290,14446
08/1991,84980,11805,1300,15277
09/1991,87820,11534,1260,15281
10/1991,92770,11903,1270,15188
11/1991,92770,11480,1270,15734
12/1991,101660,11860,1270,15219
01/1992,81140,11994,1200,14085
02/1992,60890,10177,1280,13458
03/1992,89220,10301,1300,15561
04/1992,90600,9659,1280,15079
05/1992,96510,12010,1310,16559
06/1992,100720,11595,1290,16956
07/1992,91880,11969,1260,16403
08/1992,94180,11916,1300,16938
09/1992,94210,11723,1270,16744
10/1992,92370,12177,1260,17306
11/1992,99100,11661,1290,17464
12/1992,104600,11803,1390,19385
01/1993,67680,12212,870,13506
02/1993,75490,10992,1320,15530
03/1993,98170,12220,1380,17486
04/1993,97760,11872,1360,18659
05/1993,99900,12394,1380,20738
06/1993,105070,12125,1380,21049
07/1993,96420,12409,1420,19103
08/1993,106160,12096,1410,19632
09/1993,93930,11860,1350,19922
10/1993,95740,12601,1460,19928
11/1993,101340,12076,1360,19646
12/1993,116460,12272,1430,19928
01/1994,86160,13261,1490,14695.9
02/1994,65000,11554,1310,14412.4
03/1994,98440,12375,1430,18643.9
04/1994,103370,11893,1380,20661
05/1994,110830,12583,1410,21917.6
06/1994,112110,12231,1370,21968.6
07/1994,99090,12556,1420,20320.2
