year,CN: Industrial Production: Crude Coal,CN: Industrial Production: Crude Oil,CN: Industrial Production: Iron Ore,CN: Industrial Production: Natural Gas
1986,868170.0,130129.0,142481.0,14027.0
1987,898930.0,134309.0,153468.0,14018.0
1988,958460.0,136769.0,154380.0,14335.0
1989,1010550.0,137664.0,160176.0,15040.0
1990,1050560.0,137955.0,169354.0,15230.0
1991,1068550.0,139376.0,175300.0,15410.0
1992,1095420.0,136985.0,195938.0,15430.0
1993,1154120.0,145129.0,225127.0,16120.0
1994,1215110.0,148577.0,239032.3,17030.0
1995,1291480.0,149755.0,250393.1,17230.0
1996,1376472.0,158690.0,250513.2,19555.0
1997,1357817.6,161974.0,,24090.0
1998,1137676.4,160152.5,173577.2,22248.0
1999,965737.8,160377.7,197342.0,24510.0
2000,849390.2,162228.3,211451.6,27827.0
2001,960475.5,164833.6,217536.8,30320.0
2002,1108071.0,170287.4,230091.2,32900.0
2003,1315226.6,170443.2,257914.2,34330.0
2004,1565205.5,174726.7,289768.9,40790.0
2005,1811618.7,180688.1,396751.4,50510.0
2006,2063670.0,183717.8,573969.1,59540.0
2007,2298921.0,186707.9,698029.0,68780.0
2008,2585664.3,190023.6,784819.3,80513.0
2009,2983993.1,189605.1,874644.5,85688.0
2010,1304585.0,203832.0,1064738.0,93570.0
2011,836646.0,203646.0,1314975.0,103310.0
2012,,206998.0,1328519.0,111500.0
2013,,208203.7,1436347.0,113625.0
2014,,209450.4,1314474.0,124121.0
2015,3121446.62817,213878.998,1374995.0,126878.59
2016,2829019.776,165470.489,1134423.0,111567.26
2017,2982084.0,160464.0,1137393.0,122810.0
2018,3003570.0,158269.0,669591.0,132190.0
2019,3191442.0,160577.0,740280.0,144370.0
2020,3323114.0,162990.7,756256.0,159060.0
2021,3408567.0,167312.0,829702.0,170110.0
2022,3799652.0,171221.0,848231.0,180560.0
2023,1574224.451,71058.97200000001,324254.0,76640.0
