year,CN: Industrial Sales Value,CN: Industrial Sales Value: Light Industry,CN: Industrial Sales Value: Heavy Industry
Region,China,China,China
Subnational,,,
Frequency,Monthly,Monthly,Monthly
Unit,RMB BN,RMB BN,RMB BN
Source,National Bureau of Statistics,National Bureau of Statistics,National Bureau of Statistics
Status,Active,Active,Active
Series ID,3656601 (CBFH),3656701 (CBFI),3656801 (CBFJ)
SR Code,SR151673,SR151674,SR151675
Trade Code,,,
Mnemonic,,,
Function Description,,,
First Obs. Date,03/1992,03/1992,03/1992
Last Obs. Date,02/2013,02/2013,02/2013
Last Update Time,11/11/2021,25/11/2020,25/11/2020
Series remarks,,,
Suggestions,,,
Mean,2210.836310690475,685.7642539682538,1523.9611587301583
Variance,5319790.384253169,401856.8797849707,2802402.602307051
Standard Deviation,2306.4670785105886,633.9218246637125,1674.0378138820672
Skewness,1.2428919391939668,1.2642015098998325,1.2348449826123613
Kurtosis,0.30655352489078025,0.4341938802985581,0.26407894819317645
Coefficient Variation,1.0432554718581797,0.9244019661209387,1.0984780053560947
Min,197.28,86.75,107.31
Max,8753.73,2541.06,6212.7
Median,918.169,359.20500000000004,556.505
No. of Obs,252,252,252
03/1992,197.28,89.96,107.31
04/1992,218.82,98.99,119.83
05/1992,221.73,98.33,123.39
06/1992,236.98,104.32,132.66
07/1992,224.13,97.15,126.97
08/1992,229.51,100.64,128.87
09/1992,241.17,106.63,134.54
10/1992,252.97,111.29,141.68
11/1992,259.84,114.62,145.22
12/1992,317.96,142.05,175.91
01/1993,203.66,86.75,116.91
02/1993,252.12,105.8,146.31
03/1993,306.5,127.65,178.85
04/1993,314.76,128.91,185.85
05/1993,329.3,134.3,195
06/1993,357.75,144.45,213.3
07/1993,321.37,128.74,192.63
08/1993,321.01,130.52,190.49
09/1993,323.56,134.13,189.43
10/1993,326.74,137.68,189.06
11/1993,348.59,148.62,199.97
12/1993,473.76,207.94,265.82
01/1994,305.95,132.25,173.7
02/1994,271.868,114.164,157.704
03/1994,383.317,161.575,221.742
04/1994,401.654,168.626,233.028
05/1994,419.238,176.318,242.92
06/1994,447.089,189.178,257.911
07/1994,405.39,171.922,233.468
08/1994,419.23,182.377,236.853
09/1994,443.875,195.651,248.224
10/1994,451.984,198.124,253.86
11/1994,483.907,216.828,267.079
12/1994,597.958,268.063,329.895
01/1995,387.76,172.74,215.03
02/1995,397.86,177.25,220.61
03/1995,508.2,223.3,284.9
04/1995,524.26,229.99,294.26
05/1995,535.06,234.01,301.05
06/1995,560.33,247.83,312.5
07/1995,501.44,217.35,284.09
08/1995,508.98,221.08,287.9
09/1995,530.55,236.37,294.18
10/1995,543.9,244.12,299.78
11/1995,576.37,261.3,315.07
12/1995,703.75,322.22,381.53
01/1996,437.52,192.34,245.18
02/1996,378.79,164.68,214.11
03/1996,506.21,222.04,284.17
04/1996,520.48,229.35,291.13
05/1996,533.96,232.62,301.34
06/1996,568.76,251.12,317.64
07/1996,502.89,218.49,284.4
08/1996,497.07,220.41,276.66
09/1996,529.8,237.89,291.91
10/1996,542.5,241.91,300.59
11/1996,573.26,260.3,312.96
12/1996,687.33,312.76,374.57
01/1997,474.713,213.421,261.292
02/1997,413.696,180.734,232.962
03/1997,557.842,244.597,314.245
04/1997,569.651,249.596,320.053
05/1997,580.196,254.268,325.921
06/1997,620.006,274.95,345.057
07/1997,538.37,235.097,303.273
08/1997,540.765,237.382,303.383
09/1997,581.044,258.465,322.579
10/1997,590.489,264.186,326.303
11/1997,625.904,284.517,341.387
12/1997,735.467,333.887,401.58
01/1998,436.921,200.425,236.496
02/1998,444.826,201.143,243.683
03/1998,552.794,244.296,308.498
04/1998,554.936,242.976,311.96
05/1998,566.22,246.368,319.852
06/1998,593.767,262.672,331.095
07/1998,525.58,233.019,292.561
08/1998,543.564,240.668,302.896
09/1998,595.781,269.477,326.304
10/1998,607.077,273.509,333.568
11/1998,628.493,279.918,348.575
12/1998,717.292,317.7,399.592
01/1999,491.488,216.543,274.945
02/1999,424.1788,186.918,237.26
03/1999,568.099,245.228,328.743
04/1999,578.014,247.153,330.86
05/1999,589.019,248.191,340.828
06/1999,606.382,250.824,355.62
07/1999,560.939,236.934,324.005
08/1999,852.55,245.948,336.602
09/1999,613.827,262.319,351.509
10/1999,628.627,269.054,359.573
11/1999,663.691,285.77,377.921
12/1999,774.019,331.806,442.213
01/2000,550.179,236.903,313.276
02/2000,507.129,209.998,297.131
03/2000,647.15,259.542,387.607
04/2000,669.899,266.584,403.315
05/2000,682.175,270.172,412.004
06/2000,731.903,292.712,439.191
07/2000,682.828,267.098,415.73
08/2000,703.312,272.628,430.685
09/2000,732.986,286.485,446.501
10/2000,728.413,286.923,441.49
11/2000,755.146,303.653,451.494
12/2000,855.327,340.085,515.243
01/2001,569.489,229.502,339.986
02/2001,640.51,254.38,386.121
03/2001,754.379,290.667,463.712
04/2001,764.661,296.539,468.124
05/2001,768.186,295.509,472.676
06/2001,807.106,315.212,491.897
07/2001,741.836,284.949,456.884
08/2001,758.434,293.2,465.232
09/2001,802.097,317.836,484.255
10/2001,789.935,312.712,477.22
11/2001,806.108,321.278,484.828
12/2001,932.405,377.434,554.97
01/2002,711.8,287.509,424.287
02/2002,627.428,252.909,374.515
03/2002,833.471,321.787,511.684
04/2002,869.167,334.214,534.953
05/2002,885.584,340.799,544.785
06/2002,953.321,371.742,581.58
07/2002,883.081,340.019,543.058
08/2002,903.933,349.528,554.4
09/2002,971.948,376.696,595.25
10/2002,968.195,372.522,595.675
11/2002,1004.124,388.711,615.413
12/2002,1135.573,438.553,697.022
01/2003,888.567,337.746,550.816
02/2003,869.568,311.527,558.04
03/2003,1059.295,368.882,690.414
04/2003,1087.249,382.54,704.71
05/2003,1088.182,385.211,702.967
06/2003,1205.571,430.555,775.019
07/2003,1133.478,397.089,736.39
08/2003,1166.199,406.786,759.413
09/2003,1234.775,437.786,796.987
10/2003,1251.701,444.934,806.766
11/2003,1312.322,469.207,843.118
12/2003,1474.694,524.029,950.664
01/2004,1081.388,379.571,701.82
02/2004,1236.976,412.645,824.331
03/2004,1442.965,470.852,972.098
04/2004,1472.106,483.352,988.755
05/2004,1459.853,488.263,971.592
06/2004,1564.23,528.491,1035.738
07/2004,1481.411,499.093,982.317
08/2004,1535.812,511.527,1024.289
09/2004,1646.14,553.965,1092.175
10/2004,1649.359,545.255,1104.068
11/2004,1707.445,563.564,1143.884
12/2004,1905.195,636.343,1268.855
01/2005,1603.802,526.6,1077.202
02/2005,1441.219,447.226,993.99
03/2005,1853.893,564.525,1289.367
04/2005,1937.393,592.487,1344.905
05/2005,1955.272,607.632,1347.645
06/2005,2136.159,671.608,1464.551
07/2005,2009.434,622.498,1386.937
08/2005,2056.091,635.32,1420.769
09/2005,2169.061,685.769,1483.294
10/2005,2178.556,684.64,1493.916
11/2005,2275.77,709.288,1566.483
12/2005,2546.182,800.331,1745.854
01/2006,1944.9,618.772,1326.127
02/2006,1925.35,573.58,1351.772
03/2006,2353.099,696.688,1656.41
04/2006,2439.208,728.375,1710.832
05/2006,2512.753,755.286,1757.465
06/2006,2784.082,839.115,1944.967
07/2006,2571.529,764.966,1806.564
08/2006,2636.785,781.287,1855.501
09/2006,2783.821,837.386,1946.339
