year,CN: Industrial Sales Value,CN: Industrial Sales Value: Light Industry,CN: Industrial Sales Value: Heavy Industry
1992,2400.39,1063.98,1336.38
1993,3879.12,1615.49,2263.62
1994,5031.46,2175.076,2856.384
1995,6278.46,2787.56,3490.8999999999996
1996,6278.57,2783.91,3494.66
1997,6828.143,3031.1,3798.035
1998,6767.251,3012.171,3755.08
1999,7350.8338,3026.688,4060.0789999999997
2000,8246.447,3292.783,4953.667
2001,9135.146,3589.218,5545.905
2002,10747.625,4174.989,6572.622
2003,13771.601,4896.292,8875.304
2004,18182.88,6072.921,12109.922
2005,24162.832,7547.924,16614.913
2006,30727.417,9202.881,21524.445
2007,39331.962999999996,11563.595,27768.376
2008,48068.646,13849.966,34218.666
2009,53122.802,15678.658,37444.054000000004
2010,68925.102,19835.5,49089.85
2011,83448.44,23478.57,59970.11
2012,90681.071494,26078.100000000002,64585.88
2013,13764.55,4055.22,9709.36
