year,已登记失业率：城镇: annual,已登记失业率：城镇,就业
1949,23.6,,180.82
1952,13.2,,207.29
1953,,,213.64
1954,,,218.32
1955,,,223.28
1956,,,230.18
1957,5.9,,237.71
1958,,,266.0
1959,,,261.73
1960,,,258.8
1961,,,255.9
1962,,,259.1
1963,,,266.4
1964,,,277.36
1965,,,286.7
1966,,,298.05
1967,,,308.14
1968,,,319.15
1969,,,332.25
1970,,,344.32
1971,,,356.2
1972,,,358.54
1973,,,366.52
1974,,,373.69
1975,,,381.68
1976,,,388.34
1977,,,393.77
1978,5.3,,401.52
1979,5.4,,410.24
1980,4.9,,423.61
1981,3.8,,437.25
1982,3.2,,452.95
1983,2.3,,464.36
1984,1.9,,481.97
1985,1.8,,498.73
1986,2.0,,512.82
1987,2.0,,527.83
1988,2.0,,543.34
1989,2.6,,553.29
1990,2.5,,647.49
1991,2.3,,654.91
1992,2.3,,661.52
1993,2.6,,668.08
1994,2.8,,674.55
1995,2.9,,680.65
1996,3.0,,689.5
1997,3.1,,698.2
1998,3.1,,706.37
1999,3.1,3.1,713.94
2000,3.1,3.05,720.85
2001,3.6,3.375,727.97
2002,4.0,3.85,732.8
2003,4.3,4.2,737.36
2004,4.2,4.25,742.64
2005,4.2,4.2,746.47
2006,4.1,4.15,749.78
2007,4.0,4.05,753.21
2008,4.2,4.05,755.64
2009,4.3,4.3,758.28
2010,4.14,4.16,761.05
2011,4.09,4.0975,761.96
2012,4.09,4.0975,762.54
2013,4.05,4.0725,763.01
2014,4.09,4.08,763.49
2015,4.05,4.047499999999999,763.2
2016,4.02,4.0375,762.45
2017,3.9,3.9425,760.58
2018,3.8,3.835,757.82
2019,3.62,3.6275,754.47
2020,4.24,3.9825,750.64
2021,3.96,3.91,746.52
