year,就业,已登记失业率：城镇: annual,已登记失业率：城镇
区域,中国,中国,中国
次国家,,,
频率,"年, 年终12月","年, 年终12月",季，季末3月、6月、9月、12月
单位,百万人,%,%
数据来源,人力资源和社会保障部,人力资源和社会保障部,人力资源和社会保障部
状态,继续,继续,继续
数列ID,4945301 (CGHA),4948301 (CGJA),64364201 (CGAILY)
SR码,SR499746,SR499767,SR4055543
Trade Code,,,
助记符,,,
函数说明,,,
首次观测日期,12/1949,12/1949,12/1999
最后观测日期,12/2021,12/2021,12/2021
最后更新时间,28/02/2022,27/01/2022,27/01/2022
数列备注,,,Suspended since 2022 自2022起暂停发布
您可以,,,
平均,519.7145070422538,4.162765957446808,3.9613483146067408
方差,42995.834422253516,11.305603052728955,0.09566861593462717
标准差,207.35436919017047,3.362380563340348,0.30930343666798654
偏度,-0.1270743317971377,4.773303979537016,-1.6974288192267177
峰度,-1.6365608322574263,25.787417750543042,2.5054335740355307
变异系数,0.3989774508513232,0.8077275056324883,0.0780803433839653
最小,180.82,1.8,3
最大,763.49,23.6,4.3
中位数,512.82,3.9,4.05
参照期间,71,47,89
12/1949,180.82,23.6,
12/1952,207.29,13.2,
12/1953,213.64,,
12/1954,218.32,,
12/1955,223.28,,
12/1956,230.18,,
12/1957,237.71,5.9,
12/1958,266,,
12/1959,261.73,,
12/1960,258.8,,
12/1961,255.9,,
12/1962,259.1,,
12/1963,266.4,,
12/1964,277.36,,
12/1965,286.7,,
12/1966,298.05,,
12/1967,308.14,,
12/1968,319.15,,
12/1969,332.25,,
12/1970,344.32,,
12/1971,356.2,,
12/1972,358.54,,
12/1973,366.52,,
12/1974,373.69,,
12/1975,381.68,,
12/1976,388.34,,
12/1977,393.77,,
12/1978,401.52,5.3,
12/1979,410.24,5.4,
12/1980,423.61,4.9,
12/1981,437.25,3.8,
12/1982,452.95,3.2,
12/1983,464.36,2.3,
12/1984,481.97,1.9,
12/1985,498.73,1.8,
12/1986,512.82,2,
12/1987,527.83,2,
12/1988,543.34,2,
12/1989,553.29,2.6,
12/1990,647.49,2.5,
12/1991,654.91,2.3,
12/1992,661.52,2.3,
12/1993,668.08,2.6,
12/1994,674.55,2.8,
12/1995,680.65,2.9,
12/1996,689.5,3,
12/1997,698.2,3.1,
12/1998,706.37,3.1,
12/1999,713.94,3.1,3.1
03/2000,,,3
06/2000,,,3
09/2000,,,3.1
12/2000,720.85,3.1,3.1
03/2001,,,3.2
06/2001,,,3.3
09/2001,,,3.4
12/2001,727.97,3.6,3.6
03/2002,,,3.7
06/2002,,,3.8
09/2002,,,3.9
12/2002,732.8,4,4
03/2003,,,4.1
06/2003,,,4.2
09/2003,,,4.2
12/2003,737.36,4.3,4.3
03/2004,,,4.3
06/2004,,,4.3
09/2004,,,4.2
12/2004,742.64,4.2,4.2
03/2005,,,4.2
06/2005,,,4.2
09/2005,,,4.2
12/2005,746.47,4.2,4.2
03/2006,,,4.2
06/2006,,,4.2
09/2006,,,4.1
12/2006,749.78,4.1,4.1
03/2007,,,4.1
06/2007,,,4.1
09/2007,,,4
12/2007,753.21,4,4
03/2008,,,4
06/2008,,,4
09/2008,,,4
12/2008,755.64,4.2,4.2
03/2009,,,4.3
06/2009,,,4.3
09/2009,,,4.3
12/2009,758.28,4.3,4.3
03/2010,,,4.2
06/2010,,,4.2
09/2010,,,4.1
12/2010,761.05,4.14,4.14
03/2011,,,4.1
06/2011,,,4.1
09/2011,,,4.1
12/2011,761.96,4.09,4.09
03/2012,,,4.1
06/2012,,,4.1
09/2012,,,4.1
12/2012,762.54,4.09,4.09
03/2013,,,4.1
06/2013,,,4.1
09/2013,,,4.04
12/2013,763.01,4.05,4.05
03/2014,,,4.08
06/2014,,,4.08
09/2014,,,4.07
12/2014,763.49,4.09,4.09
03/2015,,,4.05
06/2015,,,4.04
09/2015,,,4.05
12/2015,763.2,4.05,4.05
03/2016,,,4.04
06/2016,,,4.05
09/2016,,,4.04
12/2016,762.45,4.02,4.02
03/2017,,,3.97
06/2017,,,3.95
09/2017,,,3.95
12/2017,760.58,3.9,3.9
03/2018,,,3.89
06/2018,,,3.83
09/2018,,,3.82
12/2018,757.82,3.8,3.8
03/2019,,,3.67
06/2019,,,3.61
09/2019,,,3.61
12/2019,754.47,3.62,3.62
03/2020,,,3.66
06/2020,,,3.84
09/2020,,,4.19
12/2020,750.64,4.24,4.24
03/2021,,,3.94
06/2021,,,3.86
09/2021,,,3.88
12/2021,746.52,3.96,3.96
